系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
绍兴轨道交通,轨道交通1号线(柯桥段),姑娘桥,0.0,0.0,120.330313,30.176001,900000082948030,,
绍兴轨道交通,轨道交通1号线(柯桥段),衙前,3.188,3.188,120.359979,30.163186,900000082948031,,
绍兴轨道交通,轨道交通1号线(柯桥段),杨汛桥,2.151,5.339,120.365385,30.144413,900000082948032,,
绍兴轨道交通,轨道交通1号线(柯桥段),前梅,3.577,8.916,120.394114,30.123976,900000082948033,,
绍兴轨道交通,轨道交通1号线(柯桥段),钱清,1.667,10.583,120.411309,30.122089,900000082948034,,
绍兴轨道交通,轨道交通1号线(柯桥段),西沙路,1.535,12.118,120.426351,30.117483,900000082948035,,
绍兴轨道交通,轨道交通1号线(柯桥段),临杭大道,1.604,13.722,120.440819,30.110313,900000082948036,,
绍兴轨道交通,轨道交通1号线(柯桥段),鉴水路,2.032,15.754,120.457067,30.098638,900000082948037,,
绍兴轨道交通,轨道交通1号线(柯桥段),越州大道,2.58,18.334,120.480306,30.087067,900000082948038,,
绍兴轨道交通,轨道交通1号线(柯桥段),中国轻纺城,1.037,19.371,120.489294,30.081927,900000082948039,,
绍兴轨道交通,轨道交通1号线(柯桥段),明珠广场,0.702,20.073,120.495955,30.079358,900000082948040,,
绍兴轨道交通,轨道交通1号线(柯桥段),瓜渚湖,1.379,21.452,120.509045,30.074299,900000082948041,,
绍兴轨道交通,轨道交通1号线(柯桥段),镜水路,1.37,22.822,120.521654,30.068570,900000082948042,,
绍兴轨道交通,轨道交通1号线(柯桥段),黄酒小镇,2.092,24.914,120.539694,30.058074,900000082948043,,
绍兴轨道交通,轨道交通1号线(柯桥段),张墅,1.514,26.428,120.554367,30.053156,900000082948044,,
绍兴轨道交通,轨道交通1号线(柯桥段),奥体中心,1.526,27.954,120.569815,30.056241,900000082948045,,
绍兴轨道交通,轨道交通1号线(柯桥段),梅山广场,1.108,29.062,120.576920,30.048401,900000082948046,,
绍兴轨道交通,轨道交通1号线(柯桥段),凤林,1.362,30.424,120.581756,30.036891,900000082948047,,
绍兴轨道交通,轨道交通1号线(柯桥段),大滩,1.473,31.897,120.582664,30.023667,900000082948048,,
绍兴轨道交通,轨道交通1号线(柯桥段),火车站,1.178,33.075,120.581237,30.013147,900000082948049,,
绍兴轨道交通,轨道交通1号线(柯桥段),城市广场,1.046,34.121,120.581278,30.003736,900000082948050,,
绍兴轨道交通,轨道交通1号线(柯桥段),鲁迅故里,1.364,35.485,120.580552,29.991483,900000082948051,,
绍兴轨道交通,轨道交通1号线(柯桥段),城南大道,1.737,37.222,120.580411,29.975860,900000082948052,,
绍兴轨道交通,轨道交通1号线(柯桥段),凤凰山,1.504,38.726,120.577787,29.962525,900000082948053,,
绍兴轨道交通,轨道交通1号线(柯桥段),劳家葑,1.199,39.925,120.577025,29.951761,900000082948054,,
绍兴轨道交通,轨道交通1号线(柯桥段),南池,1.415,41.34,120.575794,29.939082,900000082948055,,
绍兴轨道交通,轨道交通1号线(柯桥段),栖湖,1.138,42.478,120.575390,29.928852,900000082948056,,
绍兴轨道交通,轨道交通1号线(柯桥段),芳泉,1.254,43.732,120.570951,29.918247,900000082948057,,
