系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
深圳地铁,地铁10号线(坂田线),双拥街,平湖,900000055265023,900000055265022,0.921,
深圳地铁,地铁10号线(坂田线),平湖,禾花,900000055265022,900000055265021,0.979,
深圳地铁,地铁10号线(坂田线),禾花,华南城,900000055265021,900000055265020,1.125,
深圳地铁,地铁10号线(坂田线),华南城,木古,900000055265020,900000055265019,0.739,
深圳地铁,地铁10号线(坂田线),木古,上李朗,900000055265019,900000055265018,1.763,
深圳地铁,地铁10号线(坂田线),上李朗,凉帽山,900000055265018,900000055265017,1.196,
深圳地铁,地铁10号线(坂田线),凉帽山,甘坑,900000055265017,900000055265016,1.359,
深圳地铁,地铁10号线(坂田线),甘坑,雪象,900000055265016,900000055265015,2.936,
深圳地铁,地铁10号线(坂田线),雪象,岗头,900000055265015,900000055265014,0.726,
深圳地铁,地铁10号线(坂田线),岗头,华为,900000055265014,900000055265013,0.882,
深圳地铁,地铁10号线(坂田线),华为,贝尔路,900000055265013,900000055265012,0.974,
深圳地铁,地铁10号线(坂田线),贝尔路,坂田北,900000055265012,900000055265011,0.816,
深圳地铁,地铁10号线(坂田线),坂田北,五和,900000055265011,440300024058013,0.94,
深圳地铁,地铁10号线(坂田线),五和,光雅园,440300024058013,900000055265009,1.161,
深圳地铁,地铁10号线(坂田线),光雅园,南坑,900000055265009,900000055265024,0.613,
深圳地铁,地铁10号线(坂田线),南坑,雅宝,900000055265024,900000055265008,0.707,
深圳地铁,地铁10号线(坂田线),雅宝,孖岭,900000055265008,440300024054024,4.085,
深圳地铁,地铁10号线(坂田线),孖岭,冬瓜岭,440300024054024,900000055265006,0.892,
深圳地铁,地铁10号线(坂田线),冬瓜岭,莲花村,900000055265006,440300024060026,1.311,
深圳地铁,地铁10号线(坂田线),莲花村,岗厦北,440300024060026,440300024056027,1.148,
深圳地铁,地铁10号线(坂田线),岗厦北,岗厦,440300024056027,440300024063025,0.386,
深圳地铁,地铁10号线(坂田线),岗厦,福民,440300024063025,440300024050015,1.314,
深圳地铁,地铁10号线(坂田线),福民,福田口岸,440300024050015,440300024074016,0.72,
