系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
深圳地铁,地铁3号线(龙岗线),福保,0.0,0.0,114.055586,22.507884,440300024060032,,
深圳地铁,地铁3号线(龙岗线),益田,1.047,1.047,114.050987,22.516287,440300024060031,,
深圳地铁,地铁3号线(龙岗线),石厦,0.868,1.915,114.053616,22.523708,440300024050014,,
深圳地铁,地铁3号线(龙岗线),购物公园,1.221,3.136,114.054581,22.534655,440300024060029,,
深圳地铁,地铁3号线(龙岗线),福田,0.629,3.765,114.052879,22.540087,440300024056002,,
深圳地铁,地铁3号线(龙岗线),少年宫,1.209,4.974,114.060170,22.548627,440300024060027,,
深圳地铁,地铁3号线(龙岗线),莲花村,0.787,5.761,114.067829,22.548646,440300024060026,,
深圳地铁,地铁3号线(龙岗线),华新,1.934,7.695,114.086654,22.548981,440300024050019,,
深圳地铁,地铁3号线(龙岗线),通新岭,0.988,8.683,114.096273,22.549126,440300024046037,,
深圳地铁,地铁3号线(龙岗线),红岭,0.858,9.541,114.104584,22.548380,440300024054005,,
深圳地铁,地铁3号线(龙岗线),老街,1.35,10.891,114.116939,22.544232,440300024060022,,
深圳地铁,地铁3号线(龙岗线),晒布,0.81,11.701,114.122664,22.549238,440300024060021,,
深圳地铁,地铁3号线(龙岗线),翠竹,1.071,12.772,114.129883,22.556188,440300024060020,,
深圳地铁,地铁3号线(龙岗线),田贝,1.233,14.005,114.130052,22.567280,440300024050023,,
深圳地铁,地铁3号线(龙岗线),水贝,0.91,14.915,114.124974,22.573988,440300024060018,,
深圳地铁,地铁3号线(龙岗线),草埔,1.452,16.367,114.116500,22.584447,440300024060017,,
深圳地铁,地铁3号线(龙岗线),布吉,2.045,18.412,114.121159,22.602330,440300024058007,,
深圳地铁,地铁3号线(龙岗线),木棉湾,1.072,19.484,114.130293,22.606997,440300024060015,,
深圳地铁,地铁3号线(龙岗线),大芬,1.152,20.636,114.138364,22.614191,440300024060014,,
深圳地铁,地铁3号线(龙岗线),丹竹头,1.171,21.807,114.148054,22.619752,440300024060013,,
深圳地铁,地铁3号线(龙岗线),六约,3.717,25.524,114.180646,22.634322,440300024060012,,
深圳地铁,地铁3号线(龙岗线),塘坑,1.352,26.876,114.192725,22.639179,440300024060011,,
深圳地铁,地铁3号线(龙岗线),横岗,1.962,28.838,114.208994,22.648442,440300024060010,,
深圳地铁,地铁3号线(龙岗线),永湖,1.496,30.334,114.218042,22.658995,440300024060009,,
深圳地铁,地铁3号线(龙岗线),荷坳,1.693,32.027,114.224310,22.673079,440300024060008,,
深圳地铁,地铁3号线(龙岗线),大运,1.46,33.487,114.228163,22.685720,440300024060007,,
深圳地铁,地铁3号线(龙岗线),爱联,1.458,34.945,114.234423,22.697495,440300024060006,,
深圳地铁,地铁3号线(龙岗线),吉祥,1.676,36.621,114.244318,22.709488,440300024060005,,
深圳地铁,地铁3号线(龙岗线),龙城广场,1.339,37.96,114.254592,22.716915,440300024060004,,
深圳地铁,地铁3号线(龙岗线),南联,1.255,39.215,114.265531,22.721967,440300024060003,,
深圳地铁,地铁3号线(龙岗线),双龙,1.437,40.652,114.277422,22.728806,440300024060002,,
深圳地铁,地铁3号线(龙岗线),梨园,0.803,41.455,114.281737,22.734833,440300024060039,,
深圳地铁,地铁3号线(龙岗线),新生,1.469,42.924,114.283024,22.747988,440300024060038,,
深圳地铁,地铁3号线(龙岗线),坪西,1.719,44.643,114.282240,22.763426,440300024060037,,
深圳地铁,地铁3号线(龙岗线),低碳城,1.115,45.758,114.289355,22.771010,440300024060036,,
深圳地铁,地铁3号线(龙岗线),白石塘,1.459,47.217,114.302868,22.775124,440300024060035,,
深圳地铁,地铁3号线(龙岗线),富坪,0.996,48.213,114.310908,22.780155,440300024060034,,
深圳地铁,地铁3号线(龙岗线),坪地六联,1.372,49.585,114.322059,22.786983,440300024060033,,
