系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
芜湖轨道交通,轨道交通2号线,鸠兹广场,0.0,0.0,118.371759,31.332566,900000075437017,,
芜湖轨道交通,轨道交通2号线,文化路,1.189,1.189,118.383807,31.335487,900000075459002,,
芜湖轨道交通,轨道交通2号线,神山口,1.302,2.491,118.397119,31.338301,900000075459003,,
芜湖轨道交通,轨道交通2号线,芜湖火车站,1.108,3.599,118.394746,31.348059,900000075459004,,
芜湖轨道交通,轨道交通2号线,神山公园,1.772,5.371,118.409984,31.357263,900000075459012,,
芜湖轨道交通,轨道交通2号线,云从路,1.129,6.5,118.421869,31.357368,900000075459013,,
芜湖轨道交通,轨道交通2号线,政务中心,0.834,7.334,118.430649,31.357423,900000075459006,,
芜湖轨道交通,轨道交通2号线,海晏路,1.0,8.334,118.440757,31.354898,900000075459008,,
芜湖轨道交通,轨道交通2号线,方特·徽州路,1.81,10.144,118.459758,31.356145,900000075459009,,
芜湖轨道交通,轨道交通2号线,梦溪路,2.115,12.259,118.481371,31.351545,900000075459010,,
芜湖轨道交通,轨道交通2号线,万春湖路,1.859,14.118,118.49614,31.362525,900000075459011,,
