系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
西安地铁,地铁3号线,鱼化寨,丈八北路,610100020611002,610100020611003,2.295,
西安地铁,地铁3号线,丈八北路,延平门,610100020611003,610100020611004,1.247,
西安地铁,地铁3号线,延平门,科技路,610100020611004,610100020611005,1.734,
西安地铁,地铁3号线,科技路,太白南路,610100020611005,610100020611006,1.302,
西安地铁,地铁3号线,太白南路,吉祥村,610100020611006,610100020611007,1.567,
西安地铁,地铁3号线,吉祥村,小寨,610100020611007,610100020611008,1.239,
西安地铁,地铁3号线,小寨,大雁塔,610100020611008,610100020611009,1.613,
西安地铁,地铁3号线,大雁塔,北池头,610100020611009,610100020611010,1.195,
西安地铁,地铁3号线,北池头,青龙寺,610100020611010,610100020611011,1.705,
西安地铁,地铁3号线,青龙寺,延兴门,610100020611011,610100020611012,1.51,
西安地铁,地铁3号线,延兴门,咸宁路,610100020611012,610100020611013,0.776,
西安地铁,地铁3号线,咸宁路,长乐公园,610100020611013,610100020611014,1.061,
西安地铁,地铁3号线,长乐公园,通化门,610100020611014,610100020611015,1.014,
西安地铁,地铁3号线,通化门,胡家庙,610100020611015,610100020611016,0.893,
西安地铁,地铁3号线,胡家庙,石家街,610100020611016,610100020611017,1.457,
西安地铁,地铁3号线,石家街,辛家庙,610100020611017,610100020611018,1.563,
西安地铁,地铁3号线,辛家庙,广泰门,610100020611018,610100020611019,1.748,
西安地铁,地铁3号线,广泰门,桃花潭,610100020611019,610100020611027,1.834,
西安地铁,地铁3号线,桃花潭,浐灞中心,610100020611027,610100020611020,1.36,
西安地铁,地铁3号线,浐灞中心,香湖湾(黄邓),610100020611020,610100020611021,1.568,
西安地铁,地铁3号线,香湖湾(黄邓),务庄,610100020611021,610100020611022,1.736,
西安地铁,地铁3号线,务庄,国际港务区,610100020611022,610100020611026,1.913,
西安地铁,地铁3号线,国际港务区,双寨,610100020611026,610100020611023,1.266,
西安地铁,地铁3号线,双寨,新筑,610100020611023,610100020611024,1.197,
西安地铁,地铁3号线,新筑,保税区,610100020611024,610100020611025,1.396,
