系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
西安地铁,地铁8号(环)线,井上村,北辰东路,900000131714021,900000131714020,1.799,
西安地铁,地铁8号(环)线,北辰东路,广泰门,900000131714020,610100020611019,1.194,
西安地铁,地铁8号(环)线,广泰门,米家崖,610100020611019,900000131714055,0.936,
西安地铁,地铁8号(环)线,米家崖,幸福林带北,900000131714055,900000131714054,2.245,
西安地铁,地铁8号(环)线,幸福林带北,万寿路,900000131714054,610100020728006,1.432,
西安地铁,地铁8号(环)线,万寿路,韩森寨,610100020728006,900000131714052,1.159,
西安地铁,地铁8号(环)线,韩森寨,万寿南路,900000131714052,610100020621051,0.893,
西安地铁,地铁8号(环)线,万寿南路,西等驾坡,610100020621051,900000131714050,1.105,
西安地铁,地铁8号(环)线,西等驾坡,东等驾坡,900000131714050,900000131714049,1.469,
西安地铁,地铁8号(环)线,东等驾坡,马腾空,900000131714049,900000074025031,1.359,
西安地铁,地铁8号(环)线,马腾空,植物园,900000074025031,900000131714047,0.987,
西安地铁,地铁8号(环)线,植物园,缪家寨,900000131714047,900000131714046,1.128,
西安地铁,地铁8号(环)线,缪家寨,新开门,900000131714046,900000131714045,1.591,
西安地铁,地铁8号(环)线,新开门,寒窑,900000131714045,900000131714044,0.909,
西安地铁,地铁8号(环)线,寒窑,曲江池西,900000131714044,610100020613039,1.341,
西安地铁,地铁8号(环)线,曲江池西,大唐不夜城,610100020613039,900000131714042,1.022,
西安地铁,地铁8号(环)线,大唐不夜城,电视塔,900000131714042,610100021499018,1.521,
西安地铁,地铁8号(环)线,电视塔,东仪路,610100021499018,900000131714040,1.757,
西安地铁,地铁8号(环)线,东仪路,安化门,900000131714040,900000131714039,0.823,
西安地铁,地铁8号(环)线,安化门,山门口,900000131714039,900000131714038,1.364,
西安地铁,地铁8号(环)线,山门口,省体育馆,900000131714038,610100020621030,1.459,
西安地铁,地铁8号(环)线,省体育馆,木塔寺西,610100020621030,900000131714036,1.029,
西安地铁,地铁8号(环)线,木塔寺西,科技二路,900000131714036,900000131714035,1.492,
西安地铁,地铁8号(环)线,科技二路,延平门,900000131714035,610100020611004,1.311,
西安地铁,地铁8号(环)线,延平门,金光门,610100020611004,900000074025018,1.579,
西安地铁,地铁8号(环)线,金光门,土门,900000074025018,900000131714032,0.903,
西安地铁,地铁8号(环)线,土门,开远门,900000131714032,610100020728015,1.145,
西安地铁,地铁8号(环)线,开远门,白家口,610100020728015,900000131714030,1.383,
西安地铁,地铁8号(环)线,白家口,光化门,900000131714030,900000131714029,1.142,
西安地铁,地铁8号(环)线,光化门,景曜门,900000131714029,900000131714028,1.006,
西安地铁,地铁8号(环)线,景曜门,红庙坡,900000131714028,900000131714027,1.025,
西安地铁,地铁8号(环)线,红庙坡,大风阁,900000131714027,900000131714026,1.335,
西安地铁,地铁8号(环)线,大风阁,霸城门,900000131714026,900000131714025,1.835,
西安地铁,地铁8号(环)线,霸城门,青少年中心,900000131714025,610100021500017,1.616,
西安地铁,地铁8号(环)线,青少年中心,市第三医院,610100021500017,900000131714023,1.193,
西安地铁,地铁8号(环)线,市第三医院,余家寨,900000131714023,610100020613035,1.176,
西安地铁,地铁8号(环)线,余家寨,井上村,610100020613035,900000131714021,0.926,
