系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
港铁,屯马线,屯门,0.0,0.0,113.978133,22.392277,810000020825028,,
港铁,屯马线,兆康,1.959,1.959,113.983867,22.409074,810000020825027,,
港铁,屯马线,天水围,4.754,6.713,114.009292,22.444788,810000020825026,,
港铁,屯马线,朗屏,2.163,8.876,114.030340,22.444794,810000020825025,,
港铁,屯马线,元朗,1.047,9.923,114.040409,22.443354,810000020825024,,
港铁,屯马线,锦上路,3.133,13.056,114.068417,22.432230,810000020825023,,
港铁,屯马线,荃湾西,8.838,21.894,114.115213,22.365553,810000020825022,,
港铁,屯马线,美孚,4.411,26.305,114.142816,22.335186,810000020823012,,
港铁,屯马线,南昌,2.046,28.351,114.158541,22.323921,810000020807006,,
港铁,屯马线,柯士甸,2.773,31.124,114.171456,22.302034,810000020825019,,
港铁,屯马线,尖东,1.351,32.475,114.179848,22.292689,810000020825018,,
港铁,屯马线,红磡,1.086,33.561,114.186698,22.300117,810000020809002,,
港铁,屯马线,何文田,0.732,34.293,114.187751,22.306628,810000020821018,,
港铁,屯马线,土瓜湾,0.925,35.218,114.192895,22.313451,810000020825015,,
港铁,屯马线,宋皇台,1.105,36.323,114.195955,22.322976,810000020825014,,
港铁,屯马线,启德,1.005,37.328,114.204299,22.327686,810000020825013,,
港铁,屯马线,钻石山,1.096,38.424,114.206220,22.337385,810000020821009,,
港铁,屯马线,显径,4.113,42.537,114.175760,22.361349,810000020825011,,
港铁,屯马线,大围,1.256,43.793,114.183441,22.370133,810000020809005,,
港铁,屯马线,车公庙,0.84,44.633,114.191357,22.371998,810000020825009,,
港铁,屯马线,沙田围,0.906,45.539,114.199828,22.374230,810000020825008,,
港铁,屯马线,第一城,1.103,46.642,114.208398,22.380197,810000020825007,,
港铁,屯马线,石门,0.731,47.373,114.213310,22.384946,810000020825006,,
港铁,屯马线,大水坑,2.729,50.102,114.227587,22.405632,810000020825005,,
港铁,屯马线,恒安,1.121,51.223,114.230795,22.415265,810000020825004,,
港铁,屯马线,马鞍山,0.961,52.184,114.236628,22.422020,810000020825003,,
港铁,屯马线,乌溪沙,1.317,53.501,114.248590,22.426260,810000020825002,,
