系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
徐州地铁,地铁1号线,路窝,0.0,0.0,117.101063,34.241587,900000049063018,,
徐州地铁,地铁1号线,杏山子,1.878,1.878,117.119600,34.248692,900000049063001,,
徐州地铁,地铁1号线,韩山,2.172,4.05,117.141729,34.255534,900000049063002,,
徐州地铁,地铁1号线,工农路,0.92,4.97,117.150831,34.258970,900000049063003,,
徐州地铁,地铁1号线,人民广场,0.728,5.698,117.157940,34.261858,900000049063004,,
徐州地铁,地铁1号线,苏堤路,0.974,6.672,117.168376,34.263384,900000049063005,,
徐州地铁,地铁1号线,徐医附院,0.965,7.637,117.178874,34.263565,900000049063006,,
徐州地铁,地铁1号线,彭城广场,0.774,8.411,117.187294,34.263699,900000049063007,,
徐州地铁,地铁1号线,民主北路,0.822,9.233,117.196054,34.265210,900000049063008,,
徐州地铁,地铁1号线,徐州火车站,0.678,9.911,117.203318,34.266302,900000049063009,,
徐州地铁,地铁1号线,子房山,0.702,10.613,117.210958,34.266265,900000049063010,,
徐州地铁,地铁1号线,铜山路,1.475,12.088,117.226211,34.262143,900000049063011,,
徐州地铁,地铁1号线,黄山垅,1.36,13.448,117.234356,34.251931,900000049063012,,
徐州地铁,地铁1号线,庆丰路,1.076,14.524,117.246062,34.252175,900000049063013,,
徐州地铁,地铁1号线,医科大学,1.253,15.777,117.259621,34.253310,900000049063014,,
徐州地铁,地铁1号线,乔家湖,0.956,16.733,117.269969,34.254190,900000049063015,,
徐州地铁,地铁1号线,金龙湖,2.09,18.823,117.290273,34.262649,900000049063016,,
徐州地铁,地铁1号线,徐州东站,1.533,20.356,117.306251,34.266609,900000049063017,,
