系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
郑州地铁,地铁5号线,月季公园,沙口路,900000058317001,900000058317002,1.68,
郑州地铁,地铁5号线,沙口路,海滩寺,900000058317002,900000058317003,1.027,
郑州地铁,地铁5号线,海滩寺,郑州人民医院,900000058317003,900000058317004,1.508,
郑州地铁,地铁5号线,郑州人民医院,黄河路,900000058317004,410100021064008,1.358,
郑州地铁,地铁5号线,黄河路,省人民医院,410100021064008,900000058317006,1.034,
郑州地铁,地铁5号线,省人民医院,姚砦·聂庄,900000058317006,900000058317007,1.341,
郑州地铁,地铁5号线,姚砦·聂庄,众意西路,900000058317007,900000058317008,1.096,
郑州地铁,地铁5号线,众意西路,中央商务区,900000058317008,900000058317009,0.983,
郑州地铁,地铁5号线,中央商务区,儿童医院·颐和医院,900000058317009,900000058317010,1.965,
郑州地铁,地铁5号线,儿童医院·颐和医院,祭城,900000058317010,900000058317011,1.448,
郑州地铁,地铁5号线,祭城,金水东路,900000058317011,900000058317012,0.914,
郑州地铁,地铁5号线,金水东路,郑州东站,900000058317012,410100022629004,1.249,
郑州地铁,地铁5号线,郑州东站,康宁街,410100022629004,900000058317014,1.021,
郑州地铁,地铁5号线,康宁街,省骨科医院,900000058317014,900000058317015,0.514,
郑州地铁,地铁5号线,省骨科医院,经北二路,900000058317015,900000058317016,2.107,
郑州地铁,地铁5号线,经北二路,经开中心广场,900000058317016,900000058317017,1.112,
郑州地铁,地铁5号线,经开中心广场,福塔东,900000058317017,900000058317018,1.578,
郑州地铁,地铁5号线,福塔东,中原福塔,900000058317018,900000058317019,1.354,
郑州地铁,地铁5号线,中原福塔,七里河,900000058317019,900000058317020,0.9,
郑州地铁,地铁5号线,七里河,航海广场,900000058317020,900000058317021,1.476,
郑州地铁,地铁5号线,航海广场,城东南路,900000058317021,900000058317022,1.458,
郑州地铁,地铁5号线,城东南路,南五里堡,900000058317022,410100021064013,0.828,
郑州地铁,地铁5号线,南五里堡,冯庄,410100021064013,900000058317024,1.215,
郑州地铁,地铁5号线,冯庄,京广南路·市第六人民医院,900000058317024,900000058317025,1.013,
郑州地铁,地铁5号线,京广南路·市第六人民医院,市第二人民医院,900000058317025,900000058317026,1.16,
郑州地铁,地铁5号线,市第二人民医院,齐礼阎,900000058317026,900000058317027,1.323,
郑州地铁,地铁5号线,齐礼阎,后河芦·市第八人民医院,900000058317027,900000058317028,0.976,
郑州地铁,地铁5号线,后河芦·市第八人民医院,桐淮,900000058317028,900000058317029,1.023,
郑州地铁,地铁5号线,桐淮,陇海西路,900000058317029,900000058317030,0.85,
郑州地铁,地铁5号线,陇海西路,市中心医院,900000058317030,900000058317031,1.184,
郑州地铁,地铁5号线,市中心医院,五一公园·市中医院,900000058317031,410100022629018,1.082,
郑州地铁,地铁5号线,五一公园·市中医院,月季公园,410100022629018,900000058317001,1.325,
