系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
东莞轨道交通,轨道交通1号线,东莞西站,厚德,900000073662001,900000073662002,3.492,
东莞轨道交通,轨道交通1号线,厚德,昌平,900000073662002,900000073662003,2.807,
东莞轨道交通,轨道交通1号线,昌平,人民医院,900000073662003,900000073662004,1.563,
东莞轨道交通,轨道交通1号线,人民医院,曲海,900000073662004,900000073662005,1.981,
东莞轨道交通,轨道交通1号线,曲海,坝头,900000073662005,900000073662006,1.414,
东莞轨道交通,轨道交通1号线,坝头,元美,900000073662006,900000073662007,1.582,
东莞轨道交通,轨道交通1号线,元美,中心广场,900000073662007,900000073662008,1.285,
东莞轨道交通,轨道交通1号线,中心广场,市民中心,900000073662008,900000039053008,0.771,
东莞轨道交通,轨道交通1号线,市民中心,立新,900000039053008,900000073662010,1.582,
东莞轨道交通,轨道交通1号线,立新,东城南站,900000073662010,900000073662011,1.901,
东莞轨道交通,轨道交通1号线,东城南站,同沙公园,900000073662011,900000073662024,1.783,
东莞轨道交通,轨道交通1号线,同沙公园,牛山,900000073662024,900000073662013,1.191,
东莞轨道交通,轨道交通1号线,牛山,连平,900000073662013,900000073662014,4.641,
东莞轨道交通,轨道交通1号线,连平,大岭山,900000073662014,900000073662015,3.26,
东莞轨道交通,轨道交通1号线,大岭山,金桔,900000073662015,900000073662016,1.965,
东莞轨道交通,轨道交通1号线,金桔,广东医大,900000073662016,900000073662026,1.903,
东莞轨道交通,轨道交通1号线,广东医大,松山湖,900000073662026,900000073662017,1.097,
东莞轨道交通,轨道交通1号线,松山湖,松佛,900000073662017,900000073662018,2.854,
东莞轨道交通,轨道交通1号线,松佛,大朗,900000073662018,900000073662019,2.671,
东莞轨道交通,轨道交通1号线,大朗,荔香公园,900000073662019,900000073662020,2.753,
东莞轨道交通,轨道交通1号线,荔香公园,凤山,900000073662020,900000073662025,2.253,
东莞轨道交通,轨道交通1号线,凤山,黄江,900000073662025,900000073662021,3.261,
东莞轨道交通,轨道交通1号线,黄江,黄牛埔,900000073662021,900000073662022,2.339,
东莞轨道交通,轨道交通1号线,黄牛埔,梅塘,900000073662022,900000073662023,3.507,
东莞轨道交通,轨道交通2号线,东莞火车站,茶山,900000039053015,900000039053014,1.924,
东莞轨道交通,轨道交通2号线,茶山,榴花公园,900000039053014,900000039053013,3.07,
东莞轨道交通,轨道交通2号线,榴花公园,下桥,900000039053013,900000039053012,3.296,
东莞轨道交通,轨道交通2号线,下桥,天宝,900000039053012,900000039053011,1.954,
东莞轨道交通,轨道交通2号线,天宝,东城,900000039053011,900000039053010,1.652,
东莞轨道交通,轨道交通2号线,东城,旗峰公园,900000039053010,900000039053009,1.632,
东莞轨道交通,轨道交通2号线,旗峰公园,市民中心,900000039053009,900000039053008,1.401,
东莞轨道交通,轨道交通2号线,市民中心,西平,900000039053008,900000039053007,2.215,
东莞轨道交通,轨道交通2号线,西平,蛤地,900000039053007,900000039053006,2.546,
东莞轨道交通,轨道交通2号线,蛤地,陈屋,900000039053006,900000039053005,4.592,
东莞轨道交通,轨道交通2号线,陈屋,寮厦,900000039053005,900000039053004,2.476,
东莞轨道交通,轨道交通2号线,寮厦,珊美,900000039053004,900000039053003,1.938,
东莞轨道交通,轨道交通2号线,珊美,展览中心,900000039053003,900000039053002,2.654,
东莞轨道交通,轨道交通2号线,展览中心,虎门火车站,900000039053002,900000039053001,4.901,
