系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
广州地铁,APM线,广州塔,海心沙,440100023025002,440100023025003,0.571,
广州地铁,APM线,海心沙,大剧院,440100023025003,440100023025004,0.511,
广州地铁,APM线,大剧院,花城大道,440100023025004,440100023025005,0.344,
广州地铁,APM线,花城大道,妇儿中心,440100023025005,440100023025006,0.371,
广州地铁,APM线,妇儿中心,黄埔大道,440100023025006,440100023025007,0.501,
广州地铁,APM线,黄埔大道,天河南,440100023025007,440100023025008,0.481,
广州地铁,APM线,天河南,体育中心南,440100023025008,440100023025009,0.323,
广州地铁,APM线,体育中心南,林和西,440100023025009,440100023025010,0.789,
广州地铁,佛山地铁2号线,广州南站,林岳东(2号线),440100023308002,900000108890016,2.137,
广州地铁,佛山地铁2号线,林岳东(2号线),林岳西,900000108890016,900000108890015,1.283,
广州地铁,佛山地铁2号线,林岳西,石洲,900000108890015,900000108890014,2.181,
广州地铁,佛山地铁2号线,石洲,仙涌,900000108890014,900000108890013,2.015,
广州地铁,佛山地铁2号线,仙涌,花卉世界,900000108890013,900000108890012,3.926,
广州地铁,佛山地铁2号线,花卉世界,登洲,900000108890012,900000108890011,1.437,
广州地铁,佛山地铁2号线,登洲,湾华,900000108890011,900000108890010,2.254,
广州地铁,佛山地铁2号线,湾华,石梁,900000108890010,900000108890009,1.334,
广州地铁,佛山地铁2号线,石梁,魁奇路,900000108890009,440100023043002,1.047,
广州地铁,佛山地铁2号线,魁奇路,沙岗,440100023043002,900000108890007,1.498,
广州地铁,佛山地铁2号线,沙岗,石湾,900000108890007,900000108890006,1.487,
广州地铁,佛山地铁2号线,石湾,张槎,900000108890006,900000108890005,1.714,
广州地铁,佛山地铁2号线,张槎,智慧新城,900000108890005,900000108890004,1.262,
广州地铁,佛山地铁2号线,智慧新城,绿岛湖,900000108890004,900000108890003,2.396,
广州地铁,佛山地铁2号线,绿岛湖,湖涌,900000108890003,900000108890002,2.341,
广州地铁,佛山地铁2号线,湖涌,南庄,900000108890002,900000108890001,2.28,
广州地铁,地铁10号线,西塱,花围,440100023043015,900000094220018,1.621,
广州地铁,地铁10号线,花围,东沙,900000094220018,900000094220017,1.948,
广州地铁,地铁10号线,东沙,大干围,900000094220017,900000094220016,2.023,
广州地铁,地铁10号线,大干围,工业大道南,900000094220016,900000094220015,0.98,
广州地铁,地铁10号线,工业大道南,东晓南,900000094220015,440100023308008,0.668,
广州地铁,地铁10号线,东晓南,五凤,440100023308008,900000074491033,1.203,
广州地铁,地铁10号线,五凤,中大南门,900000074491033,900000094220012,0.773,
广州地铁,地铁10号线,中大南门,滨江东路,900000094220012,900000094220011,1.744,
广州地铁,地铁10号线,滨江东路,东湖,900000094220011,440100023053011,1.27,
广州地铁,地铁10号线,东湖,五羊邨,440100023053011,440100023037013,2.414,
广州地铁,地铁10号线,五羊邨,杨箕东,440100023037013,900000094220007,0.673,
广州地铁,地铁11号线,龙潭,赤沙,900000074491031,900000074491001,2.393,
广州地铁,地铁11号线,赤沙,琶洲,900000074491001,440100023047013,1.565,
广州地铁,地铁11号线,琶洲,员村,440100023047013,440100023037017,1.914,
广州地铁,地铁11号线,员村,天河公园,440100023037017,900000046003032,1.044,
广州地铁,地铁11号线,天河公园,华景路,900000046003032,900000074491005,1.116,
广州地铁,地铁11号线,华景路,华师,900000074491005,440100023033015,1.652,
广州地铁,地铁11号线,华师,龙口西,440100023033015,900000074491007,0.794,
广州地铁,地铁11号线,龙口西,广州东站,900000074491007,440100023031013,1.719,
广州地铁,地铁11号线,广州东站,沙河,440100023031013,440100023053006,1.21,
广州地铁,地铁11号线,沙河,云台花园,440100023053006,900000074491011,2.072,
广州地铁,地铁11号线,云台花园,大金钟路,900000074491011,900000074491012,1.821,
广州地铁,地铁11号线,大金钟路,中医药大学,900000074491012,900000074491013,0.935,
广州地铁,地铁11号线,中医药大学,梓元岗,900000074491013,900000074491014,0.753,
广州地铁,地铁11号线,梓元岗,流花,900000074491014,900000074491016,1.625,
广州地铁,地铁11号线,流花,彩虹桥,900000074491016,440100023047027,1.224,
广州地铁,地铁11号线,彩虹桥,中山八,440100023047027,440100023037004,1.651,
广州地铁,地铁11号线,中山八,如意坊,440100023037004,440100023053018,1.26,
广州地铁,地铁11号线,如意坊,石围塘,440100023053018,900000074491020,1.42,
广州地铁,地铁11号线,石围塘,芳村,900000074491020,440100023049014,1.267,
广州地铁,地铁11号线,芳村,大冲口,440100023049014,900000074491022,1.386,
广州地铁,地铁11号线,大冲口,沙涌,900000074491022,440100023043018,0.694,
广州地铁,地铁11号线,沙涌,鹤洞东,440100023043018,900000074491024,1.391,
广州地铁,地铁11号线,鹤洞东,棣园,900000074491024,900000074491025,1.351,
广州地铁,地铁11号线,棣园,燕岗,900000074491025,440100023043020,0.828,
广州地铁,地铁11号线,燕岗,江泰路,440100023043020,440100023308009,1.18,
广州地铁,地铁11号线,江泰路,五凤,440100023308009,900000074491033,1.586,
广州地铁,地铁11号线,五凤,逸景路,900000074491033,900000074491028,0.924,
广州地铁,地铁11号线,逸景路,上涌,900000074491028,900000074491029,0.83,
广州地铁,地铁11号线,上涌,大塘,900000074491029,440100023033008,0.924,
广州地铁,地铁12号线,二沙岛,赤岗塔,900000226803009,900000226817002,2.284,
广州地铁,地铁12号线,赤岗塔,赤沙北,900000226817002,900000226817004,2.631,
广州地铁,地铁12号线,赤沙北,赤沙,900000226817004,900000074491001,1.808,
广州地铁,地铁12号线,赤沙,北山,900000074491001,900000226817006,1.206,
广州地铁,地铁12号线,北山,官洲,900000226817006,440100023035006,1.949,
广州地铁,地铁12号线,官洲,大学城北,440100023035006,440100023035007,1.418,
广州地铁,地铁12号线,大学城北,大学城南,440100023035007,440100023035008,2.206,
广州地铁,地铁13号线,天河公园,棠下,900000046003032,900000071578013,1.804,
广州地铁,地铁13号线,棠下,车陂,900000071578013,440100023035003,1.521,
广州地铁,地铁13号线,车陂,天河珠村,440100023035003,900000071578015,2.63,
广州地铁,地铁13号线,天河珠村,鱼珠,900000071578015,440100023037022,2.158,
广州地铁,地铁13号线,鱼珠,裕丰围,440100023037022,900000043742025,2.486,
广州地铁,地铁13号线,裕丰围,双岗,900000043742025,900000071578003,1.896,
广州地铁,地铁13号线,双岗,南海神庙,900000071578003,900000071578004,2.648,
广州地铁,地铁13号线,南海神庙,夏园,900000071578004,440100023037034,2.144,
广州地铁,地铁13号线,夏园,南岗,440100023037034,900000071578006,2.73,
广州地铁,地铁13号线,南岗,沙村,900000071578006,900000071578007,3.418,
广州地铁,地铁13号线,沙村,白江,900000071578007,900000071578008,2.938,
广州地铁,地铁13号线,白江,新塘,900000071578008,900000071578009,1.308,
广州地铁,地铁13号线,新塘,官湖,900000071578009,900000071578010,3.338,
广州地铁,地铁13号线,官湖,新沙,900000071578010,900000071578011,1.314,
广州地铁,地铁14号线,乐嘉路,云霄路,900000074701014,900000074701015,1.377,
广州地铁,地铁14号线,云霄路,新市墟,900000074701015,900000074701016,1.217,
广州地铁,地铁14号线,新市墟,马务,900000074701016,900000074701017,0.86,
广州地铁,地铁14号线,马务,鹤边,900000074701017,900000074701018,1.258,
广州地铁,地铁14号线,鹤边,鹤龙,900000074701018,900000074701019,1.21,
广州地铁,地铁14号线,鹤龙,彭边,900000074701019,900000074701020,1.083,
广州地铁,地铁14号线,彭边,嘉禾望岗,900000074701020,440100023031006,1.384,
广州地铁,地铁14号线,嘉禾望岗,白云东平,440100023031006,900000074701002,3.296,
广州地铁,地铁14号线,白云东平,夏良,900000074701002,900000074701003,3.007,
广州地铁,地铁14号线,夏良,太和,900000074701003,900000074701004,3.408,
广州地铁,地铁14号线,太和,竹料,900000074701004,900000074701005,5.882,
广州地铁,地铁14号线,竹料,钟落潭,900000074701005,900000074701006,4.475,
广州地铁,地铁14号线,钟落潭,马沥,900000074701006,900000074701007,5.463,
广州地铁,地铁14号线,马沥,新和,900000074701007,900000074701008,2.746,
广州地铁,地铁14号线,新和,太平,900000074701008,900000074701009,5.009,
广州地铁,地铁14号线,太平,神岗,900000074701009,900000074701010,3.644,
广州地铁,地铁14号线,神岗,赤草,900000074701010,900000074701011,5.248,
广州地铁,地铁14号线,赤草,从化客运站,900000074701011,900000074701012,4.887,
广州地铁,地铁14号线,从化客运站,东风,900000074701012,900000074701013,3.882,
广州地铁,地铁14号线支线(知识城线),新和,红卫,900000074701008,900000074703002,2.596,
广州地铁,地铁14号线支线(知识城线),红卫,新南,900000074703002,900000074703003,2.576,
广州地铁,地铁14号线支线(知识城线),新南,枫下,900000074703003,900000074703004,2.066,
广州地铁,地铁14号线支线(知识城线),枫下,知识城,900000074703004,900000074703005,2.298,
广州地铁,地铁14号线支线(知识城线),知识城,何棠下,900000074703005,900000074703006,2.766,
广州地铁,地铁14号线支线(知识城线),何棠下,旺村,900000074703006,900000074703007,1.207,
广州地铁,地铁14号线支线(知识城线),旺村,汤村,900000074703007,900000074703008,2.205,
广州地铁,地铁14号线支线(知识城线),汤村,镇龙北,900000074703008,900000074703009,2.342,
广州地铁,地铁14号线支线(知识城线),镇龙北,镇龙,900000074703009,900000046003007,1.734,
广州地铁,地铁18号线,冼村,磨碟沙,900000075991002,440100023047011,3.292,
广州地铁,地铁18号线,磨碟沙,龙潭,440100023047011,900000074491031,2.163,
广州地铁,地铁18号线,龙潭,沙溪,900000074491031,900000075991005,4.877,
广州地铁,地铁18号线,沙溪,南村万博,900000075991005,900000043742004,3.542,
广州地铁,地铁18号线,南村万博,番禺广场,900000043742004,440100023033002,8.637,
广州地铁,地铁18号线,番禺广场,横沥,440100023033002,900000075991008,23.99,
广州地铁,地铁18号线,横沥,万顷沙,900000075991008,900000075991009,7.714,
广州地铁,地铁1号线,西塱,坑口,440100023043015,440100023049016,1.539,
广州地铁,地铁1号线,坑口,花地湾,440100023049016,440100023049015,0.923,
广州地铁,地铁1号线,花地湾,芳村,440100023049015,440100023049014,1.294,
广州地铁,地铁1号线,芳村,黄沙,440100023049014,440100023049013,1.39,
广州地铁,地铁1号线,黄沙,长寿路,440100023049013,440100023049012,0.91,
广州地铁,地铁1号线,长寿路,陈家祠,440100023049012,440100023047028,0.919,
广州地铁,地铁1号线,陈家祠,西门口,440100023047028,440100023049010,0.962,
广州地铁,地铁1号线,西门口,公园前,440100023049010,440100023049009,0.868,
