系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
济南地铁,云巴1号线,徐马,0.0,0.0,117.335413,36.693946,900000235330022,,
济南地铁,云巴1号线,春园路,1.041,1.041,117.337984,36.684813,900000235330053,,
济南地铁,云巴1号线,市妇幼东院,0.691,1.732,117.330552,36.683047,900000235330052,,
济南地铁,云巴1号线,山东职业学院(云巴),1.021,2.753,117.325931,36.674649,900000235330051,,
济南地铁,云巴1号线,庄科,1.068,3.821,117.323684,36.665214,900000235330050,,
济南地铁,云巴1号线,春景路,0.858,4.679,117.318291,36.658828,900000235330049,,
济南地铁,云巴1号线,科创城,0.769,5.448,117.31085,36.662325,900000235330048,,
济南地铁,云巴1号线,春博路(云巴),0.954,6.402,117.307231,36.670395,900000235330047,,
济南地铁,云巴1号线,孙村,0.924,7.326,117.306675,36.67869,900000235330046,,
济南地铁,云巴1号线,彩虹湖东,0.553,7.879,117.300487,36.679041,900000235330045,,
济南地铁,云巴1号线,彩虹湖,0.595,8.474,117.293929,36.67808,900000235330044,,
济南地铁,云巴1号线,春意路,1.115,9.589,117.28146,36.677296,900000235330043,,
济南地铁,云巴1号线,春喧路,0.786,10.375,117.272654,36.677606,900000235330042,,
济南地铁,云巴1号线,沙沟,0.63,11.005,117.266092,36.679707,900000235330041,,
济南地铁,云巴1号线,科航路,0.908,11.913,117.263624,36.687625,900000235330040,,
济南地铁,云巴1号线,春秀路,0.884,12.797,117.25816,36.694257,900000235330039,,
济南地铁,云巴1号线,唐宣路,1.964,14.761,117.236914,36.689588,900000235330038,,
济南地铁,云巴1号线,历城文博中心,0.399,15.16,117.232445,36.689668,900000235330037,,
济南地铁,云巴1号线,唐冶(云巴),0.416,15.576,117.227784,36.689863,900000235330036,,
济南地铁,云巴1号线,贞观街,0.73,16.306,117.228032,36.696429,900000235330035,,
济南地铁,云巴1号线,历城二中唐冶校区(云巴),0.816,17.122,117.229278,36.703699,900000235330034,,
济南地铁,云巴1号线,彭家庄(云巴),0.608,17.73,117.230211,36.709118,900000235330033,,
济南地铁,云巴1号线,唐冶东路,0.63,18.36,117.237277,36.709132,900000235330032,,
济南地铁,云巴1号线,武家庄,1.476,19.836,117.253805,36.709993,900000235330031,,
济南地铁,云巴1号线,武将山东,1.296,21.132,117.268328,36.709401,900000235330030,,
济南地铁,云巴1号线,科远路,0.646,21.778,117.270516,36.703863,900000235330029,,
济南地铁,云巴1号线,世纪大道春喧路,1.007,22.785,117.273828,36.695202,900000235330028,,
济南地铁,云巴1号线,春晖路,1.6,24.385,117.291774,36.695163,900000235330027,,
济南地铁,云巴1号线,高新实验中学,0.59,24.975,117.298384,36.695291,900000235330026,,
济南地铁,云巴1号线,高新一中,0.725,25.7,117.306509,36.695123,900000235330025,,
济南地铁,云巴1号线,西巨野河,0.852,26.552,117.316034,36.694523,900000235330024,,
济南地铁,云巴1号线,大正路,1.271,27.823,117.33028,36.694114,900000235330023,,
济南地铁,轨道交通1号线,方特,0.0,0.0,116.894884,36.68258,900000071030001,,
济南地铁,轨道交通1号线,济南西站,1.459,1.459,116.893758,36.669486,900000071030002,,
济南地铁,轨道交通1号线,大杨,2.164,3.623,116.896207,36.650122,900000071030003,,
济南地铁,轨道交通1号线,王府庄,3.204,6.827,116.881587,36.623802,900000071030004,,
济南地铁,轨道交通1号线,玉符河,2.626,9.453,116.857649,36.610067,900000071030005,,
济南地铁,轨道交通1号线,赵营,2.974,12.427,116.834664,36.590704,900000071030006,,
济南地铁,轨道交通1号线,紫薇路,3.289,15.716,116.810216,36.568575,900000071030007,,
济南地铁,轨道交通1号线,大学城,1.901,17.617,116.803741,36.552291,900000071030008,,
济南地铁,轨道交通1号线,园博园,1.833,19.45,116.79996,36.536088,900000071030009,,
济南地铁,轨道交通1号线,创新谷,2.925,22.375,116.805017,36.510099,900000071030010,,
济南地铁,轨道交通1号线,工研院,1.565,23.94,116.795194,36.498445,900000071030011,,
济南地铁,轨道交通2号线,王府庄,0.0,0.0,116.881587,36.623802,900000071030004,,
济南地铁,轨道交通2号线,腊山南,1.831,1.831,116.902058,36.624847,900000073474037,,
济南地铁,轨道交通2号线,腊山,3.422,5.253,116.918965,36.652471,900000073474036,,
济南地铁,轨道交通2号线,二环西路,1.702,6.955,116.932335,36.663397,900000073474035,,
济南地铁,轨道交通2号线,老屯,1.96,8.915,116.95404,36.666121,900000073474034,,
济南地铁,轨道交通2号线,八里桥,0.856,9.771,116.962142,36.670251,900000073474033,,
济南地铁,轨道交通2号线,益康路,0.986,10.757,116.972487,36.673391,900000073474032,,
济南地铁,轨道交通2号线,济南站北,1.213,11.97,116.985296,36.677061,900000073474031,,
济南地铁,轨道交通2号线,济泺路,1.173,13.143,116.994501,36.684591,900000073474030,,
济南地铁,轨道交通2号线,生产路,1.988,15.131,117.016792,36.684554,900000073474029,,
济南地铁,轨道交通2号线,北园,1.533,16.664,117.033849,36.686266,900000073474028,,
济南地铁,轨道交通2号线,历山路,0.779,17.443,117.041955,36.688889,900000073474027,,
济南地铁,轨道交通2号线,七里堡,2.292,19.735,117.067563,36.690665,900000073474026,,
济南地铁,轨道交通2号线,祝甸,1.517,21.252,117.082382,36.697363,900000073474025,,
济南地铁,轨道交通2号线,八涧堡,2.057,23.309,117.103395,36.704998,900000066599010,,
济南地铁,轨道交通2号线,姜家庄,2.159,25.468,117.127551,36.706385,900000073474023,,
济南地铁,轨道交通2号线,凤凰北路,1.622,27.09,117.145572,36.708422,900000073474022,,
济南地铁,轨道交通2号线,鲍山,3.78,30.87,117.187961,36.709211,900000073474021,,
济南地铁,轨道交通2号线,彭家庄,3.735,34.605,117.229862,36.70961,900000073474020,,
济南地铁,轨道交通3号线,机场南,0.0,0.0,117.210757,36.85161,900000066599022,,
济南地铁,轨道交通3号线,临空,2.458,2.458,117.209664,36.829518,900000066599018,,
济南地铁,轨道交通3号线,临港北路,3.458,5.916,117.207155,36.798486,900000066599019,,
济南地铁,轨道交通3号线,川流,2.821,8.737,117.193718,36.775516,900000066599020,,
济南地铁,轨道交通3号线,曲家庄,1.575,10.312,117.178175,36.768758,900000066599021,,
济南地铁,轨道交通3号线,滩头,1.175,11.487,117.1652,36.76686,900000066599005,,
济南地铁,轨道交通3号线,济南东站,2.191,13.678,117.159754,36.747646,900000066599006,,
济南地铁,轨道交通3号线,裴家营,1.434,15.112,117.159461,36.734748,900000066599007,,
济南地铁,轨道交通3号线,王舍人,2.477,17.589,117.138371,36.720246,900000066599008,,
济南地铁,轨道交通3号线,张马屯,2.078,19.667,117.115131,36.71877,900000066599009,,
济南地铁,轨道交通3号线,八涧堡,1.855,21.522,117.103395,36.704998,900000066599010,,
济南地铁,轨道交通3号线,花园东路,1.433,22.955,117.106489,36.692354,900000066599011,,
济南地铁,轨道交通3号线,丁家庄,1.662,24.617,117.109794,36.677647,900000066599012,,
济南地铁,轨道交通3号线,安成街,1.022,25.639,117.109853,36.668454,900000066599013,,
济南地铁,轨道交通3号线,奥体中心,1.017,26.656,117.11151,36.659401,900000066599014,,
济南地铁,轨道交通3号线,龙奥大厦,0.998,27.654,117.114436,36.650738,900000066599015,,
济南地铁,轨道交通3号线,孟家庄,2.0,29.654,117.120075,36.633326,900000066599016,,
济南地铁,轨道交通3号线,龙洞,1.691,31.345,117.117876,36.618222,900000066599017,,
济南地铁,轨道交通4号线,彭家庄,0.0,0.0,117.229862,36.70961,900000073474020,,
济南地铁,轨道交通4号线,历城二中唐冶校区,0.771,0.771,117.22909,36.7027,900000217582002,,
济南地铁,轨道交通4号线,唐冶,1.42,2.191,117.226263,36.690131,900000217582003,,
济南地铁,轨道交通4号线,唐冶公园,1.2,3.391,117.226833,36.679345,900000217582004,,
济南地铁,轨道交通4号线,邢村立交桥东,1.103,4.494,117.219162,36.67156,900000217582005,,
济南地铁,轨道交通4号线,邢村立交桥西,1.555,6.049,117.201985,36.673935,900000217582006,,
济南地铁,轨道交通4号线,文旅城,0.776,6.825,117.193557,36.672206,900000217582007,,
