系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
金华轨道交通,金义东线义东段,凌云,春晗,900000167206002,900000167206003,1.998,
金华轨道交通,金义东线义东段,春晗,秦塘,900000167206003,900000167204016,1.956,
金华轨道交通,金义东线义东段,秦塘,国际商贸城,900000167204016,900000167206005,1.409,
金华轨道交通,金义东线义东段,国际商贸城,浙医四院,900000167206005,900000167206006,1.956,
金华轨道交通,金义东线义东段,浙医四院,江东,900000167206006,900000167206007,2.48,
金华轨道交通,金义东线义东段,江东,木雕城,900000167206007,900000167206008,4.694,
金华轨道交通,金义东线义东段,木雕城,歌山路,900000167206008,900000167206009,3.256,
金华轨道交通,金义东线义东段,歌山路,人民路,900000167206009,900000167206010,2.493,
金华轨道交通,金义东线义东段,人民路,会展中心,900000167206010,900000167206011,2.081,
金华轨道交通,金义东线义东段,会展中心,体育馆,900000167206011,900000167206012,2.042,
金华轨道交通,金义东线义东段,体育馆,横店高铁站,900000167206012,900000167206013,5.993,
金华轨道交通,金义东线义东段,横店高铁站,明清宫,900000167206013,900000167206014,6.032,
金华轨道交通,金义东线金义段,金华站,双溪西路,900000167204001,900000167204002,2.27,
金华轨道交通,金义东线金义段,双溪西路,八一南街,900000167204002,900000167204003,1.284,
金华轨道交通,金义东线金义段,八一南街,万达广场,900000167204003,900000167204004,2.176,
金华轨道交通,金义东线金义段,万达广场,大堰河街,900000167204004,900000167204005,2.818,
金华轨道交通,金义东线金义段,大堰河街,轨道大厦,900000167204005,900000167204006,1.792,
金华轨道交通,金义东线金义段,轨道大厦,金华南站,900000167204006,900000167204007,2.417,
金华轨道交通,金义东线金义段,金华南站,塘雅,900000167204007,900000167204008,8.932,
金华轨道交通,金义东线金义段,塘雅,综保区,900000167204008,900000167204009,4.876,
金华轨道交通,金义东线金义段,综保区,新区,900000167204009,900000167204010,2.278,
金华轨道交通,金义东线金义段,新区,东华街,900000167204010,900000167204011,2.082,
金华轨道交通,金义东线金义段,东华街,义亭,900000167204011,900000167204012,8.742,
金华轨道交通,金义东线金义段,义亭,官塘,900000167204012,900000167204013,5.797,
金华轨道交通,金义东线金义段,官塘,稠江,900000167204013,900000167204014,2.12,
金华轨道交通,金义东线金义段,稠江,绣湖,900000167204014,900000167204015,3.749,
金华轨道交通,金义东线金义段,绣湖,秦塘,900000167204015,900000167204016,3.608,
