系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
南宁地铁,轨道交通1号线,火车东站,0.0,0.0,108.414091,22.839677,900000058314001,,
南宁地铁,轨道交通1号线,佛子岭,1.408,1.408,108.424884,22.831844,900000058314002,,
南宁地铁,轨道交通1号线,百花岭,1.559,2.967,108.427946,22.818109,900000058314003,,
南宁地铁,轨道交通1号线,埌东客运站,1.115,4.082,108.418641,22.812921,900000058314004,,
南宁地铁,轨道交通1号线,凤岭,0.85,4.932,108.410346,22.813119,900000058314005,,
南宁地铁,轨道交通1号线,东盟商务区,1.157,6.089,108.399059,22.813064,900000058314006,,
南宁地铁,轨道交通1号线,万象城,0.721,6.81,108.392022,22.813041,900000058314007,,
南宁地铁,轨道交通1号线,会展中心,0.85,7.66,108.383728,22.812865,900000058314008,,
南宁地铁,轨道交通1号线,金湖广场,1.166,8.826,108.372356,22.812895,900000058314009,,
南宁地铁,轨道交通1号线,南湖,0.956,9.782,108.363067,22.813671,900000058314010,,
南宁地铁,轨道交通1号线,麻村,1.6,11.382,108.347473,22.813014,900000058314011,,
南宁地铁,轨道交通1号线,民族广场,1.14,12.522,108.33635,22.813048,900000058314012,,
南宁地铁,轨道交通1号线,新民路,0.925,13.447,108.327324,22.813042,900000058314013,,
南宁地铁,轨道交通1号线,朝阳广场,0.803,14.25,108.320842,22.817093,900000058314014,,
南宁地铁,轨道交通1号线,火车站,0.981,15.231,108.316335,22.824874,900000058314015,,
南宁地铁,轨道交通1号线,白苍岭,1.166,16.397,108.307154,22.83107,900000058314016,,
南宁地铁,轨道交通1号线,广西大学,1.645,18.042,108.291111,22.831607,900000058314017,,
南宁地铁,轨道交通1号线,鲁班路,0.874,18.916,108.283012,22.834074,900000058314018,,
南宁地铁,轨道交通1号线,动物园,1.616,20.532,108.267771,22.837805,900000058314019,,
南宁地铁,轨道交通1号线,清川,1.524,22.056,108.253119,22.840172,900000058314020,,
南宁地铁,轨道交通1号线,民族大学,2.086,24.142,108.233018,22.837229,900000058314021,,
南宁地铁,轨道交通1号线,西乡塘客运站,1.499,25.641,108.219156,22.832924,900000058314022,,
南宁地铁,轨道交通1号线,鹏飞路,1.729,27.37,108.202283,22.833056,900000058314023,,
南宁地铁,轨道交通1号线,南职院,1.029,28.399,108.192244,22.83313,900000058314024,,
南宁地铁,轨道交通1号线,石埠,1.671,30.07,108.177596,22.826528,900000058314025,,
南宁地铁,轨道交通2号线,西津,0.0,0.0,108.298459,22.88927,900000060985036,,
南宁地铁,轨道交通2号线,安吉客运站,1.06,1.06,108.297843,22.879757,900000060985035,,
南宁地铁,轨道交通2号线,苏卢,1.222,2.282,108.299553,22.868884,900000060985034,,
南宁地铁,轨道交通2号线,三十三中,1.244,3.526,108.302241,22.857976,900000060985033,,
南宁地铁,轨道交通2号线,秀厢,1.144,4.67,108.306686,22.848542,900000060985032,,
南宁地铁,轨道交通2号线,明秀路,1.207,5.877,108.312746,22.839235,900000060985031,,
南宁地铁,轨道交通2号线,火车站,1.639,7.516,108.316335,22.824874,900000058314015,,
南宁地铁,轨道交通2号线,朝阳广场,0.981,8.497,108.320842,22.817093,900000058314014,,
南宁地铁,轨道交通2号线,南宁剧场,1.615,10.112,108.313648,22.804174,900000060985028,,
南宁地铁,轨道交通2号线,福建园,1.06,11.172,108.31129,22.794893,900000060985027,,
南宁地铁,轨道交通2号线,亭洪路,0.667,11.839,108.311402,22.788898,900000060985026,,
南宁地铁,轨道交通2号线,石柱岭,0.821,12.66,108.311485,22.781518,900000060985025,,
南宁地铁,轨道交通2号线,江南客运站,1.657,14.317,108.312121,22.766625,900000060985024,,
南宁地铁,轨道交通2号线,大沙田,0.803,15.12,108.316759,22.760811,900000060985023,,
南宁地铁,轨道交通2号线,建设路,1.012,16.132,108.31832,22.75182,900000060985022,,
南宁地铁,轨道交通2号线,石子塘,1.336,17.468,108.324374,22.741181,900000060985021,,
南宁地铁,轨道交通2号线,金象,1.364,18.832,108.332244,22.731297,900000060985020,,
南宁地铁,轨道交通2号线,玉洞,1.074,19.906,108.33665,22.722533,900000060985019,,
南宁地铁,轨道交通2号线,东风路,1.638,21.544,108.352286,22.71954,900000060985041,,
南宁地铁,轨道交通2号线,玉岭路,0.845,22.389,108.360239,22.721532,900000060985040,,
南宁地铁,轨道交通2号线,那福路,1.417,23.806,108.373548,22.724965,900000060985039,,
南宁地铁,轨道交通2号线,平良立交,1.059,24.865,108.383758,22.726373,900000060985038,,
南宁地铁,轨道交通2号线,坛泽,1.001,25.866,108.393513,22.726328,900000060985037,,
南宁地铁,轨道交通3号线,科园大道,0.0,0.0,108.2693,22.878325,900000067049001,,
南宁地铁,轨道交通3号线,创业路,1.499,1.499,108.283924,22.878842,900000067049002,,
南宁地铁,轨道交通3号线,安吉客运站,1.43,2.929,108.297843,22.879757,900000060985035,,
南宁地铁,轨道交通3号线,北湖北路,1.943,4.872,108.316253,22.87557,900000067049004,,
南宁地铁,轨道交通3号线,秀峰路,1.565,6.437,108.331253,22.878222,900000067049005,,
南宁地铁,轨道交通3号线,邕武路,0.964,7.401,108.340209,22.875565,900000067049006,,
南宁地铁,轨道交通3号线,大鸡村,1.153,8.554,108.350972,22.872549,900000067049007,,
南宁地铁,轨道交通3号线,兴桂路,1.059,9.613,108.356508,22.864507,900000067049008,,
南宁地铁,轨道交通3号线,小鸡村,0.92,10.533,108.356139,22.85624,900000067049009,,
南宁地铁,轨道交通3号线,东沟岭,1.22,11.753,108.354822,22.845337,900000067049010,,
南宁地铁,轨道交通3号线,长堽路,1.061,12.814,108.356054,22.835859,900000067049011,,
南宁地铁,轨道交通3号线,东葛路,0.766,13.58,108.360007,22.830017,900000067049012,,
南宁地铁,轨道交通3号线,滨湖路,1.125,14.705,108.369485,22.824915,900000067049013,,
南宁地铁,轨道交通3号线,金湖广场,1.369,16.074,108.372356,22.812895,900000058314009,,
南宁地铁,轨道交通3号线,埌西,1.001,17.075,108.366096,22.80599,900000067049015,,
南宁地铁,轨道交通3号线,青竹立交,0.783,17.858,108.364177,22.799171,900000067049016,,
南宁地铁,轨道交通3号线,青秀山,0.867,18.725,108.368606,22.792524,900000067049017,,
南宁地铁,轨道交通3号线,市博物馆,2.083,20.808,108.376107,22.77511,900000067049018,,
南宁地铁,轨道交通3号线,总部基地,0.833,21.641,108.376263,22.767619,900000067049019,,
南宁地铁,轨道交通3号线,广西规划馆,1.173,22.814,108.377809,22.757164,900000067049020,,
南宁地铁,轨道交通3号线,庆歌路,0.959,23.773,108.383394,22.750251,900000067049021,,
南宁地铁,轨道交通3号线,五象湖,1.248,25.021,108.383807,22.739034,900000067049022,,
南宁地铁,轨道交通3号线,平良立交,1.408,26.429,108.383758,22.726373,900000060985038,,
南宁地铁,轨道交通4号线,洪运路,0.0,0.0,108.242697,22.765316,900000073499018,,
南宁地铁,轨道交通4号线,那历村,1.735,1.735,108.258885,22.760778,900000073499017,,
南宁地铁,轨道交通4号线,那洪立交,1.143,2.878,108.270032,22.760751,900000073499016,,
南宁地铁,轨道交通4号线,金阳路,1.172,4.05,108.281459,22.760831,900000073499015,,
南宁地铁,轨道交通4号线,通源路,1.907,5.957,108.299888,22.758542,900000073499014,,
南宁地铁,轨道交通4号线,大沙田,1.748,7.705,108.316759,22.760811,900000060985023,,
南宁地铁,轨道交通4号线,金象大道,0.659,8.364,108.323187,22.760766,900000073499013,,
南宁地铁,轨道交通4号线,五象岭,1.521,9.885,108.338012,22.761276,900000073499012,,
南宁地铁,轨道交通4号线,玉象路,2.487,12.372,108.360984,22.768445,900000073499011,,
南宁地铁,轨道交通4号线,总部基地,1.569,13.941,108.376263,22.767619,900000067049019,,
南宁地铁,轨道交通4号线,飞龙路,1.031,14.972,108.386229,22.76636,900000073499009,,
南宁地铁,轨道交通4号线,体育中心西,0.483,15.455,108.39088,22.76566,900000073499008,,
南宁地铁,轨道交通4号线,体育中心东,1.01,16.465,108.399177,22.760771,900000073499007,,
