系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
长沙地铁,S2线,900000057211,磁浮机场站,磁浮榔梨,900000057211003,900000057211002,9.077,
长沙地铁,S2线,900000057211,磁浮榔梨,磁浮高铁站,900000057211002,900000057211001,6.598,
长沙地铁,地铁1号线,430100020925,金盆丘(铜官窑巴士站),金霞,430100020925033,430100020925034,1.964,
长沙地铁,地铁1号线,430100020925,金霞,鹅羊山,430100020925034,430100020925035,2.066,
长沙地铁,地铁1号线,430100020925,鹅羊山,秀峰山,430100020925035,430100020925036,1.952,
长沙地铁,地铁1号线,430100020925,秀峰山,宿龙桥,430100020925036,430100020925037,2.087,
长沙地铁,地铁1号线,430100020925,宿龙桥,开福区政府,430100020925037,430100020925002,1.974,
长沙地铁,地铁1号线,430100020925,开福区政府,马厂,430100020925002,430100020925022,1.243,
长沙地铁,地铁1号线,430100020925,马厂,北辰三角洲,430100020925022,430100020925023,1.744,
长沙地铁,地铁1号线,430100020925,北辰三角洲,开福寺,430100020925023,430100020925024,1.583,
长沙地铁,地铁1号线,430100020925,开福寺,文昌阁,430100020925024,430100020925006,1.09,
长沙地铁,地铁1号线,430100020925,文昌阁,培元桥,430100020925006,430100020925007,0.746,
长沙地铁,地铁1号线,430100020925,培元桥,五一广场,430100020925007,430100020925008,1.208,
长沙地铁,地铁1号线,430100020925,五一广场,黄兴广场,430100020925008,430100020925025,0.656,
长沙地铁,地铁1号线,430100020925,黄兴广场,南门口,430100020925025,430100020925026,0.661,
长沙地铁,地铁1号线,430100020925,南门口,侯家塘,430100020925026,430100020925011,1.227,
长沙地铁,地铁1号线,430100020925,侯家塘,南湖路,430100020925011,430100020925012,0.921,
长沙地铁,地铁1号线,430100020925,南湖路,黄土岭,430100020925012,430100020925027,0.615,
长沙地铁,地铁1号线,430100020925,黄土岭,涂家冲,430100020925027,430100020925028,0.822,
长沙地铁,地铁1号线,430100020925,涂家冲,铁道学院,430100020925028,430100020925015,1.907,
长沙地铁,地铁1号线,430100020925,铁道学院,友谊路,430100020925015,430100020925016,1.394,
长沙地铁,地铁1号线,430100020925,友谊路,省政府·清风,430100020925016,430100020925017,1.385,
长沙地铁,地铁1号线,430100020925,省政府·清风,桂花坪,430100020925017,430100020925029,1.331,
长沙地铁,地铁1号线,430100020925,桂花坪,大托,430100020925029,430100020925030,1.856,
长沙地铁,地铁1号线,430100020925,大托,中信广场,430100020925030,430100020925031,0.987,
长沙地铁,地铁1号线,430100020925,中信广场,尚双塘,430100020925031,430100020925032,1.335,
长沙地铁,地铁2号线,430100020927,梅溪湖西,麓云路,430100020927021,430100020927022,1.138,
长沙地铁,地铁2号线,430100020927,麓云路,文化艺术中心,430100020927022,430100020927023,1.05,
长沙地铁,地铁2号线,430100020927,文化艺术中心,梅溪湖东,430100020927023,430100020927024,0.937,
长沙地铁,地铁2号线,430100020927,梅溪湖东,望城坡(汽车西站),430100020927024,430100020927002,0.842,
长沙地铁,地铁2号线,430100020927,望城坡(汽车西站),金星路,430100020927002,430100020927003,1.469,
长沙地铁,地铁2号线,430100020927,金星路,西湖公园,430100020927003,430100020927004,1.173,
长沙地铁,地铁2号线,430100020927,西湖公园,溁湾镇,430100020927004,430100020927005,1.258,
长沙地铁,地铁2号线,430100020927,溁湾镇,橘子洲·青莲,430100020927005,430100020927006,1.109,
长沙地铁,地铁2号线,430100020927,橘子洲·青莲,湘江中路,430100020927006,430100020927007,0.672,
长沙地铁,地铁2号线,430100020927,湘江中路,五一广场,430100020927007,430100020925008,0.693,
长沙地铁,地铁2号线,430100020927,五一广场,芙蓉广场,430100020925008,430100020927009,0.808,
长沙地铁,地铁2号线,430100020927,芙蓉广场,迎宾路口,430100020927009,430100020927010,0.737,
长沙地铁,地铁2号线,430100020927,迎宾路口,袁家岭,430100020927010,430100020927011,0.83,
长沙地铁,地铁2号线,430100020927,袁家岭,长沙火车站,430100020927011,430100020927012,1.018,
长沙地铁,地铁2号线,430100020927,长沙火车站,锦泰广场,430100020927012,430100020927013,0.676,
长沙地铁,地铁2号线,430100020927,锦泰广场,万家丽广场,430100020927013,430100020927014,1.236,
长沙地铁,地铁2号线,430100020927,万家丽广场,人民东路,430100020927014,430100020927015,1.17,
长沙地铁,地铁2号线,430100020927,人民东路,长沙大道,430100020927015,430100020927016,1.852,
长沙地铁,地铁2号线,430100020927,长沙大道,沙湾公园,430100020927016,430100020927017,1.183,
长沙地铁,地铁2号线,430100020927,沙湾公园,杜花路,430100020927017,430100020927018,1.695,
长沙地铁,地铁2号线,430100020927,杜花路,长沙火车南站,430100020927018,430100020927019,0.859,
长沙地铁,地铁2号线,430100020927,长沙火车南站,光达,430100020927019,430100020927020,1.951,
长沙地铁,地铁3号线,900000065929,湘潭北站,船形山,900000065929026,900000065929027,1.911,
长沙地铁,地铁3号线,900000065929,船形山,黄家湾,900000065929027,900000065929028,1.219,
长沙地铁,地铁3号线,900000065929,黄家湾,双湖,900000065929028,900000065929029,4.439,
长沙地铁,地铁3号线,900000065929,双湖,坪塘,900000065929029,900000065929030,2.411,
