系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
贵阳地铁,轨道交通1号线,900000068716,小孟工业园,0.0,0.0,106.709631,26.497717,900000068716039,,
贵阳地铁,轨道交通1号线,900000068716,清水江路,1.037,1.037,106.709301,26.507042,900000068716038,,
贵阳地铁,轨道交通1号线,900000068716,长江路,1.219,2.256,106.711012,26.517896,900000068716037,,
贵阳地铁,轨道交通1号线,900000068716,珠江路,0.923,3.179,106.710916,26.526198,900000068716036,,
贵阳地铁,轨道交通1号线,900000068716,望城坡,1.153,4.332,106.712279,26.536496,900000068716035,,
贵阳地铁,轨道交通1号线,900000068716,沙冲路,1.737,6.069,106.703009,26.549737,900000068716034,,
贵阳地铁,轨道交通1号线,900000068716,贵阳火车站,0.879,6.948,106.703395,26.557631,900000068716033,,
贵阳地铁,轨道交通1号线,900000068716,河滨公园,1.364,8.312,106.70784,26.569234,900000068716032,,
贵阳地铁,轨道交通1号线,900000068716,中山西路,0.895,9.207,106.70977,26.577099,900000068716031,,
贵阳地铁,轨道交通1号线,900000068716,喷水池,0.727,9.934,106.710272,26.583623,900000066417020,,
贵阳地铁,轨道交通1号线,900000068716,北京路,1.12,11.054,106.706819,26.593213,900000068716029,,
贵阳地铁,轨道交通1号线,900000068716,八鸽岩,0.558,11.612,106.703101,26.596972,900000068716028,,
贵阳地铁,轨道交通1号线,900000068716,南垭路,2.101,13.713,106.704979,26.615794,900000068716027,,
贵阳地铁,轨道交通1号线,900000068716,雅关,2.322,16.035,106.70233,26.636544,900000068716026,,
贵阳地铁,轨道交通1号线,900000068716,贵阳北站,3.284,19.319,106.675334,26.619512,900000068716011,,
贵阳地铁,轨道交通1号线,900000068716,白鹭湖,1.352,20.671,106.661739,26.619642,900000068716010,,
贵阳地铁,轨道交通1号线,900000068716,新寨,1.282,21.953,106.654321,26.629075,900000068716009,,
贵阳地铁,轨道交通1号线,900000068716,阳关,1.119,23.072,106.655737,26.639058,900000068716008,,
贵阳地铁,轨道交通1号线,900000068716,国际生态会议中心,1.021,24.093,106.648565,26.645633,900000068716007,,
贵阳地铁,轨道交通1号线,900000068716,观山湖公园,1.689,25.782,106.631581,26.645087,900000068716006,,
贵阳地铁,轨道交通1号线,900000068716,林城西路,1.401,27.183,106.617487,26.645228,900000066417007,,
贵阳地铁,轨道交通1号线,900000068716,阅山湖公园,0.922,28.105,106.608246,26.645964,900000068716004,,
贵阳地铁,轨道交通1号线,900000068716,老湾塘,1.812,29.917,106.590209,26.648316,900000068716003,,
贵阳地铁,轨道交通1号线,900000068716,下麦西,1.265,31.182,106.579946,26.655046,900000068716002,,
贵阳地铁,轨道交通1号线,900000068716,窦官,1.076,32.258,106.569271,26.653414,900000068716040,,
贵阳地铁,轨道交通2号线,900000066417,白云北路,0.0,0.0,106.625255,26.692439,900000066417001,,
贵阳地铁,轨道交通2号线,900000066417,白云中路,1.197,1.197,106.63138,26.683171,900000066417002,,
贵阳地铁,轨道交通2号线,900000066417,云峰大道,0.849,2.046,106.62506,26.678026,900000066417003,,
贵阳地铁,轨道交通2号线,900000066417,泉湖公园,1.04,3.086,106.621795,26.66914,900000066417004,,
贵阳地铁,轨道交通2号线,900000066417,枫林路,0.957,4.043,106.61757,26.661408,900000066417005,,
贵阳地铁,轨道交通2号线,900000066417,诚信路,1.14,5.183,106.617569,26.651159,900000066417006,,
贵阳地铁,轨道交通2号线,900000066417,林城西路,0.66,5.843,106.617487,26.645228,900000066417007,,
贵阳地铁,轨道交通2号线,900000066417,观山西路,1.14,6.983,106.61702,26.634981,900000066417008,,
贵阳地铁,轨道交通2号线,900000066417,兴筑路,1.315,8.298,106.616523,26.623167,900000066417009,,
贵阳地铁,轨道交通2号线,900000066417,金阳医院,1.363,9.661,106.621249,26.611661,900000066417010,,
贵阳地铁,轨道交通2号线,900000066417,金阳南路,0.938,10.599,106.619938,26.603303,900000066417011,,
贵阳地铁,轨道交通2号线,900000066417,茶园,0.822,11.421,106.623881,26.596805,900000066417012,,
贵阳地铁,轨道交通2号线,900000066417,百花大道,1.504,12.925,106.636582,26.589454,900000066417013,,
贵阳地铁,轨道交通2号线,900000066417,马王庙,1.685,14.61,106.653293,26.586923,900000066417014,,
贵阳地铁,轨道交通2号线,900000066417,北京西路,0.953,15.563,106.660436,26.592642,900000066417015,,
贵阳地铁,轨道交通2号线,900000066417,改茶路,1.209,16.772,106.667507,26.583797,900000066417016,,
贵阳地铁,轨道交通2号线,900000066417,黔春路,1.283,18.055,106.67994,26.580707,900000066417017,,
贵阳地铁,轨道交通2号线,900000066417,延安西路,1.776,19.831,106.69775,26.581929,900000066417018,,
贵阳地铁,轨道交通2号线,900000066417,紫林庵,0.759,20.59,106.705365,26.582337,900000066417019,,
贵阳地铁,轨道交通2号线,900000066417,喷水池,0.508,21.098,106.710272,26.583623,900000066417020,,
贵阳地铁,轨道交通2号线,900000066417,阳明祠,1.279,22.377,106.723111,26.58299,900000066417021,,
贵阳地铁,轨道交通2号线,900000066417,省人民医院,0.648,23.025,106.724577,26.577308,900000066417022,,
贵阳地铁,轨道交通2号线,900000066417,宝山南路,0.898,23.923,106.729154,26.570346,900000066417023,,
贵阳地铁,轨道交通2号线,900000066417,油榨街,0.932,24.855,106.73175,26.562296,900000066417024,,
贵阳地铁,轨道交通2号线,900000066417,贵钢,0.871,25.726,106.731897,26.554461,900000066417025,,
贵阳地铁,轨道交通2号线,900000066417,富源北路,0.895,26.621,106.738754,26.549254,900000066417026,,
贵阳地铁,轨道交通2号线,900000066417,森林公园,3.19,29.811,106.770644,26.54621,900000066417027,,
贵阳地铁,轨道交通2号线,900000066417,见龙洞,1.012,30.823,106.780787,26.546959,900000066417028,,
贵阳地铁,轨道交通2号线,900000066417,龙洞堡机场,1.83,32.653,106.798835,26.543783,900000066417029,,
贵阳地铁,轨道交通2号线,900000066417,小碧,1.376,34.029,106.789144,26.534948,900000066417030,,
贵阳地铁,轨道交通2号线,900000066417,云盘,0.973,35.002,106.780733,26.530491,900000066417031,,
贵阳地铁,轨道交通2号线,900000066417,中兴路,1.325,36.327,106.77753,26.518927,900000066417032,,
贵阳地铁,轨道交通3号线,900000132329,洛湾,0.0,0.0,106.826012,26.654985,900000132329001,,
