系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
兰州轨道交通,轨道交通1号线,900000028566,陈官营,0.0,0.0,103.662299,36.08694,900000028566020,,
兰州轨道交通,轨道交通1号线,900000028566,奥体中心,1.471,1.471,103.678051,36.09055,900000028566019,,
兰州轨道交通,轨道交通1号线,900000028566,兰州城市学院(省科技馆),2.273,3.744,103.70114,36.098899,900000028566018,,
兰州轨道交通,轨道交通1号线,900000028566,兰州海关,0.895,4.639,103.709486,36.094513,900000028566017,,
兰州轨道交通,轨道交通1号线,900000028566,马滩,2.056,6.695,103.7273,36.082907,900000028566016,,
兰州轨道交通,轨道交通1号线,900000028566,土门墩,1.798,8.493,103.743176,36.07306,900000028566015,,
兰州轨道交通,轨道交通1号线,900000028566,兰州西站北广场,0.873,9.366,103.752681,36.071459,900000028566014,,
兰州轨道交通,轨道交通1号线,900000028566,西站什字,1.549,10.915,103.769518,36.0685,900000028566013,,
兰州轨道交通,轨道交通1号线,900000028566,七里河,1.081,11.996,103.781268,36.06641,900000028566012,,
兰州轨道交通,轨道交通1号线,900000028566,小西湖,1.388,13.384,103.796289,36.063522,900000028566011,,
兰州轨道交通,轨道交通1号线,900000028566,文化宫,0.843,14.227,103.805185,36.061132,900000028566010,,
兰州轨道交通,轨道交通1号线,900000028566,西关,1.074,15.301,103.816935,36.059373,900000028566009,,
兰州轨道交通,轨道交通1号线,900000028566,省政府,0.87,16.171,103.826614,36.059143,900000028566008,,
兰州轨道交通,轨道交通1号线,900000028566,东方红广场,1.568,17.739,103.842424,36.053191,900000028566007,,
兰州轨道交通,轨道交通1号线,900000028566,兰州大学,1.323,19.062,103.856588,36.049956,900000028566006,,
兰州轨道交通,轨道交通1号线,900000028566,五里铺,1.393,20.455,103.871472,36.04649,900000028566005,,
兰州轨道交通,轨道交通1号线,900000028566,省气象局,1.208,21.663,103.883466,36.041587,900000028566004,,
兰州轨道交通,轨道交通1号线,900000028566,拱星墩,1.108,22.771,103.895407,36.03911,900000028566003,,
兰州轨道交通,轨道交通1号线,900000028566,焦家湾,1.114,23.885,103.907753,36.038311,900000028566002,,
兰州轨道交通,轨道交通1号线,900000028566,东岗,0.933,24.818,103.917786,36.040469,900000028566001,,
兰州轨道交通,轨道交通2号线,900000077514,雁白大桥,0.0,0.0,103.884035,36.068349,900000077514001,,
兰州轨道交通,轨道交通2号线,900000077514,均家滩,0.885,0.885,103.881306,36.0607,900000077514002,,
兰州轨道交通,轨道交通2号线,900000077514,张苏滩,0.648,1.533,103.877219,36.055899,900000077514003,,
兰州轨道交通,轨道交通2号线,900000077514,五里铺,1.167,2.7,103.871472,36.04649,900000028566005,,
兰州轨道交通,轨道交通2号线,900000077514,团结新村,0.942,3.642,103.868863,36.038288,900000077514005,,
兰州轨道交通,轨道交通2号线,900000077514,红星巷,0.835,4.477,103.861221,36.034029,900000077514006,,
兰州轨道交通,轨道交通2号线,900000077514,兰州火车站,0.755,5.232,103.853146,36.035881,900000077514007,,
兰州轨道交通,轨道交通2号线,900000077514,邮电大楼,0.77,6.002,103.848814,36.041851,900000077514008,,
兰州轨道交通,轨道交通2号线,900000077514,东方红广场,1.386,7.388,103.842424,36.053191,900000028566007,,
