系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
宁波轨道交通,轨道交通1号线,330200021803,霞浦,长江路,330200021803030,330200021803029,1.251,
宁波轨道交通,轨道交通1号线,330200021803,长江路,中河路,330200021803029,330200021803028,1.406,
宁波轨道交通,轨道交通1号线,330200021803,中河路,松花江路,330200021803028,330200021803027,2.338,
宁波轨道交通,轨道交通1号线,330200021803,松花江路,大碶,330200021803027,330200021803026,1.808,
宁波轨道交通,轨道交通1号线,330200021803,大碶,邬隘,330200021803026,330200021803025,2.387,
宁波轨道交通,轨道交通1号线,330200021803,邬隘,宝幢,330200021803025,330200021803024,6.126,
宁波轨道交通,轨道交通1号线,330200021803,宝幢,五乡,330200021803024,330200021803023,4.19,
宁波轨道交通,轨道交通1号线,330200021803,五乡,邱隘东,330200021803023,330200021803022,2.911,
宁波轨道交通,轨道交通1号线,330200021803,邱隘东,东环南路,330200021803022,330200021803021,1.27,
宁波轨道交通,轨道交通1号线,330200021803,东环南路,盛莫路,330200021803021,330200021803020,1.432,
宁波轨道交通,轨道交通1号线,330200021803,盛莫路,福庆北路,330200021803020,330200021803019,1.194,
宁波轨道交通,轨道交通1号线,330200021803,福庆北路,海晏北路,330200021803019,330200021803018,0.933,
宁波轨道交通,轨道交通1号线,330200021803,海晏北路,世纪大道,330200021803018,330200021803017,1.225,
宁波轨道交通,轨道交通1号线,330200021803,世纪大道,福明路,330200021803017,330200021803016,0.887,
宁波轨道交通,轨道交通1号线,330200021803,福明路,樱花公园,330200021803016,330200021803015,1.189,
宁波轨道交通,轨道交通1号线,330200021803,樱花公园,舟孟北路,330200021803015,330200021803014,0.78,
宁波轨道交通,轨道交通1号线,330200021803,舟孟北路,江厦桥东,330200021803014,330200021803013,0.893,
宁波轨道交通,轨道交通1号线,330200021803,江厦桥东,东门口,330200021803013,330200021803012,0.96,
宁波轨道交通,轨道交通1号线,330200021803,东门口,鼓楼,330200021803012,330200021780013,0.679,
宁波轨道交通,轨道交通1号线,330200021803,鼓楼,西门口,330200021780013,330200021803010,0.878,
宁波轨道交通,轨道交通1号线,330200021803,西门口,大卿桥,330200021803010,330200021803009,0.8,
宁波轨道交通,轨道交通1号线,330200021803,大卿桥,泽民,330200021803009,330200021803008,1.059,
宁波轨道交通,轨道交通1号线,330200021803,泽民,望春桥,330200021803008,330200021803007,1.43,
宁波轨道交通,轨道交通1号线,330200021803,望春桥,徐家漕长乐,330200021803007,330200021803006,1.115,
宁波轨道交通,轨道交通1号线,330200021803,徐家漕长乐,芦港,330200021803006,330200021803005,0.973,
宁波轨道交通,轨道交通1号线,330200021803,芦港,梁祝,330200021803005,330200021803004,1.135,
宁波轨道交通,轨道交通1号线,330200021803,梁祝,高桥,330200021803004,330200021803003,1.422,
宁波轨道交通,轨道交通1号线,330200021803,高桥,高桥西,330200021803003,330200021803002,1.452,
宁波轨道交通,轨道交通2号线,330200021780,栎社国际机场,栎社,330200021780002,330200021780003,2.326,
宁波轨道交通,轨道交通2号线,330200021780,栎社,鄞州大道,330200021780003,330200021780004,1.594,
宁波轨道交通,轨道交通2号线,330200021780,鄞州大道,石碶,330200021780004,330200021780005,1.113,
宁波轨道交通,轨道交通2号线,330200021780,石碶,轻纺城,330200021780005,330200021780006,1.16,
宁波轨道交通,轨道交通2号线,330200021780,轻纺城,藕池,330200021780006,330200021780007,1.125,
宁波轨道交通,轨道交通2号线,330200021780,藕池,客运中心,330200021780007,330200021780008,1.023,
宁波轨道交通,轨道交通2号线,330200021780,客运中心,丽园南路,330200021780008,330200021780009,0.971,
宁波轨道交通,轨道交通2号线,330200021780,丽园南路,云霞路,330200021780009,330200021780010,0.835,
宁波轨道交通,轨道交通2号线,330200021780,云霞路,宁波火车站,330200021780010,330200021780011,1.103,
宁波轨道交通,轨道交通2号线,330200021780,宁波火车站,城隍庙,330200021780011,330200021780012,1.262,
宁波轨道交通,轨道交通2号线,330200021780,城隍庙,鼓楼,330200021780012,330200021780013,0.755,
宁波轨道交通,轨道交通2号线,330200021780,鼓楼,外滩大桥,330200021780013,330200021780014,1.371,
宁波轨道交通,轨道交通2号线,330200021780,外滩大桥,正大路,330200021780014,330200021780015,0.8,
宁波轨道交通,轨道交通2号线,330200021780,正大路,倪家堰,330200021780015,330200021780016,1.1,
宁波轨道交通,轨道交通2号线,330200021780,倪家堰,压赛堰,330200021780016,330200021780017,1.025,
宁波轨道交通,轨道交通2号线,330200021780,压赛堰,大通桥,330200021780017,330200021780018,0.573,
宁波轨道交通,轨道交通2号线,330200021780,大通桥,孔浦,330200021780018,330200021780019,1.05,
宁波轨道交通,轨道交通2号线,330200021780,孔浦,路林,330200021780019,330200021780020,2.012,
宁波轨道交通,轨道交通2号线,330200021780,路林,三官堂,330200021780020,330200021780021,0.867,
宁波轨道交通,轨道交通2号线,330200021780,三官堂,宁波大学,330200021780021,330200021780022,1.307,
宁波轨道交通,轨道交通2号线,330200021780,宁波大学,清水浦,330200021780022,330200021780023,2.793,
宁波轨道交通,轨道交通2号线,330200021780,清水浦,五里牌,330200021780023,330200021780024,2.427,
宁波轨道交通,轨道交通2号线,330200021780,五里牌,枫园,330200021780024,330200021780025,2.012,
宁波轨道交通,轨道交通2号线,330200021780,枫园,聪园路,330200021780025,330200021780026,1.164,
宁波轨道交通,轨道交通2号线,330200021780,聪园路,招宝山,330200021780026,330200021780027,1.073,
宁波轨道交通,轨道交通2号线,330200021780,招宝山,红联,330200021780027,330200021780028,1.383,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,大通桥,中兴大桥南,330200021780018,900000067955002,1.638,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,中兴大桥南,明楼,900000067955002,900000067955003,1.162,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,明楼,体育馆,900000067955003,900000067955004,0.962,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,体育馆,樱花公园,900000067955004,330200021803015,0.898,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,樱花公园,儿童公园,330200021803015,900000067955006,1.287,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,儿童公园,仇毕,900000067955006,900000067955007,0.93,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,仇毕,钱湖北路,900000067955007,900000067955008,1.424,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,钱湖北路,锦寓路,900000067955008,900000067955009,1.019,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,锦寓路,四明中路,900000067955009,900000067955010,0.802,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,四明中路,鄞州区政府,900000067955010,900000067955011,0.938,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,鄞州区政府,南部商务区,900000067955011,900000067955012,1.399,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,南部商务区,鄞州客运总站,900000067955012,900000067955013,0.983,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,鄞州客运总站,句章路,900000067955013,900000067955014,1.087,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,句章路,高塘桥,900000067955014,900000067955015,0.831,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,高塘桥,姜山,900000067955015,900000067955016,2.113,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,姜山,狮山,900000067955016,900000067955017,1.11,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,狮山,明辉路,900000067955017,900000067955018,1.315,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,明辉路,朝阳,900000067955018,900000067955019,1.588,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,朝阳,方桥,900000067955019,900000067955020,4.137,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,方桥,琎琳,900000067955020,900000067955021,2.647,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,琎琳,南渡,900000067955021,900000067955022,1.499,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,南渡,大成东路,900000067955022,900000067955023,4.028,
宁波轨道交通,轨道交通3号线(宁奉城际),900000067955,大成东路,金海路,900000067955023,900000067955024,2.332,
宁波轨道交通,轨道交通4号线,900000067964,慈城西,慈城,900000067964026,900000067964001,1.673,
宁波轨道交通,轨道交通4号线,900000067964,慈城,官山河,900000067964001,900000067964002,1.802,
宁波轨道交通,轨道交通4号线,900000067964,官山河,长兴路,900000067964002,900000067964003,1.484,
宁波轨道交通,轨道交通4号线,900000067964,长兴路,金山路,900000067964003,900000067964004,1.136,
宁波轨道交通,轨道交通4号线,900000067964,金山路,奥体中心,900000067964004,900000067964005,2.035,
宁波轨道交通,轨道交通4号线,900000067964,奥体中心,洪塘中路,900000067964005,900000067964006,1.314,
宁波轨道交通,轨道交通4号线,900000067964,洪塘中路,洪大路,900000067964006,900000067964007,2.073,
宁波轨道交通,轨道交通4号线,900000067964,洪大路,庄桥火车站,900000067964007,900000067964008,1.224,
宁波轨道交通,轨道交通4号线,900000067964,庄桥火车站,丽江路,900000067964008,900000067964009,1.335,
宁波轨道交通,轨道交通4号线,900000067964,丽江路,双东路,900000067964009,900000067964010,1.725,
宁波轨道交通,轨道交通4号线,900000067964,双东路,翠柏里,900000067964010,900000067964011,0.897,
宁波轨道交通,轨道交通4号线,900000067964,翠柏里,大卿桥,900000067964011,330200021803009,1.274,
宁波轨道交通,轨道交通4号线,900000067964,大卿桥,柳西,330200021803009,900000067964013,0.72,
宁波轨道交通,轨道交通4号线,900000067964,柳西,宁波火车站,900000067964013,330200021780011,1.05,
宁波轨道交通,轨道交通4号线,900000067964,宁波火车站,兴宁桥西,330200021780011,900000067964015,1.181,
