系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
天津地铁,Z4线,900000076881,寨上,汉沽医院,900000076881001,900000076881002,1.248,
天津地铁,Z4线,900000076881,汉沽医院,中心渔港,900000076881002,900000076881003,2.225,
天津地铁,Z4线,900000076881,中心渔港,玉砂道,900000076881003,900000076881004,3.993,
天津地铁,Z4线,900000076881,玉砂道,航母公园,900000076881004,900000076881005,2.299,
天津地铁,Z4线,900000076881,航母公园,软件园,900000076881005,900000076881006,1.983,
天津地铁,Z4线,900000076881,软件园,绿创园,900000076881006,900000076881007,2.048,
天津地铁,Z4线,900000076881,绿创园,和顺路,900000076881007,900000076881008,2.272,
天津地铁,Z4线,900000076881,和顺路,中新生态城,900000076881008,900000076881009,1.486,
天津地铁,Z4线,900000076881,中新生态城,北塘,900000076881009,900000076881010,2.824,
天津地铁,地铁10号线,900000079480,屿东城,崂山道,120100021904017,900000079480002,1.0,
天津地铁,地铁10号线,900000079480,崂山道,香山道,900000079480002,900000079480003,0.82,
天津地铁,地铁10号线,900000079480,香山道,万山道,900000079480003,900000079480004,0.776,
天津地铁,地铁10号线,900000079480,万山道,沙柳南路,900000079480004,120100021319018,0.827,
天津地铁,地铁10号线,900000079480,沙柳南路,方山道,120100021319018,900000079480006,0.807,
天津地铁,地铁10号线,900000079480,方山道,金贸产业园,900000079480006,900000079480007,0.837,
天津地铁,地铁10号线,900000079480,金贸产业园,龙涵道,900000079480007,900000079480008,0.924,
天津地铁,地铁10号线,900000079480,龙涵道,环宇道,900000079480008,900000079480009,1.134,
天津地铁,地铁10号线,900000079480,环宇道,柳林路,900000079480009,900000079480010,1.352,
天津地铁,地铁10号线,900000079480,柳林路,财经大学,900000079480010,120100021504022,1.14,
天津地铁,地铁10号线,900000079480,财经大学,微山路,120100021504022,900000079480012,1.487,
天津地铁,地铁10号线,900000079480,微山路,玛钢厂,900000079480012,900000079480013,0.608,
天津地铁,地铁10号线,900000079480,玛钢厂,春海路,900000079480013,900000079480014,0.836,
天津地铁,地铁10号线,900000079480,春海路,南珠桥,900000079480014,120100021321021,1.352,
天津地铁,地铁10号线,900000079480,南珠桥,友谊南路,120100021321021,900000079480016,0.855,
天津地铁,地铁10号线,900000079480,友谊南路,江湾二支路,900000079480016,900000079480017,1.007,
天津地铁,地铁10号线,900000079480,江湾二支路,丽江道,900000079480017,900000079480018,1.016,
天津地铁,地铁10号线,900000079480,丽江道,昌凌路,900000079480018,120100021323028,1.059,
天津地铁,地铁10号线,900000079480,昌凌路,瑶环路,120100021323028,900000079480020,0.87,
天津地铁,地铁10号线,900000079480,瑶环路,于台,900000079480020,900000079480022,1.408,
天津地铁,地铁11号线,900000082333,水上公园西路,南开大学八里台,900000082333022,900000082333023,1.303,
天津地铁,地铁11号线,900000082333,南开大学八里台,吴家窑,900000082333023,120100021500017,0.665,
天津地铁,地铁11号线,900000082333,吴家窑,佟楼,120100021500017,900000082333025,1.057,
天津地铁,地铁11号线,900000082333,佟楼,迎宾馆,900000082333025,900000082333026,0.739,
天津地铁,地铁11号线,900000082333,迎宾馆,文化中心,900000082333026,120100021323023,0.953,
天津地铁,地铁11号线,900000082333,文化中心,医大二院,120100021323023,120100021325075,1.486,
天津地铁,地铁11号线,900000082333,医大二院,澧水道,120100021325075,120100021321019,0.924,
天津地铁,地铁11号线,900000082333,澧水道,内江路,120100021321019,900000082333030,1.288,
天津地铁,地铁11号线,900000082333,内江路,陈塘,900000082333030,900000082333031,0.645,
天津地铁,地铁11号线,900000082333,陈塘,东江道,900000082333031,900000082333011,0.95,
天津地铁,地铁11号线,900000082333,东江道,学苑北路,900000082333011,900000082333012,1.249,
天津地铁,地铁11号线,900000082333,学苑北路,海河东路,900000082333012,900000082333013,1.024,
天津地铁,地铁11号线,900000082333,海河东路,环宇道,900000082333013,900000079480009,0.822,
天津地铁,地铁11号线,900000082333,环宇道,雪莲南路,900000079480009,900000082333015,1.226,
天津地铁,地铁11号线,900000082333,雪莲南路,招远路,900000082333015,900000082333016,0.959,
天津地铁,地铁11号线,900000082333,招远路,东丽文体中心,900000082333016,900000082333017,1.563,
天津地铁,地铁11号线,900000082333,东丽文体中心,驯海路,900000082333017,900000082333018,0.923,
天津地铁,地铁11号线,900000082333,驯海路,东丽一经路,900000082333018,900000082333019,1.016,
天津地铁,地铁11号线,900000082333,东丽一经路,东丽三经路,900000082333019,900000082333020,0.805,
天津地铁,地铁11号线,900000082333,东丽三经路,东丽六经路,900000082333020,900000082333021,1.502,
天津地铁,地铁1号线,120100021504,刘园,瑞景新苑,120100021504002,120100021504003,1.003,
天津地铁,地铁1号线,120100021504,瑞景新苑,佳园里,120100021504003,120100021504004,1.064,
天津地铁,地铁1号线,120100021504,佳园里,本溪路,120100021504004,120100021504005,1.216,
天津地铁,地铁1号线,120100021504,本溪路,勤俭道,120100021504005,120100021504006,1.457,
天津地铁,地铁1号线,120100021504,勤俭道,洪湖里,120100021504006,120100021504007,1.091,
天津地铁,地铁1号线,120100021504,洪湖里,西站,120100021504007,120100021325065,1.603,
天津地铁,地铁1号线,120100021504,西站,西北角,120100021325065,120100021504009,1.231,
天津地铁,地铁1号线,120100021504,西北角,西南角,120100021504009,120100021504010,1.024,
天津地铁,地铁1号线,120100021504,西南角,二纬路,120100021504010,120100021504011,0.818,
天津地铁,地铁1号线,120100021504,二纬路,海光寺,120100021504011,120100021504012,0.918,
天津地铁,地铁1号线,120100021504,海光寺,鞍山道,120100021504012,120100021504013,0.874,
天津地铁,地铁1号线,120100021504,鞍山道,营口道,120100021504013,120100021500015,0.913,
天津地铁,地铁1号线,120100021504,营口道,小白楼,120100021500015,120100021504015,1.584,
天津地铁,地铁1号线,120100021504,小白楼,下瓦房,120100021504015,120100021323021,1.258,
天津地铁,地铁1号线,120100021504,下瓦房,南楼,120100021323021,120100021504017,1.027,
天津地铁,地铁1号线,120100021504,南楼,土城,120100021504017,120100021504018,1.046,
天津地铁,地铁1号线,120100021504,土城,陈塘庄,120100021504018,120100021504019,1.537,
天津地铁,地铁1号线,120100021504,陈塘庄,复兴门,120100021504019,120100021504020,1.228,
天津地铁,地铁1号线,120100021504,复兴门,华山里,120100021504020,120100021504021,1.237,
天津地铁,地铁1号线,120100021504,华山里,财经大学,120100021504021,120100021504022,1.32,
天津地铁,地铁1号线,120100021504,财经大学,双林,120100021504022,120100021504024,1.504,
天津地铁,地铁1号线,120100021504,双林,李楼,120100021504024,120100021504025,2.185,
天津地铁,地铁1号线,120100021504,李楼,洪泥河东,120100021504025,120100021504027,2.511,
天津地铁,地铁1号线,120100021504,洪泥河东,高庄子,120100021504027,120100021504028,1.462,
天津地铁,地铁1号线,120100021504,高庄子,国家会展中心,120100021504028,120100021504030,2.545,
天津地铁,地铁1号线,120100021504,国家会展中心,国瑞路,120100021504030,120100021504031,0.977,
天津地铁,地铁1号线,120100021504,国瑞路,东沽路,120100021504031,120100021504032,1.857,
天津地铁,地铁1号线,120100021504,东沽路,双桥河,120100021504032,120100021504034,2.249,
天津地铁,地铁2号线,120100021904,滨海国际机场,空港经济区,120100021904021,120100021904020,3.711,
天津地铁,地铁2号线,120100021904,空港经济区,国山路,120100021904020,120100021904019,2.192,
天津地铁,地铁2号线,120100021904,国山路,登州路,120100021904019,120100021904018,1.272,
天津地铁,地铁2号线,120100021904,登州路,屿东城,120100021904018,120100021904017,1.441,
天津地铁,地铁2号线,120100021904,屿东城,翠阜新村,120100021904017,120100021904016,1.917,
天津地铁,地铁2号线,120100021904,翠阜新村,靖江路,120100021904016,120100021323017,1.198,
天津地铁,地铁2号线,120100021904,靖江路,顺驰桥,120100021323017,120100021904014,0.892,
天津地铁,地铁2号线,120100021904,顺驰桥,远洋国际中心,120100021904014,120100021904013,1.247,
天津地铁,地铁2号线,120100021904,远洋国际中心,天津站,120100021904013,120100021500012,0.815,
天津地铁,地铁2号线,120100021904,天津站,建国道意风区,120100021500012,120100021904011,0.942,
天津地铁,地铁2号线,120100021904,建国道意风区,东南角,120100021904011,120100021319010,0.944,
天津地铁,地铁2号线,120100021904,东南角,鼓楼,120100021319010,120100021904009,0.782,
天津地铁,地铁2号线,120100021904,鼓楼,西南角,120100021904009,120100021504010,0.797,
天津地铁,地铁2号线,120100021904,西南角,广开四马路,120100021504010,120100021904007,0.863,
天津地铁,地铁2号线,120100021904,广开四马路,长虹公园,120100021904007,120100021325019,1.083,
天津地铁,地铁2号线,120100021904,长虹公园,咸阳路,120100021325019,120100021904005,1.246,
天津地铁,地铁2号线,120100021904,咸阳路,芥园西道,120100021904005,120100021904004,1.404,
天津地铁,地铁2号线,120100021904,芥园西道,卞兴,120100021904004,120100021904003,1.025,
天津地铁,地铁2号线,120100021904,卞兴,曹庄,120100021904003,120100021904002,1.557,
天津地铁,地铁3号线,120100021500,小淀,丰产河,120100021500002,120100021500003,1.866,
天津地铁,地铁3号线,120100021500,丰产河,华北集团,120100021500003,120100021500004,1.362,
天津地铁,地铁3号线,120100021500,华北集团,天士力,120100021500004,120100021500005,2.66,
天津地铁,地铁3号线,120100021500,天士力,宜兴埠,120100021500005,120100021500006,0.985,
天津地铁,地铁3号线,120100021500,宜兴埠,张兴庄,120100021500006,120100021323010,0.726,
天津地铁,地铁3号线,120100021500,张兴庄,铁东路,120100021323010,120100021500008,1.498,
天津地铁,地铁3号线,120100021500,铁东路,北站,120100021500008,120100021325059,1.474,
天津地铁,地铁3号线,120100021500,北站,中山路,120100021325059,120100021500010,0.553,
天津地铁,地铁3号线,120100021500,中山路,金狮桥,120100021500010,120100021500011,1.202,
天津地铁,地铁3号线,120100021500,金狮桥,天津站,120100021500011,120100021500012,1.515,
天津地铁,地铁3号线,120100021500,天津站,津湾广场,120100021500012,120100021500013,0.718,
天津地铁,地铁3号线,120100021500,津湾广场,和平路,120100021500013,120100021319012,0.637,
天津地铁,地铁3号线,120100021500,和平路,营口道,120100021319012,120100021500015,1.098,
天津地铁,地铁3号线,120100021500,营口道,西康路,120100021500015,120100021500016,1.1,
天津地铁,地铁3号线,120100021500,西康路,吴家窑,120100021500016,120100021500017,1.39,
天津地铁,地铁3号线,120100021500,吴家窑,天塔,120100021500017,120100021500018,0.85,
天津地铁,地铁3号线,120100021500,天塔,周邓纪念馆,120100021500018,120100021500019,1.236,
天津地铁,地铁3号线,120100021500,周邓纪念馆,红旗南路,120100021500019,120100021325024,1.368,
天津地铁,地铁3号线,120100021500,红旗南路,王顶堤,120100021325024,120100021500021,0.793,
天津地铁,地铁3号线,120100021500,王顶堤,华苑,120100021500021,120100021500022,1.021,
天津地铁,地铁3号线,120100021500,华苑,大学城,120100021500022,120100021500023,2.205,
天津地铁,地铁3号线,120100021500,大学城,高新区,120100021500023,120100021500024,1.124,
天津地铁,地铁3号线,120100021500,高新区,学府工业区,120100021500024,120100021500025,1.727,
天津地铁,地铁3号线,120100021500,学府工业区,杨伍庄,120100021500025,120100021500026,0.874,
天津地铁,地铁3号线,120100021500,杨伍庄,南站,120100021500026,120100021500027,1.426,
天津地铁,地铁4号线,120100021319,东南角,金街,120100021319010,120100021319011,0.587,
天津地铁,地铁4号线,120100021319,金街,和平路,120100021319011,120100021319012,1.207,
天津地铁,地铁4号线,120100021319,和平路,徐州道,120100021319012,120100021319013,1.746,
天津地铁,地铁4号线,120100021319,徐州道,六纬路,120100021319013,120100021319014,0.777,
天津地铁,地铁4号线,120100021319,六纬路,成林道,120100021319014,120100021319015,2.257,
天津地铁,地铁4号线,120100021319,成林道,泰昌路,120100021319015,120100021319016,1.291,
天津地铁,地铁4号线,120100021319,泰昌路,万东路,120100021319016,120100021319017,0.991,
天津地铁,地铁4号线,120100021319,万东路,沙柳南路,120100021319017,120100021319018,1.872,
天津地铁,地铁4号线,120100021319,沙柳南路,登州南路,120100021319018,120100021319019,1.427,
天津地铁,地铁4号线,120100021319,登州南路,跃进北路,120100021319019,120100021319020,1.188,
天津地铁,地铁4号线,120100021319,跃进北路,航双路,120100021319020,120100021319021,1.345,
天津地铁,地铁4号线,120100021319,航双路,民航大学,120100021319021,120100021319022,1.334,
天津地铁,地铁4号线,120100021319,民航大学,新兴村,120100021319022,120100021319023,2.012,
天津地铁,地铁4号线,900000075525,小街,郎园,900000075525012,900000075525021,2.454,
天津地铁,地铁4号线,900000075525,郎园,柴楼,900000075525021,900000075525009,1.441,
天津地铁,地铁4号线,900000075525,柴楼,双街,900000075525009,900000075525008,0.961,
天津地铁,地铁4号线,900000075525,双街,西赵庄,900000075525008,900000075525007,1.221,
天津地铁,地铁4号线,900000075525,西赵庄,延吉道,900000075525007,900000075525006,2.329,
天津地铁,地铁4号线,900000075525,延吉道,北仓,900000075525006,900000075525005,1.248,
天津地铁,地铁4号线,900000075525,北仓,果园南道,900000075525005,900000075525004,1.131,
天津地铁,地铁4号线,900000075525,果园南道,南仓,900000075525004,900000075525003,0.873,
天津地铁,地铁4号线,900000075525,南仓,天穆,900000075525003,900000075525002,1.206,
天津地铁,地铁4号线,900000075525,天穆,柳滩,900000075525002,900000075525001,1.621,
天津地铁,地铁4号线,900000075525,柳滩,白庙,900000075525001,900000075525022,0.78,
天津地铁,地铁4号线,900000075525,白庙,北洋桥,900000075525022,900000075525020,0.978,
天津地铁,地铁4号线,900000075525,北洋桥,西沽公园,900000075525020,900000075525019,0.957,
天津地铁,地铁4号线,900000075525,西沽公园,同城商务区西于庄,900000075525019,900000075525018,0.777,
天津地铁,地铁4号线,900000075525,同城商务区西于庄,西站,900000075525018,120100021325065,1.062,
天津地铁,地铁5号线,120100021323,京华东道,李七庄南,120100021323031,120100021323030,1.332,
天津地铁,地铁5号线,120100021323,李七庄南,中医一附院,120100021323030,120100021323029,1.681,
天津地铁,地铁5号线,120100021323,中医一附院,昌凌路,120100021323029,120100021323028,1.095,
天津地铁,地铁5号线,120100021323,昌凌路,凌宾路,120100021323028,120100021323027,1.67,
天津地铁,地铁5号线,120100021323,凌宾路,体育中心,120100021323027,120100021323026,0.743,
天津地铁,地铁5号线,120100021323,体育中心,肿瘤医院,120100021323026,120100021323025,1.021,
天津地铁,地铁5号线,120100021323,肿瘤医院,天津宾馆,120100021323025,120100021323024,1.538,
天津地铁,地铁5号线,120100021323,天津宾馆,文化中心,120100021323024,120100021323023,0.723,
天津地铁,地铁5号线,120100021323,文化中心,西南楼,120100021323023,120100021323022,1.303,
天津地铁,地铁5号线,120100021323,西南楼,下瓦房,120100021323022,120100021323021,1.236,
天津地铁,地铁5号线,120100021323,下瓦房,直沽,120100021323021,120100021323020,1.151,
天津地铁,地铁5号线,120100021323,直沽,津塘路,120100021323020,120100021323019,0.89,
天津地铁,地铁5号线,120100021323,津塘路,成林道,120100021323019,120100021319015,1.574,
天津地铁,地铁5号线,120100021323,成林道,靖江路,120100021319015,120100021323017,1.364,
天津地铁,地铁5号线,120100021323,靖江路,幸福公园,120100021323017,120100021323016,1.29,
天津地铁,地铁5号线,120100021323,幸福公园,月牙河,120100021323016,120100021323015,1.194,
天津地铁,地铁5号线,120100021323,月牙河,金钟河大街,120100021323015,120100021323014,0.883,
天津地铁,地铁5号线,120100021323,金钟河大街,建昌道,120100021323014,120100021323013,1.041,
天津地铁,地铁5号线,120100021323,建昌道,思源路,120100021323013,120100021323012,0.747,
天津地铁,地铁5号线,120100021323,思源路,志成路,120100021323012,120100021323011,0.829,
天津地铁,地铁5号线,120100021323,志成路,张兴庄,120100021323011,120100021323010,0.651,
天津地铁,地铁5号线,120100021323,张兴庄,宜兴埠北,120100021323010,120100021323009,1.477,
天津地铁,地铁5号线,120100021323,宜兴埠北,辽河北道,120100021323009,120100021323008,0.881,
天津地铁,地铁5号线,120100021323,辽河北道,淮河道,120100021323008,120100021323007,1.176,
天津地铁,地铁5号线,120100021323,淮河道,职业大学,120100021323007,120100021323006,1.655,
天津地铁,地铁5号线,120100021323,职业大学,北辰道,120100021323006,120100021323005,1.286,
天津地铁,地铁5号线,120100021323,北辰道,丹河北道,120100021323005,120100021323004,1.569,
天津地铁,地铁5号线,120100021323,丹河北道,北辰科技园北,120100021323004,120100021323003,2.086,
天津地铁,地铁6号线,120100021325,南孙庄,南何庄,120100021325051,120100021325052,2.355,
天津地铁,地铁6号线,120100021325,南何庄,大毕庄,120100021325052,120100021325053,1.089,
天津地铁,地铁6号线,120100021325,大毕庄,金钟街,120100021325053,120100021325054,1.176,
天津地铁,地铁6号线,120100021325,金钟街,徐庄子,120100021325054,120100021325055,1.432,
天津地铁,地铁6号线,120100021325,徐庄子,金钟河大街,120100021325055,120100021323014,2.341,
天津地铁,地铁6号线,120100021325,金钟河大街,民权门,120100021323014,120100021325057,0.829,
天津地铁,地铁6号线,120100021325,民权门,北宁公园,120100021325057,120100021325058,0.92,
天津地铁,地铁6号线,120100021325,北宁公园,北站,120100021325058,120100021325059,1.356,
天津地铁,地铁6号线,120100021325,北站,新开河,120100021325059,120100021325060,0.467,
天津地铁,地铁6号线,120100021325,新开河,外院附中,120100021325060,120100021325061,0.986,
天津地铁,地铁6号线,120100021325,外院附中,天泰路,120100021325061,120100021325062,0.808,
天津地铁,地铁6号线,120100021325,天泰路,北竹林,120100021325062,120100021325064,1.276,
天津地铁,地铁6号线,120100021325,北竹林,西站,120100021325064,120100021325065,0.625,
天津地铁,地铁6号线,120100021325,西站,复兴路,120100021325065,120100021325066,0.776,
天津地铁,地铁6号线,120100021325,复兴路,人民医院,120100021325066,120100021325067,1.201,
