系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
武汉地铁,轨道交通11号线,900000073743,江安路,0.0,0.0,114.293411,30.518833,900000073743015,,
武汉地铁,轨道交通11号线,900000073743,紫阳湖,1.256,1.256,114.301175,30.52794,900000073743016,,
武汉地铁,轨道交通11号线,900000073743,武昌站东广场,2.021,3.277,114.32224,30.528977,900000073743017,,
武汉地铁,轨道交通11号线,900000073743,丁字桥,1.179,4.456,114.33093,30.521467,900000073743018,,
武汉地铁,轨道交通11号线,900000073743,马房山,1.837,6.293,114.348079,30.514069,900000044147019,,
武汉地铁,轨道交通11号线,900000073743,虎泉,2.154,8.447,114.370478,30.512359,420100024404004,,
武汉地铁,轨道交通11号线,900000073743,武汉体育学院,1.002,9.449,114.37946,30.516978,900000073743021,,
武汉地铁,轨道交通11号线,900000073743,光谷广场,2.229,11.678,114.398936,30.506016,420100024404002,,
武汉地铁,轨道交通11号线,900000073743,关山大道,1.71,13.388,114.413429,30.497038,900000073743023,,
武汉地铁,轨道交通11号线,900000073743,武汉东站,2.083,15.471,114.431755,30.486956,420100024404035,,
武汉地铁,轨道交通11号线,900000073743,湖口,1.631,17.102,114.448734,30.487938,900000073743002,,
武汉地铁,轨道交通11号线,900000073743,光谷同济医院,1.719,18.821,114.466409,30.485267,900000073743003,,
武汉地铁,轨道交通11号线,900000073743,光谷生物园,1.444,20.265,114.481231,30.48761,900000073743004,,
武汉地铁,轨道交通11号线,900000073743,光谷四路,1.048,21.313,114.492018,30.489155,900000073743005,,
武汉地铁,轨道交通11号线,900000073743,光谷五路,1.134,22.447,114.502876,30.485101,900000073743006,,
武汉地铁,轨道交通11号线,900000073743,光谷六路,0.957,23.404,114.512862,30.485028,900000073743007,,
武汉地铁,轨道交通11号线,900000073743,豹澥,1.047,24.451,114.522905,30.488736,900000073743008,,
武汉地铁,轨道交通11号线,900000073743,光谷七路,1.073,25.524,114.534098,30.488447,900000073743009,,
武汉地铁,轨道交通11号线,900000073743,长岭山,2.786,28.31,114.563156,30.487628,900000073743010,,
武汉地铁,轨道交通11号线,900000073743,未来一路,2.134,30.444,114.585145,30.484577,900000073743011,,
武汉地铁,轨道交通11号线,900000073743,未来三路,2.009,32.453,114.605998,30.48645,900000073743012,,
武汉地铁,轨道交通11号线,900000073743,左岭,1.417,33.87,114.620662,30.488119,900000073743013,,
武汉地铁,轨道交通11号线,900000073743,葛店南站,3.836,37.706,114.660675,30.48932,900000073743014,,
武汉地铁,轨道交通16号线,900000090803,国博中心南,0.0,0.0,114.236109,30.506036,420100024335006,,
武汉地铁,轨道交通16号线,900000090803,老关村,1.756,1.756,114.225922,30.49291,420100024335005,,
武汉地铁,轨道交通16号线,900000090803,南太子湖,1.881,3.637,114.220062,30.476763,900000090803010,,
武汉地铁,轨道交通16号线,900000090803,沌口,2.172,5.809,114.20521,30.462005,900000090803009,,
武汉地铁,轨道交通16号线,900000090803,小军山,7.79,13.599,114.158383,30.404752,900000090803008,,
武汉地铁,轨道交通16号线,900000090803,枫林,2.141,15.74,114.14481,30.389468,900000090803007,,
武汉地铁,轨道交通16号线,900000090803,大军山,1.924,17.664,114.132762,30.375637,900000090803006,,
武汉地铁,轨道交通16号线,900000090803,桂子湖,4.202,21.866,114.093695,30.358558,900000090803005,,
武汉地铁,轨道交通16号线,900000090803,马影河,3.038,24.904,114.068792,30.341694,900000090803004,,
武汉地铁,轨道交通16号线,900000090803,协子河,1.353,26.257,114.059869,30.332275,900000090803003,,
武汉地铁,轨道交通16号线,900000090803,湾湖,1.564,27.821,114.047088,30.323551,900000090803002,,
武汉地铁,轨道交通16号线,900000090803,周家河,2.402,30.223,114.035102,30.30459,900000090803001,,
武汉地铁,轨道交通16号线,900000090803,纱帽,3.163,33.386,114.052174,30.280258,900000090803014,,
武汉地铁,轨道交通16号线,900000090803,通航机场,1.567,34.953,114.062984,30.269699,900000090803013,,
武汉地铁,轨道交通19号线,900000115789,新月溪公园,0.0,0.0,114.502879,30.47636,900000115789006,,
武汉地铁,轨道交通19号线,900000115789,光谷五路,0.972,0.972,114.502876,30.485101,900000073743006,,
武汉地铁,轨道交通19号线,900000115789,花山河,6.31,7.282,114.512443,30.541243,900000115789004,,
武汉地铁,轨道交通19号线,900000115789,花山新城,1.687,8.969,114.504183,30.554645,900000115789003,,
武汉地铁,轨道交通19号线,900000115789,鼓架山,3.62,12.589,114.466404,30.553403,900000115789007,,
武汉地铁,轨道交通19号线,900000115789,武东,2.921,15.51,114.457159,30.578433,900000115789002,,
武汉地铁,轨道交通19号线,900000115789,武汉站西广场,4.401,19.911,114.422911,30.604844,900000115789001,,
武汉地铁,轨道交通1号线,420100034364,汉口北,0.0,0.0,114.329481,30.711953,420100034364030,,
武汉地铁,轨道交通1号线,420100034364,滠口新城,3.287,3.287,114.342372,30.684553,420100034364029,,
武汉地铁,轨道交通1号线,420100034364,滕子岗,1.118,4.405,114.341474,30.674527,420100034364028,,
武汉地铁,轨道交通1号线,420100034364,堤角,1.011,5.416,114.338273,30.665863,420100034364027,,
武汉地铁,轨道交通1号线,420100034364,新荣,1.06,6.476,114.332763,30.657595,420100034364026,,
武汉地铁,轨道交通1号线,420100034364,丹水池,1.602,8.078,114.330017,30.643386,420100034364025,,
武汉地铁,轨道交通1号线,420100034364,徐州新村,1.518,9.596,114.322936,30.631171,420100034364024,,
