系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
常州地铁,地铁1号线,森林公园,0.0,0.0,119.965162,31.900255,900000045578001,,
常州地铁,地铁1号线,新龙,1.475,1.475,119.961188,31.887428,900000045578002,,
常州地铁,地铁1号线,旅游学校,1.515,2.99,119.957627,31.87414,900000045578003,,
常州地铁,地铁1号线,新桥,1.267,4.257,119.954461,31.863066,900000045578004,,
常州地铁,地铁1号线,常州北站,0.916,5.173,119.955802,31.854907,900000045578005,,
常州地铁,地铁1号线,北郊中学,1.119,6.292,119.967604,31.85407,900000045578006,,
常州地铁,地铁1号线,外国语学校,0.941,7.233,119.97703,31.851318,900000045578007,,
常州地铁,地铁1号线,环球港,1.362,8.595,119.9807,31.839471,900000045578008,,
常州地铁,地铁1号线,新区公园,1.369,9.964,119.986685,31.828262,900000045578009,,
常州地铁,地铁1号线,河海,0.896,10.86,119.985403,31.820278,900000045578010,,
常州地铁,地铁1号线,奥体中心,1.077,11.937,119.981639,31.811139,900000045578011,,
常州地铁,地铁1号线,市民广场,1.111,13.048,119.975098,31.802834,900000045578012,,
常州地铁,地铁1号线,翠竹,1.087,14.135,119.976387,31.793121,900000045578013,,
常州地铁,地铁1号线,常州火车站,0.72,14.855,119.974248,31.786908,900000045578014,,
常州地铁,地铁1号线,博爱路,0.752,15.607,119.968342,31.782383,900000045578015,,
常州地铁,地铁1号线,文化宫,0.76,16.367,119.964804,31.776241,900000045578016,,
常州地铁,地铁1号线,同济桥,0.912,17.279,119.961775,31.768455,900000045578017,,
常州地铁,地铁1号线,清凉寺,0.872,18.151,119.960145,31.76074,900000045578018,,
常州地铁,地铁1号线,茶山,1.227,19.378,119.957199,31.749989,900000045578019,,
常州地铁,地铁1号线,聚湖路,1.888,21.266,119.948957,31.734522,900000045578020,,
常州地铁,地铁1号线,湖塘,1.349,22.615,119.948983,31.722391,900000045578021,,
常州地铁,地铁1号线,新天地公园,1.114,23.729,119.948741,31.712376,900000045578022,,
常州地铁,地铁1号线,长虹路,0.736,24.465,119.948525,31.705759,900000045578023,,
常州地铁,地铁1号线,延政大道,0.88,25.345,119.948253,31.697849,900000045578024,,
常州地铁,地铁1号线,科教城北,1.089,26.434,119.947862,31.688058,900000045578025,,
常州地铁,地铁1号线,科教城南,1.523,27.957,119.947474,31.674368,900000045578026,,
常州地铁,地铁1号线,武进沿江城际,1.644,29.601,119.948635,31.65962,900000045578027,,
常州地铁,地铁1号线,阳湖路,1.581,31.182,119.950947,31.645542,900000045578028,,
常州地铁,地铁1号线,南夏墅,1.478,32.66,119.952064,31.632282,900000045578029,,
常州地铁,地铁2号线,青枫公园,0.0,0.0,119.899602,31.802298,900000068186015,,
常州地铁,地铁2号线,海棠路,0.96,0.96,119.90855,31.798206,900000068186014,,
常州地铁,地铁2号线,五星,1.094,2.054,119.918072,31.792615,900000068186013,,
常州地铁,地铁2号线,勤业,1.216,3.27,119.928603,31.786329,900000068186012,,
常州地铁,地铁2号线,怀德,1.474,4.744,119.942478,31.780272,900000068186011,,
常州地铁,地铁2号线,南大街,1.012,5.756,119.953178,31.779863,900000068186010,,
常州地铁,地铁2号线,文化宫,1.17,6.926,119.964804,31.776241,900000045578016,,
常州地铁,地铁2号线,红梅公园,1.006,7.932,119.972915,31.770378,900000068186008,,
常州地铁,地铁2号线,五角场,1.195,9.127,119.985518,31.769495,900000068186007,,
常州地铁,地铁2号线,三角场,1.113,10.24,119.992655,31.777457,900000068186006,,
常州地铁,地铁2号线,紫云,1.535,11.775,120.005607,31.769136,900000068186005,,
常州地铁,地铁2号线,青洋路,1.478,13.253,120.017003,31.760032,900000068186004,,
常州地铁,地铁2号线,丁堰,1.3,14.553,120.028242,31.75329,900000068186003,,
常州地铁,地铁2号线,潞城,2.084,16.637,120.050121,31.755544,900000068186002,,
常州地铁,地铁2号线,五一路,1.315,17.952,120.063727,31.757987,900000068186001,,
