系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
重庆轨道交通,璧铜线,璧山,0.0,0.0,106.232616,29.612254,500100022282025,,
重庆轨道交通,璧铜线,璧城,1.736,1.736,106.221757,29.624684,900000166176002,,
重庆轨道交通,璧铜线,河边,3.135,4.871,106.210984,29.651281,900000166176003,,
重庆轨道交通,璧铜线,大路,8.025,12.896,106.219485,29.723071,900000166176005,,
重庆轨道交通,璧铜线,庆隆,9.997,22.893,106.149657,29.78946,900000166176006,,
重庆轨道交通,璧铜线,科创新城,4.98,27.873,106.108156,29.816086,900000166176007,,
重庆轨道交通,璧铜线,铜梁龙城天街,3.263,31.136,106.079252,29.831326,900000166176008,,
重庆轨道交通,璧铜线,铜梁西,3.267,34.403,106.046015,29.825673,900000166176009,,
重庆轨道交通,轨道交通10号线,兰花路,0.0,0.0,106.557704,29.504302,900000077387040,,
重庆轨道交通,轨道交通10号线,南湖,1.384,1.384,106.557155,29.516738,900000055077025,,
重庆轨道交通,轨道交通10号线,万寿路,0.914,2.298,106.562897,29.523264,900000077387038,,
重庆轨道交通,轨道交通10号线,后堡,1.64,3.938,106.569266,29.536932,900000073429023,,
重庆轨道交通,轨道交通10号线,七星岗,2.081,6.019,106.563142,29.554871,500100022282021,,
重庆轨道交通,轨道交通10号线,大礼堂,1.052,7.071,106.555675,29.561744,900000077387030,,
重庆轨道交通,轨道交通10号线,曾家岩,0.752,7.823,106.550111,29.566468,500100031250006,,
重庆轨道交通,轨道交通10号线,鲤鱼池,0.774,8.597,106.549403,29.573397,900000070621012,,
重庆轨道交通,轨道交通10号线,红土地,1.193,9.79,106.551176,29.584019,900000027933002,,
重庆轨道交通,轨道交通10号线,龙头寺公园,1.628,11.418,106.550608,29.598653,900000077387026,,
重庆轨道交通,轨道交通10号线,重庆北站南广场,0.904,12.322,106.549274,29.606696,500100021584014,,
重庆轨道交通,轨道交通10号线,重庆北站北广场,0.717,13.039,106.551195,29.612922,900000070644008,,
重庆轨道交通,轨道交通10号线,民心佳园,2.199,15.238,106.567621,29.626609,900000077387023,,
重庆轨道交通,轨道交通10号线,三亚湾,2.11,17.348,106.584785,29.638338,900000077387022,,
重庆轨道交通,轨道交通10号线,上湾路,2.665,20.013,106.608952,29.649889,900000070621021,,
重庆轨道交通,轨道交通10号线,环山公园,1.616,21.629,106.622117,29.658846,900000077387020,,
重庆轨道交通,轨道交通10号线,长河,1.833,23.462,106.629425,29.674056,900000077387010,,
重庆轨道交通,轨道交通10号线,江北机场T3航站楼,4.565,28.027,106.655275,29.708424,900000077387009,,
重庆轨道交通,轨道交通10号线,江北机场T2航站楼,1.999,30.026,106.638292,29.718703,500100021584002,,
重庆轨道交通,轨道交通10号线,渝北广场,0.816,30.842,106.629849,29.718544,900000077387007,,
重庆轨道交通,轨道交通10号线,鹿山,2.087,32.929,106.608363,29.720589,900000077387006,,
