系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
上海地铁,地铁10号线,基隆路,0.0,0.0,121.590411,31.351311,310100027703034,,
上海地铁,地铁10号线,港城路,1.477,1.477,121.575017,31.353223,310100024540029,,
上海地铁,地铁10号线,高桥,1.146,2.623,121.562971,31.352622,310100027703032,,
上海地铁,地铁10号线,高桥西,1.306,3.929,121.54928,31.351489,310100027703031,,
上海地铁,地铁10号线,双江路,0.965,4.894,121.539425,31.353601,310100027703030,,
上海地铁,地铁10号线,国帆路,2.943,7.837,121.513168,31.339548,310100027703029,,
上海地铁,地铁10号线,新江湾城,1.363,9.2,121.506951,31.328496,310100027703028,,
上海地铁,地铁10号线,殷高东路,0.748,9.948,121.506797,31.321768,310100027703027,,
上海地铁,地铁10号线,三门路,0.962,10.91,121.50834,31.313214,310100027703026,,
上海地铁,地铁10号线,江湾体育场,1.099,12.009,121.513314,31.304293,310100027703025,,
上海地铁,地铁10号线,五角场,0.706,12.715,121.514632,31.298043,310100027703024,,
上海地铁,地铁10号线,国权路,1.069,13.784,121.510024,31.289276,310100027703023,,
上海地铁,地铁10号线,同济大学,0.872,14.656,121.506357,31.282086,310100027703022,,
上海地铁,地铁10号线,四平路,0.925,15.581,121.501488,31.27488,310100025709010,,
上海地铁,地铁10号线,邮电新村,0.994,16.575,121.494247,31.268431,310100027703020,,
上海地铁,地铁10号线,海伦路,1.144,17.719,121.488697,31.259303,310100027703019,,
上海地铁,地铁10号线,四川北路,0.914,18.633,121.484208,31.252035,310100027703018,,
上海地铁,地铁10号线,天潼路,0.931,19.564,121.482321,31.243815,310100025711016,,
上海地铁,地铁10号线,南京东路,0.672,20.236,121.484628,31.238101,310100025693011,,
上海地铁,地铁10号线,豫园,1.154,21.39,121.487426,31.228005,310100027599018,,
上海地铁,地铁10号线,老西门,1.058,22.448,121.483793,31.219014,310100025709018,,
上海地铁,地铁10号线,一大会址·新天地,0.87,23.318,121.475182,31.216367,310100024524015,,
上海地铁,地铁10号线,陕西南路,1.569,24.887,121.458741,31.215148,310100025685019,,
上海地铁,地铁10号线,上海图书馆,1.584,26.471,121.444363,31.20796,310100027703011,,
上海地铁,地铁10号线,交通大学,1.077,27.548,121.435253,31.202213,310100024518022,,
上海地铁,地铁10号线,虹桥路,1.469,29.017,121.420814,31.197524,310100027703009,,
上海地铁,地铁10号线,宋园路,0.838,29.855,121.41208,31.19654,310100027703008,,
上海地铁,地铁10号线,伊犁路,0.82,30.675,121.403899,31.19888,310100027703007,,
上海地铁,地铁10号线,水城路,1.109,31.784,121.392259,31.199482,310100027703006,,
上海地铁,地铁10号线,龙溪路,1.293,33.077,121.380034,31.1944,310100027703005,,
上海地铁,地铁10号线,上海动物园,1.222,34.299,121.368137,31.190246,310100027704005,,
上海地铁,地铁10号线,虹桥1号航站楼,1.979,36.278,121.347371,31.191363,310100027704004,,
上海地铁,地铁10号线,虹桥2号航站楼,2.201,38.479,121.324443,31.194055,310100025693021,,
上海地铁,地铁10号线,虹桥火车站,0.522,39.001,121.31895,31.194022,310100025693022,,
上海地铁,地铁11号线,迪士尼,0.0,0.0,121.667959,31.141263,310100024518036,,
上海地铁,地铁11号线,康新公路,4.979,4.979,121.617199,31.130439,310100024518035,,
上海地铁,地铁11号线,秀沿路,1.984,6.963,121.59839,31.138128,310100024518034,,
上海地铁,地铁11号线,罗山路,1.755,8.718,121.593152,31.153259,310100024518033,,
上海地铁,地铁11号线,御桥,2.184,10.902,121.570914,31.158131,310100024518032,,
上海地铁,地铁11号线,康恒路,1.695,12.597,121.553699,31.154229,310100024518038,,
上海地铁,地铁11号线,浦三路,1.448,14.045,121.539005,31.150861,310100024518031,,
上海地铁,地铁11号线,三林东,1.6,15.645,121.522999,31.146459,310100024518030,,
上海地铁,地铁11号线,三林,1.125,16.77,121.511796,31.143224,310100024518029,,
上海地铁,地铁11号线,东方体育中心,3.202,19.972,121.480304,31.153366,310100024518028,,
上海地铁,地铁11号线,龙耀路,2.084,22.056,121.459702,31.15972,310100024518027,,
上海地铁,地铁11号线,云锦路,0.761,22.817,121.458519,31.166488,310100024518026,,
上海地铁,地铁11号线,龙华,0.868,23.685,121.452958,31.172672,310100024518025,,
上海地铁,地铁11号线,上海游泳馆,1.311,24.996,121.441424,31.179123,310100024518024,,
上海地铁,地铁11号线,徐家汇,1.879,26.875,121.436603,31.195514,310100024518023,,
上海地铁,地铁11号线,交通大学,0.756,27.631,121.435253,31.202213,310100024518022,,
上海地铁,地铁11号线,江苏路,2.07,29.701,121.430642,31.220411,310100024518021,,
上海地铁,地铁11号线,隆德路,1.309,31.01,121.423576,31.230509,310100024518020,,
上海地铁,地铁11号线,曹杨路,1.126,32.136,121.417701,31.239302,310100024518019,,
上海地铁,地铁11号线,枫桥路,0.662,32.798,121.411402,31.24185,310100024518018,,
上海地铁,地铁11号线,真如,1.068,33.866,121.407219,31.250767,310100024518017,,
上海地铁,地铁11号线,上海西站,1.455,35.321,121.400926,31.262693,310100024518016,,
上海地铁,地铁11号线,李子园,1.257,36.578,121.389969,31.26902,310100024518015,,
