系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
北京地铁,地铁12号线,900000077547,东坝北,0.0,0.0,116.557065,39.975633,900000058113010,,
北京地铁,地铁12号线,900000077547,东坝西,1.914,1.914,116.534671,39.974270,900000077547003,,
北京地铁,地铁12号线,900000077547,驼房营,2.568,4.482,116.505628,39.980439,900000077547004,,
北京地铁,地铁12号线,900000077547,高家园,1.199,5.681,116.491552,39.980373,900000028907007,,
北京地铁,地铁12号线,900000077547,将台西,1.302,6.983,116.480045,39.972663,900000077547006,,
北京地铁,地铁12号线,900000077547,三元桥,2.323,9.306,116.456997,39.961508,110100023096003,,
北京地铁,地铁12号线,900000077547,西坝河,1.341,10.647,116.442254,39.965710,900000077547008,,
北京地铁,地铁12号线,900000077547,光熙门,0.941,11.588,116.431761,39.968337,110100033066004,,
北京地铁,地铁12号线,900000077547,和平西桥,1.175,12.763,116.417970,39.968258,110100023100014,,
北京地铁,地铁12号线,900000077547,安贞桥,0.919,13.682,116.407219,39.968912,900000077547011,,
北京地铁,地铁12号线,900000077547,安华桥,1.113,14.795,116.394159,39.968653,110100023114006,,
北京地铁,地铁12号线,900000077547,马甸桥,1.019,15.814,116.382214,39.968261,900000077547013,,
北京地铁,地铁12号线,900000077547,北太平庄,1.039,16.853,116.370037,39.967882,900000077547014,,
北京地铁,地铁12号线,900000077547,蓟门桥,1.199,18.052,116.355970,39.967747,110100023118022,,
北京地铁,地铁12号线,900000077547,大钟寺,0.932,18.984,116.345139,39.966612,110100033066016,,
北京地铁,地铁12号线,900000077547,人民大学,2.026,21.01,116.321367,39.966956,110100023076009,,
北京地铁,地铁12号线,900000077547,苏州桥,1.264,22.274,116.307831,39.962314,900000062236013,,
北京地铁,地铁12号线,900000077547,长春桥,1.231,23.505,116.294255,39.958527,110100023282045,,
北京地铁,地铁12号线,900000077547,蓝靛厂,1.006,24.511,116.282593,39.957117,900000077547020,,
北京地铁,地铁12号线,900000077547,四季青桥,1.785,26.296,116.274193,39.942414,900000077547021,,
