系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
成都地铁,地铁1号线,900000071951,科学城,兴隆湖,900000071951012,900000071951011,1.6,
成都地铁,地铁1号线,900000071951,兴隆湖,广州路,900000071951011,900000071951010,1.539,
成都地铁,地铁1号线,900000071951,广州路,西博城,900000071951010,900000061908045,0.653,
成都地铁,地铁1号线,900000071951,西博城,天府公园,900000061908045,900000071951008,1.012,
成都地铁,地铁1号线,900000071951,天府公园,武汉路,900000071951008,900000071951007,1.067,
成都地铁,地铁1号线,900000071951,武汉路,麓湖,900000071951007,900000071951006,1.436,
成都地铁,地铁1号线,900000071951,麓湖,红石公园,900000071951006,900000071951005,1.082,
成都地铁,地铁1号线,900000071951,红石公园,广福,900000071951005,900000071951004,1.644,
成都地铁,地铁1号线,900000071951,广福,海昌路,900000071951004,900000068815005,1.581,
成都地铁,地铁1号线,900000071951,海昌路,华阳,900000068815005,900000071951002,1.16,
成都地铁,地铁1号线,900000071951,华阳,四河,900000071951002,510100022320022,1.442,
成都地铁,地铁1号线,900000071951,四河,华府大道,510100022320022,510100022320021,1.069,
成都地铁,地铁1号线,900000071951,华府大道,天府五街,510100022320021,510100022320020,1.264,
成都地铁,地铁1号线,900000071951,天府五街,天府三街,510100022320020,510100022320019,1.012,
成都地铁,地铁1号线,900000071951,天府三街,世纪城,510100022320019,510100022320018,0.964,
成都地铁,地铁1号线,900000071951,世纪城,锦城广场,510100022320018,510100022320017,1.447,
成都地铁,地铁1号线,900000071951,锦城广场,孵化园,510100022320017,510100022320016,0.931,
成都地铁,地铁1号线,900000071951,孵化园,金融城,510100022320016,510100022320015,0.746,
成都地铁,地铁1号线,900000071951,金融城,高新,510100022320015,510100022320014,1.311,
成都地铁,地铁1号线,900000071951,高新,火车南站,510100022320014,510100022320013,1.279,
成都地铁,地铁1号线,900000071951,火车南站,桐梓林,510100022320013,510100022320012,1.096,
成都地铁,地铁1号线,900000071951,桐梓林,倪家桥,510100022320012,510100022320011,1.052,
成都地铁,地铁1号线,900000071951,倪家桥,省体育馆,510100022320011,510100022320010,0.955,
成都地铁,地铁1号线,900000071951,省体育馆,华西坝,510100022320010,510100022320009,1.052,
成都地铁,地铁1号线,900000071951,华西坝,锦江宾馆,510100022320009,510100022320008,0.804,
成都地铁,地铁1号线,900000071951,锦江宾馆,天府广场,510100022320008,510100022320007,0.789,
成都地铁,地铁1号线,900000071951,天府广场,骡马市,510100022320007,510100022320006,1.043,
成都地铁,地铁1号线,900000071951,骡马市,文殊院,510100022320006,510100022320005,0.708,
成都地铁,地铁1号线,900000071951,文殊院,人民北路,510100022320005,510100022320004,1.449,
成都地铁,地铁1号线,900000071951,人民北路,火车北站,510100022320004,510100022320003,1.192,
成都地铁,地铁1号线,900000071951,火车北站,升仙湖,510100022320003,510100022320002,1.355,
成都地铁,地铁1号线,900000071951,升仙湖,韦家碾,510100022320002,510100022320024,1.483,
