系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
重庆轨道交通,轨道交通6号线,900000027933,茶园,邱家湾,900000027933021,900000027933022,1.322,
重庆轨道交通,轨道交通6号线,900000027933,邱家湾,长生桥,900000027933022,900000027933023,1.661,
重庆轨道交通,轨道交通6号线,900000027933,长生桥,刘家坪,900000027933023,900000027933024,1.55,
重庆轨道交通,轨道交通6号线,900000027933,刘家坪,上新街,900000027933024,900000027933025,6.651,
重庆轨道交通,轨道交通6号线,900000027933,上新街,小什字,900000027933025,500100021567003,1.387,
重庆轨道交通,轨道交通6号线,900000027933,小什字,大剧院,500100021567003,900000027933027,1.242,
重庆轨道交通,轨道交通6号线,900000027933,大剧院,江北城,900000027933027,900000027933028,0.839,
重庆轨道交通,轨道交通6号线,900000027933,江北城,五里店,900000027933028,900000027933001,1.234,
重庆轨道交通,轨道交通6号线,900000027933,五里店,红土地,900000027933001,900000027933002,1.36,
重庆轨道交通,轨道交通6号线,900000027933,红土地,黄泥塝,900000027933002,900000027933003,1.36,
重庆轨道交通,轨道交通6号线,900000027933,黄泥塝,红旗河沟,900000027933003,500100021584019,1.197,
重庆轨道交通,轨道交通6号线,900000027933,红旗河沟,花卉园,500100021584019,900000027933005,1.306,
重庆轨道交通,轨道交通6号线,900000027933,花卉园,大龙山,900000027933005,900000027933006,1.535,
重庆轨道交通,轨道交通6号线,900000027933,大龙山,冉家坝,900000027933006,900000027933007,1.016,
重庆轨道交通,轨道交通6号线,900000027933,冉家坝,光电园,900000027933007,900000027933008,1.941,
重庆轨道交通,轨道交通6号线,900000027933,光电园,大竹林,900000027933008,900000027933009,2.432,
重庆轨道交通,轨道交通6号线,900000027933,大竹林,康庄,900000027933009,900000027933010,0.751,
重庆轨道交通,轨道交通6号线,900000027933,康庄,九曲河,900000027933010,900000027933011,2.169,
重庆轨道交通,轨道交通6号线,900000027933,九曲河,礼嘉,900000027933011,500100022269002,1.557,
重庆轨道交通,轨道交通6号线,900000027933,礼嘉,金山寺,500100022269002,900000027933013,1.395,
重庆轨道交通,轨道交通6号线,900000027933,金山寺,曹家湾,900000027933013,900000027933014,4.643,
重庆轨道交通,轨道交通6号线,900000027933,曹家湾,蔡家,900000027933014,900000027933015,1.681,
重庆轨道交通,轨道交通6号线,900000027933,蔡家,向家岗,900000027933015,900000027933016,1.898,
重庆轨道交通,轨道交通6号线,900000027933,向家岗,龙凤溪,900000027933016,900000027933017,8.7,
重庆轨道交通,轨道交通6号线,900000027933,龙凤溪,状元碑,900000027933017,900000027933018,1.598,
重庆轨道交通,轨道交通6号线,900000027933,状元碑,西南大学,900000027933018,900000027933019,2.805,
重庆轨道交通,轨道交通6号线,900000027933,西南大学,北碚,900000027933019,900000027933020,1.663,
