系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
重庆轨道交通,轨道交通6号线,900000027933,茶园,0.0,0.0,106.642898,29.487559,900000027933021,,
重庆轨道交通,轨道交通6号线,900000027933,邱家湾,1.322,1.322,106.649610,29.497915,900000027933022,,
重庆轨道交通,轨道交通6号线,900000027933,长生桥,1.661,2.983,106.658049,29.510924,900000027933023,,
重庆轨道交通,轨道交通6号线,900000027933,刘家坪,1.55,4.533,106.655733,29.524717,900000027933024,,
重庆轨道交通,轨道交通6号线,900000027933,上新街,6.651,11.184,106.597196,29.556094,900000027933025,,
重庆轨道交通,轨道交通6号线,900000027933,小什字,1.387,12.571,106.583593,29.560028,500100021567003,,
重庆轨道交通,轨道交通6号线,900000027933,大剧院,1.242,13.813,106.576944,29.569584,900000027933027,,
重庆轨道交通,轨道交通6号线,900000027933,江北城,0.839,14.652,106.572066,29.575825,900000027933028,,
重庆轨道交通,轨道交通6号线,900000027933,五里店,1.234,15.886,106.565175,29.585170,900000027933001,,
重庆轨道交通,轨道交通6号线,900000027933,红土地,1.36,17.246,106.551176,29.584019,900000027933002,,
重庆轨道交通,轨道交通6号线,900000027933,黄泥塝,1.36,18.606,106.538072,29.588466,900000027933003,,
重庆轨道交通,轨道交通6号线,900000027933,红旗河沟,1.197,19.803,106.526215,29.585387,500100021584019,,
重庆轨道交通,轨道交通6号线,900000027933,花卉园,1.306,21.109,106.512935,29.583226,900000027933005,,
重庆轨道交通,轨道交通6号线,900000027933,大龙山,1.535,22.644,106.498792,29.589491,900000027933006,,
重庆轨道交通,轨道交通6号线,900000027933,冉家坝,1.016,23.66,106.498821,29.598628,900000027933007,,
重庆轨道交通,轨道交通6号线,900000027933,光电园,1.941,25.601,106.499401,29.616077,900000027933008,,
重庆轨道交通,轨道交通6号线,900000027933,大竹林,2.432,28.033,106.478351,29.628054,900000027933009,,
重庆轨道交通,轨道交通6号线,900000027933,康庄,0.751,28.784,106.478971,29.634788,900000027933010,,
重庆轨道交通,轨道交通6号线,900000027933,九曲河,2.169,30.953,106.482875,29.653996,900000027933011,,
重庆轨道交通,轨道交通6号线,900000027933,礼嘉,1.557,32.51,106.488115,29.667234,500100022269002,,
重庆轨道交通,轨道交通6号线,900000027933,金山寺,1.395,33.905,106.492104,29.679292,900000027933013,,
重庆轨道交通,轨道交通6号线,900000027933,曹家湾,4.643,38.548,106.494307,29.721000,900000027933014,,
重庆轨道交通,轨道交通6号线,900000027933,蔡家,1.681,40.229,106.492270,29.736017,900000027933015,,
重庆轨道交通,轨道交通6号线,900000027933,向家岗,1.898,42.127,106.472957,29.739202,900000027933016,,
重庆轨道交通,轨道交通6号线,900000027933,龙凤溪,8.7,50.827,106.403911,29.789492,900000027933017,,
重庆轨道交通,轨道交通6号线,900000027933,状元碑,1.598,52.425,106.398891,29.803187,900000027933018,,
重庆轨道交通,轨道交通6号线,900000027933,西南大学,2.805,55.23,106.423756,29.816263,900000027933019,,
重庆轨道交通,轨道交通6号线,900000027933,北碚,1.663,56.893,106.437504,29.825288,900000027933020,,
