系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
大连地铁,地铁1号线,210200021331,姚家,0.0,0.0,121.619355,39.023335,210200021331002,,
大连地铁,地铁1号线,210200021331,大连北站,1.38,1.38,121.607802,39.014758,210200021331003,,
大连地铁,地铁1号线,210200021331,华北路,1.382,2.762,121.594002,39.008465,210200021331004,,
大连地铁,地铁1号线,210200021331,华南北,1.135,3.897,121.586203,39.000251,210200021331005,,
大连地铁,地铁1号线,210200021331,华南广场,1.192,5.089,121.586503,38.989534,210200021331023,,
大连地铁,地铁1号线,210200021331,千山路,1.229,6.318,121.581709,38.979133,210200021331006,,
大连地铁,地铁1号线,210200021331,松江路,1.184,7.502,121.577949,38.968898,210200021331007,,
大连地铁,地铁1号线,210200021331,东纬路,1.413,8.915,121.580125,38.956306,210200021331008,,
大连地铁,地铁1号线,210200021331,春柳,2.267,11.182,121.582390,38.935994,210200021331009,,
大连地铁,地铁1号线,210200021331,香工街,0.776,11.958,121.588785,38.931104,210200021331010,,
大连地铁,地铁1号线,210200021331,中长街,0.851,12.809,121.592008,38.923872,210200021331011,,
大连地铁,地铁1号线,210200021331,兴工街,0.833,13.642,121.588627,38.916854,210200021331012,,
大连地铁,地铁1号线,210200021331,西安路,0.841,14.483,121.587,38.9094,210200021331013,,
大连地铁,地铁1号线,210200021331,富国街,1.196,15.679,121.584703,38.898792,210200021331014,,
大连地铁,地铁1号线,210200021331,会展中心,0.822,16.501,121.585760,38.891444,210200021331024,,
大连地铁,地铁1号线,210200021331,星海广场,0.811,17.312,121.582468,38.884617,210200021331025,,
大连地铁,地铁1号线,210200021331,大医二院,1.097,18.409,121.570510,38.881360,210200021331026,,
大连地铁,地铁1号线,210200021331,黑石礁,1.356,19.765,121.557527,38.874543,210200021331027,,
大连地铁,地铁1号线,210200021331,学苑广场,1.033,20.798,121.545596,38.874769,210200021331028,,
大连地铁,地铁1号线,210200021331,海事大学,1.366,22.164,121.534513,38.866029,210200021331029,,
大连地铁,地铁1号线,210200021331,七贤岭,1.179,23.343,121.527401,38.856992,210200021331030,,
大连地铁,地铁1号线,210200021331,河口,1.922,25.265,121.513572,38.843476,210200021329011,,
