系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
东莞轨道交通,轨道交通2号线,900000039053,东莞火车站,0.0,0.0,113.86,23.0886,900000039053015,,
东莞轨道交通,轨道交通2号线,900000039053,茶山,1.924,1.924,113.844,23.0795,900000039053014,,
东莞轨道交通,轨道交通2号线,900000039053,榴花公园,3.07,4.994,113.814,23.0803,900000039053013,,
东莞轨道交通,轨道交通2号线,900000039053,下桥,3.296,8.29,113.788,23.0628,900000039053012,,
东莞轨道交通,轨道交通2号线,900000039053,天宝,1.954,10.244,113.779,23.0473,900000039053011,,
东莞轨道交通,轨道交通2号线,900000039053,东城,1.652,11.896,113.776,23.0327,900000039053010,,
东莞轨道交通,轨道交通2号线,900000039053,旗峰公园,1.632,13.528,113.768,23.02,900000039053009,,
东莞轨道交通,轨道交通2号线,900000039053,市民中心,1.401,14.929,113.759166,23.010374,900000039053008,,
东莞轨道交通,轨道交通2号线,900000039053,西平,2.215,17.144,113.747,22.9939,900000039053007,,
东莞轨道交通,轨道交通2号线,900000039053,蛤地,2.546,19.69,113.729,22.9781,900000039053006,,
东莞轨道交通,轨道交通2号线,900000039053,陈屋,4.592,24.282,113.69,22.9577,900000039053005,,
东莞轨道交通,轨道交通2号线,900000039053,寮厦,2.476,26.758,113.674,22.941,900000039053004,,
东莞轨道交通,轨道交通2号线,900000039053,珊美,1.938,28.696,113.664,22.9262,900000039053003,,
东莞轨道交通,轨道交通2号线,900000039053,展览中心,2.654,31.35,113.662,22.9024,900000039053002,,
东莞轨道交通,轨道交通2号线,900000039053,虎门火车站,4.901,36.251,113.672,22.8593,900000039053001,,
