系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
广州地铁,地铁4号线,440100023035,黄村,0.0,0.0,113.407274,23.131814,440100023035002,,
广州地铁,地铁4号线,440100023035,车陂,1.357,1.357,113.396489,23.124704,440100023035003,,
广州地铁,地铁4号线,440100023035,车陂南,1.206,2.563,113.389561,23.115930,440100023035004,,
广州地铁,地铁4号线,440100023035,万胜围,2.084,4.647,113.384796,23.097712,440100023035005,,
广州地铁,地铁4号线,440100023035,官洲,3.425,8.072,113.376960,23.067763,440100023035006,,
广州地铁,地铁4号线,440100023035,大学城北,1.418,9.49,113.385795,23.057937,440100023035007,,
广州地铁,地铁4号线,440100023035,大学城南,2.206,11.696,113.400478,23.043408,440100023035008,,
广州地铁,地铁4号线,440100023035,新造,2.302,13.998,113.415714,23.028182,440100023035009,,
广州地铁,地铁4号线,440100023035,石碁,9.373,23.371,113.465198,22.957262,440100023035011,,
广州地铁,地铁4号线,440100023035,海傍,2.227,25.598,113.475352,22.939553,440100023033018,,
广州地铁,地铁4号线,440100023035,低涌,2.425,28.023,113.484809,22.919557,440100023035013,,
广州地铁,地铁4号线,440100023035,东涌,3.82,31.843,113.478928,22.885635,440100023035014,,
广州地铁,地铁4号线,440100023035,庆盛,2.385,34.228,113.490456,22.866999,440100023035015,,
广州地铁,地铁4号线,440100023035,黄阁汽车城,3.99,38.218,113.509719,22.835812,440100023035016,,
广州地铁,地铁4号线,440100023035,黄阁,1.542,39.76,113.518768,22.824736,440100023035017,,
广州地铁,地铁4号线,440100023035,蕉门,2.818,42.578,113.527502,22.800704,440100023035018,,
广州地铁,地铁4号线,440100023035,金洲,1.504,44.082,113.538886,22.792178,440100023035019,,
广州地铁,地铁4号线,440100023035,飞沙角,1.164,45.246,113.540758,22.781854,440100023035020,,
广州地铁,地铁4号线,440100023035,广隆,1.08,46.326,113.540728,22.772143,440100023035021,,
广州地铁,地铁4号线,440100023035,大涌,2.134,48.46,113.555975,22.759076,440100023035022,,
广州地铁,地铁4号线,440100023035,塘坑,1.874,50.334,113.573064,22.753098,440100023035023,,
广州地铁,地铁4号线,440100023035,南横,2.261,52.595,113.594381,22.747885,440100023035024,,
广州地铁,地铁4号线,440100023035,南沙客运港,2.721,55.316,113.610968,22.766988,440100023035025,,
