系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
杭州地铁,地铁6号线,900000073754,枸桔弄,火车东站(东广场),900000062493026,900000062493025,1.203,
杭州地铁,地铁6号线,900000073754,火车东站(东广场),元宝塘,900000062493025,900000062493024,1.204,
杭州地铁,地铁6号线,900000073754,元宝塘,昙花庵路,900000062493024,900000062493023,0.874,
杭州地铁,地铁6号线,900000073754,昙花庵路,三堡,900000062493023,900000062493022,1.172,
杭州地铁,地铁6号线,900000073754,三堡,亚运村,900000062493022,900000062493021,2.125,
杭州地铁,地铁6号线,900000073754,亚运村,丰北,900000062493021,900000062493020,0.892,
杭州地铁,地铁6号线,900000073754,丰北,钱江世纪城,900000062493020,330100020003013,1.209,
杭州地铁,地铁6号线,900000073754,钱江世纪城,博览中心,330100020003013,900000062493017,1.168,
杭州地铁,地铁6号线,900000073754,博览中心,奥体中心,900000062493017,900000062493016,0.991,
杭州地铁,地铁6号线,900000073754,奥体中心,星民,900000062493016,900000062493015,1.491,
杭州地铁,地铁6号线,900000073754,星民,江陵路,900000062493015,330100023133022,0.84,
杭州地铁,地铁6号线,900000073754,江陵路,江汉路,330100023133022,900000062493013,1.313,
杭州地铁,地铁6号线,900000073754,江汉路,长河,900000062493013,900000062493012,1.226,
杭州地铁,地铁6号线,900000073754,长河,建业路,900000062493012,900000062493011,1.643,
杭州地铁,地铁6号线,900000073754,建业路,诚业路,900000062493011,900000062493010,0.937,
杭州地铁,地铁6号线,900000073754,诚业路,伟业路,900000062493010,900000062493009,1.159,
杭州地铁,地铁6号线,900000073754,伟业路,中医药大学,900000062493009,900000029624024,1.416,
杭州地铁,地铁6号线,900000073754,中医药大学,西浦路,900000029624024,900000062493007,1.157,
杭州地铁,地铁6号线,900000073754,西浦路,之江文化中心,900000062493007,900000062493006,3.115,
杭州地铁,地铁6号线,900000073754,之江文化中心,枫桦西路,900000062493006,900000062493005,0.937,
杭州地铁,地铁6号线,900000073754,枫桦西路,美院象山,900000062493005,900000062493004,1.711,
杭州地铁,地铁6号线,900000073754,美院象山,音乐学院,900000062493004,900000073754002,2.277,
杭州地铁,地铁6号线,900000073754,音乐学院,中村,900000073754002,900000073754003,1.848,
杭州地铁,地铁6号线,900000073754,中村,野生动物园东,900000073754003,900000073754004,3.572,
杭州地铁,地铁6号线,900000073754,野生动物园东,银湖,900000073754004,900000073754005,1.486,
杭州地铁,地铁6号线,900000073754,银湖,虎啸杏,900000073754005,900000073754012,1.943,
杭州地铁,地铁6号线,900000073754,虎啸杏,受降,900000073754012,900000073754006,1.395,
杭州地铁,地铁6号线,900000073754,受降,富阳客运中心,900000073754006,900000073754007,2.607,
杭州地铁,地铁6号线,900000073754,富阳客运中心,高桥,900000073754007,900000073754008,1.884,
杭州地铁,地铁6号线,900000073754,高桥,阳陂湖,900000073754008,900000073754009,1.464,
杭州地铁,地铁6号线,900000073754,阳陂湖,公望街,900000073754009,900000073754010,1.809,
杭州地铁,地铁6号线,900000073754,公望街,桂花西路,900000073754010,900000073754011,1.904,
