系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
杭州地铁,地铁9号线,900000166808,龙安,五洲路,900000166808008,900000166808009,1.363,
杭州地铁,地铁9号线,900000166808,五洲路,荷禹路,900000166808009,900000166808010,1.306,
杭州地铁,地铁9号线,900000166808,荷禹路,邱山大街,900000166808010,900000166808011,1.795,
杭州地铁,地铁9号线,900000166808,邱山大街,临平,900000166808011,900000166808001,1.772,
杭州地铁,地铁9号线,900000166808,临平,南苑,900000166808001,900000166808002,1.33,
杭州地铁,地铁9号线,900000166808,南苑,临平南高铁站,900000166808002,900000150702001,1.495,
杭州地铁,地铁9号线,900000166808,临平南高铁站,翁梅,900000150702001,900000166808004,1.935,
杭州地铁,地铁9号线,900000166808,翁梅,乔司,900000166808004,900000166808005,2.206,
杭州地铁,地铁9号线,900000166808,乔司,乔司南,900000166808005,900000166808006,2.235,
杭州地铁,地铁9号线,900000166808,乔司南,客运中心,900000166808006,330100023133006,2.128,
杭州地铁,地铁9号线,900000166808,客运中心,九睦路,330100023133006,900000166808012,0.95,
杭州地铁,地铁9号线,900000166808,九睦路,红普南路,900000166808012,900000166808013,1.614,
杭州地铁,地铁9号线,900000166808,红普南路,六堡,900000166808013,900000166808014,1.375,
杭州地铁,地铁9号线,900000166808,六堡,五堡,900000166808014,900000166808015,1.069,
杭州地铁,地铁9号线,900000166808,五堡,御道,900000166808015,900000101230006,0.939,
杭州地铁,地铁9号线,900000166808,御道,三堡,900000101230006,900000062493022,1.118,
杭州地铁,地铁9号线,900000166808,三堡,江河汇,900000062493022,900000166808018,0.874,
杭州地铁,地铁9号线,900000166808,江河汇,钱江路,900000166808018,330100020003014,0.976,
杭州地铁,地铁9号线,900000166808,钱江路,新业路,330100020003014,900000166808020,0.877,
杭州地铁,地铁9号线,900000166808,新业路,观音塘,900000166808020,900000099060031,0.734,
