系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
合肥轨道交通,轨道交通5号线,900000072420,汲桥路,六中菱湖校区,900000072420046,900000072420045,1.334,
合肥轨道交通,轨道交通5号线,900000072420,六中菱湖校区,菱湖公园,900000072420045,900000072420044,1.822,
合肥轨道交通,轨道交通5号线,900000072420,菱湖公园,北五里井,900000072420044,900000072420043,1.733,
合肥轨道交通,轨道交通5号线,900000072420,北五里井,海棠,900000072420043,900000055586019,1.236,
合肥轨道交通,轨道交通5号线,900000072420,海棠,白水坝,900000055586019,900000072420041,0.942,
合肥轨道交通,轨道交通5号线,900000072420,白水坝,杏花公园,900000072420041,900000072420040,0.932,
合肥轨道交通,轨道交通5号线,900000072420,杏花公园,三孝口,900000072420040,900000039729014,1.127,
合肥轨道交通,轨道交通5号线,900000072420,三孝口,稻香楼,900000039729014,900000072420038,1.299,
合肥轨道交通,轨道交通5号线,900000072420,稻香楼,中国科大东区,900000072420038,900000072420037,0.873,
合肥轨道交通,轨道交通5号线,900000072420,中国科大东区,市第三医院,900000072420037,900000072420036,1.468,
合肥轨道交通,轨道交通5号线,900000072420,市第三医院,休宁路,900000072420036,900000072420035,1.15,
合肥轨道交通,轨道交通5号线,900000072420,休宁路,凌大塘,900000072420035,900000072420034,0.762,
合肥轨道交通,轨道交通5号线,900000072420,凌大塘,望湖城西,900000072420034,900000072420017,1.417,
合肥轨道交通,轨道交通5号线,900000072420,望湖城西,合肥南站,900000072420017,900000039731013,0.981,
合肥轨道交通,轨道交通5号线,900000072420,合肥南站,盛大,900000039731013,900000072420016,1.395,
合肥轨道交通,轨道交通5号线,900000072420,盛大,包河苑,900000072420016,900000072420015,1.379,
合肥轨道交通,轨道交通5号线,900000072420,包河苑,义兴,900000072420015,900000072420014,0.845,
合肥轨道交通,轨道交通5号线,900000072420,义兴,大连路,900000072420014,900000072420013,1.197,
合肥轨道交通,轨道交通5号线,900000072420,大连路,花园大道,900000072420013,900000072420012,1.411,
合肥轨道交通,轨道交通5号线,900000072420,花园大道,黄河路,900000072420012,900000072420011,0.749,
合肥轨道交通,轨道交通5号线,900000072420,黄河路,扬子江路,900000072420011,900000072420010,1.522,
合肥轨道交通,轨道交通5号线,900000072420,扬子江路,义城,900000072420010,900000072420009,1.364,
合肥轨道交通,轨道交通5号线,900000072420,义城,省行政中心东,900000072420009,900000072420008,1.05,
合肥轨道交通,轨道交通5号线,900000072420,省行政中心东,方兴湖,900000072420008,900000072420007,1.476,
合肥轨道交通,轨道交通5号线,900000072420,方兴湖,渡江纪念馆,900000072420007,900000072420030,0.923,
合肥轨道交通,轨道交通5号线,900000072420,渡江纪念馆,沈湾,900000072420030,900000072420006,0.997,
合肥轨道交通,轨道交通5号线,900000072420,沈湾,华山路,900000072420006,900000072420005,0.83,
合肥轨道交通,轨道交通5号线,900000072420,华山路,云谷路,900000072420005,900000039731005,0.829,
合肥轨道交通,轨道交通5号线,900000072420,云谷路,清水冲,900000039731005,900000072420004,1.492,
合肥轨道交通,轨道交通5号线,900000072420,清水冲,云川公园,900000072420004,900000072420003,1.027,
合肥轨道交通,轨道交通5号线,900000072420,云川公园,滨湖竹园,900000072420003,900000072420002,1.16,
合肥轨道交通,轨道交通5号线,900000072420,滨湖竹园,贵阳路,900000072420002,900000072420001,1.214,
