系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
合肥轨道交通,轨道交通6号线,900000153893,青龙岗,0.0,0.0,117.088765,31.830183,900000153893022,,
合肥轨道交通,轨道交通6号线,900000153893,合肥七中,1.129,1.129,117.100696,31.829569,900000153893021,,
合肥轨道交通,轨道交通6号线,900000153893,量子科学中心,1.385,2.514,117.115351,31.829839,900000153893020,,
合肥轨道交通,轨道交通6号线,900000153893,科大先研院,1.783,4.297,117.134212,31.830335,900000153893019,,
合肥轨道交通,轨道交通6号线,900000153893,北雁湖,2.408,6.705,117.157182,31.820958,900000153891009,,
合肥轨道交通,轨道交通6号线,900000153893,开福寺,2.929,9.634,117.185445,31.831776,900000153893017,,
合肥轨道交通,轨道交通6号线,900000153893,梦城,1.576,11.21,117.202096,31.832593,900000153893016,,
合肥轨道交通,轨道交通6号线,900000153893,松荫桥,1.849,13.059,117.221653,31.833327,900000153893015,,
合肥轨道交通,轨道交通6号线,900000153893,洪岗,0.943,14.002,117.231564,31.832304,900000055586011,,
合肥轨道交通,轨道交通6号线,900000153893,陆军兵种大学,1.26,15.262,117.244790,31.830860,900000153893013,,
合肥轨道交通,轨道交通6号线,900000153893,南七里,1.259,16.521,117.258082,31.830015,900000153893012,,
合肥轨道交通,轨道交通6号线,900000153893,市第三医院,1.097,17.618,117.269610,31.828799,900000072420036,,
合肥轨道交通,轨道交通6号线,900000153893,卫岗,1.571,19.189,117.286046,31.830972,900000153893010,,
合肥轨道交通,轨道交通6号线,900000153893,朱岗,1.488,20.677,117.301739,31.832155,900000039731017,,
合肥轨道交通,轨道交通6号线,900000153893,尧渡河路,2.324,23.001,117.324957,31.825248,900000153891025,,
合肥轨道交通,轨道交通6号线,900000153893,唐大楼,1.032,24.033,117.335303,31.828216,900000153893007,,
合肥轨道交通,轨道交通6号线,900000153893,市儿童医院,2.051,26.084,117.354960,31.836050,900000153893006,,
合肥轨道交通,轨道交通6号线,900000153893,钢红,2.346,28.43,117.377961,31.828107,900000153893004,,
合肥轨道交通,轨道交通6号线,900000153893,大兴集,1.032,29.462,117.385540,31.834793,900000153893003,,
合肥轨道交通,轨道交通6号线,900000153893,伏龙,1.479,30.941,117.400681,31.838165,900000153893002,,
合肥轨道交通,轨道交通6号线,900000153893,龙塘,1.382,32.323,117.415202,31.836626,900000153893001,,
