系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
港铁,东铁线,810000020810,金钟,0.0,0.0,114.170494,22.276448,810000020809014,,
港铁,东铁线,810000020810,会展,1.057,1.057,114.180418,22.278893,810000020809015,,
港铁,东铁线,810000020810,红磡,2.447,3.504,114.186698,22.300117,810000020809002,,
港铁,东铁线,810000020810,旺角东,2.342,5.846,114.177552,22.319406,810000020809003,,
港铁,东铁线,810000020810,九龙塘,1.68,7.526,114.180820,22.334207,810000020809004,,
港铁,东铁线,810000020810,大围,4.004,11.53,114.183441,22.370133,810000020809005,,
港铁,东铁线,810000020810,沙田,1.416,12.946,114.192455,22.379755,810000020809006,,
港铁,东铁线,810000020810,火炭,1.786,14.732,114.203115,22.392434,810000020809007,,
港铁,东铁线,810000020810,大学,2.402,17.134,114.215000,22.411030,810000020809008,,
港铁,东铁线,810000020810,大埔墟,5.34,22.474,114.175218,22.441916,810000020809009,,
港铁,东铁线,810000020810,太和,1.164,23.638,114.166196,22.448238,810000020809010,,
港铁,东铁线,810000020810,粉岭,5.137,28.775,114.143647,22.489469,810000020809011,,
港铁,东铁线,810000020810,上水,1.529,30.304,114.132778,22.498862,810000020809012,,
港铁,东铁线,810000020810,落马洲,6.52,36.824,114.070889,22.511861,810000020810013,,
