系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
南京地铁,地铁4号线,320100021293,龙江,0.0,0.0,118.738050,32.057926,320100021293002,,
南京地铁,地铁4号线,320100021293,草场门,1.686,1.686,118.755699,32.060416,320100021293003,,
南京地铁,地铁4号线,320100021293,云南路,1.776,3.462,118.774540,32.060115,320100021293009,,
南京地铁,地铁4号线,320100021293,鼓楼,0.875,4.337,118.783724,32.058958,320100021293010,,
南京地铁,地铁4号线,320100021293,鸡鸣寺,1.366,5.703,118.798082,32.057266,320100021293011,,
南京地铁,地铁4号线,320100021293,九华山,0.746,6.449,118.806000,32.057314,320100021293012,,
南京地铁,地铁4号线,320100021293,岗子村,1.3,7.749,118.816020,32.065352,320100021293013,,
南京地铁,地铁4号线,320100021293,蒋王庙,1.967,9.716,118.831148,32.077536,320100021293014,,
南京地铁,地铁4号线,320100021293,王家湾,1.069,10.785,118.837921,32.085254,320100021293015,,
南京地铁,地铁4号线,320100021293,聚宝山,2.655,13.44,118.864212,32.093858,320100021293023,,
南京地铁,地铁4号线,320100021293,徐庄·苏宁总部,2.599,16.039,118.889679,32.084861,320100021293016,,
南京地铁,地铁4号线,320100021293,金马路,2.147,18.186,118.906348,32.071699,320100021293017,,
南京地铁,地铁4号线,320100021293,汇通路,2.484,20.67,118.931631,32.078018,320100021293024,,
南京地铁,地铁4号线,320100021293,灵山,1.135,21.805,118.943672,32.077698,320100021293018,,
南京地铁,地铁4号线,320100021293,东流,2.055,23.86,118.965470,32.077111,320100021293019,,
南京地铁,地铁4号线,320100021293,孟北,2.208,26.068,118.987240,32.084468,320100021293020,,
南京地铁,地铁4号线,320100021293,西岗桦墅,1.832,27.9,118.996482,32.098965,320100021293021,,
南京地铁,地铁4号线,320100021293,仙林湖,2.974,30.874,118.992322,32.125478,320100021293022,,
