系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
南宁地铁,轨道交通2号线,900000060985,西津,安吉客运站,900000060985036,900000060985035,1.06,
南宁地铁,轨道交通2号线,900000060985,安吉客运站,苏卢,900000060985035,900000060985034,1.222,
南宁地铁,轨道交通2号线,900000060985,苏卢,三十三中,900000060985034,900000060985033,1.244,
南宁地铁,轨道交通2号线,900000060985,三十三中,秀厢,900000060985033,900000060985032,1.144,
南宁地铁,轨道交通2号线,900000060985,秀厢,明秀路,900000060985032,900000060985031,1.207,
南宁地铁,轨道交通2号线,900000060985,明秀路,火车站,900000060985031,900000058314015,1.639,
南宁地铁,轨道交通2号线,900000060985,火车站,朝阳广场,900000058314015,900000058314014,0.981,
南宁地铁,轨道交通2号线,900000060985,朝阳广场,南宁剧场,900000058314014,900000060985028,1.615,
南宁地铁,轨道交通2号线,900000060985,南宁剧场,福建园,900000060985028,900000060985027,1.06,
南宁地铁,轨道交通2号线,900000060985,福建园,亭洪路,900000060985027,900000060985026,0.667,
南宁地铁,轨道交通2号线,900000060985,亭洪路,石柱岭,900000060985026,900000060985025,0.821,
南宁地铁,轨道交通2号线,900000060985,石柱岭,江南客运站,900000060985025,900000060985024,1.657,
南宁地铁,轨道交通2号线,900000060985,江南客运站,大沙田,900000060985024,900000060985023,0.803,
南宁地铁,轨道交通2号线,900000060985,大沙田,建设路,900000060985023,900000060985022,1.012,
南宁地铁,轨道交通2号线,900000060985,建设路,石子塘,900000060985022,900000060985021,1.336,
南宁地铁,轨道交通2号线,900000060985,石子塘,金象,900000060985021,900000060985020,1.364,
南宁地铁,轨道交通2号线,900000060985,金象,玉洞,900000060985020,900000060985019,1.074,
南宁地铁,轨道交通2号线,900000060985,玉洞,东风路,900000060985019,900000060985041,1.638,
南宁地铁,轨道交通2号线,900000060985,东风路,玉岭路,900000060985041,900000060985040,0.845,
南宁地铁,轨道交通2号线,900000060985,玉岭路,那福路,900000060985040,900000060985039,1.417,
南宁地铁,轨道交通2号线,900000060985,那福路,平良立交,900000060985039,900000060985038,1.059,
南宁地铁,轨道交通2号线,900000060985,平良立交,坛泽,900000060985038,900000060985037,1.001,
