系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
沈阳地铁,地铁3号线,900000095078,李达,铁西汽车工厂,900000095078032,900000095078001,1.788,
沈阳地铁,地铁3号线,900000095078,铁西汽车工厂,马贝,900000095078001,900000095078002,2.28,
沈阳地铁,地铁3号线,900000095078,马贝,中德大街,900000095078002,900000095078003,1.569,
沈阳地铁,地铁3号线,900000095078,中德大街,细河悠谷,900000095078003,900000095078004,2.639,
沈阳地铁,地铁3号线,900000095078,细河悠谷,翟家,900000095078004,900000095078005,1.863,
沈阳地铁,地铁3号线,900000095078,翟家,工业大学,900000095078005,900000095078006,2.333,
沈阳地铁,地铁3号线,900000095078,工业大学,宁官,900000095078006,900000095078007,1.362,
沈阳地铁,地铁3号线,900000095078,宁官,余良,900000095078007,900000095078008,0.776,
沈阳地铁,地铁3号线,900000095078,余良,甘官,900000095078008,900000095078009,2.143,
沈阳地铁,地铁3号线,900000095078,甘官,千岛湖街,900000095078009,900000095078010,1.355,
沈阳地铁,地铁3号线,900000095078,千岛湖街,南阳湖街,900000095078010,900000095078011,0.964,
沈阳地铁,地铁3号线,900000095078,南阳湖街,大通湖街,900000095078011,900000039632011,1.197,
沈阳地铁,地铁3号线,900000095078,大通湖街,南李官,900000039632011,900000095078013,1.467,
