系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
苏州轨道交通,轨道交通5号线,900000055756,阳澄湖南,0.0,0.0,120.782668,31.370246,900000055756034,,
苏州轨道交通,轨道交通5号线,900000055756,葑亭大道,1.791,1.791,120.766695,31.361685,900000039926002,,
苏州轨道交通,轨道交通5号线,900000055756,东沙湖,2.671,4.462,120.763419,31.337824,900000055756032,,
苏州轨道交通,轨道交通5号线,900000055756,龙墩,1.485,5.947,120.74802,31.335533,900000055756031,,
苏州轨道交通,轨道交通5号线,900000055756,星塘街,1.155,7.102,120.744297,31.325644,320500022828024,,
苏州轨道交通,轨道交通5号线,900000055756,方洲公园,0.919,8.021,120.744107,31.317383,900000055756029,,
苏州轨道交通,轨道交通5号线,900000055756,苏州奥体中心,0.996,9.017,120.744258,31.308427,900000055756028,,
苏州轨道交通,轨道交通5号线,900000055756,斜塘,1.392,10.409,120.734215,31.299313,900000055756027,,
苏州轨道交通,轨道交通5号线,900000055756,华莲,0.935,11.344,120.724377,31.299228,900000055756026,,
苏州轨道交通,轨道交通5号线,900000055756,金湖,1.499,12.843,120.708667,31.297983,900000055756025,,
苏州轨道交通,轨道交通5号线,900000055756,李公堤南,1.253,14.096,120.695664,31.296107,900000055756024,,
苏州轨道交通,轨道交通5号线,900000055756,星波街,0.921,15.017,120.685975,31.296268,900000055756023,,
苏州轨道交通,轨道交通5号线,900000055756,金厍桥,0.726,15.743,120.678340,31.296533,900000039926012,,
苏州轨道交通,轨道交通5号线,900000055756,黄天荡,1.39,17.133,120.663715,31.296763,900000055756021,,
苏州轨道交通,轨道交通5号线,900000055756,荷花荡,0.636,17.769,120.657028,31.296571,900000055756020,,
苏州轨道交通,轨道交通5号线,900000055756,竹辉桥,1.066,18.835,120.646157,31.294192,900000055756019,,
苏州轨道交通,轨道交通5号线,900000055756,南园北路,1.129,19.964,120.634324,31.29329,900000055756018,,
苏州轨道交通,轨道交通5号线,900000055756,南门,0.949,20.913,120.624441,31.292053,320500022810013,,
苏州轨道交通,轨道交通5号线,900000055756,新市桥,1.355,22.268,120.610399,31.289912,900000055756016,,
苏州轨道交通,轨道交通5号线,900000055756,劳动路,1.269,23.537,120.597195,31.291601,320500022816009,,
苏州轨道交通,轨道交通5号线,900000055756,双桥,0.965,24.502,120.589342,31.286105,900000055756014,,
苏州轨道交通,轨道交通5号线,900000055756,索山桥西,1.63,26.132,120.572542,31.283130,900000039926036,,
苏州轨道交通,轨道交通5号线,900000055756,落星桥,1.219,27.351,120.559934,31.281107,900000055756012,,
苏州轨道交通,轨道交通5号线,900000055756,石城,1.105,28.456,120.553032,31.273115,900000055756011,,
苏州轨道交通,轨道交通5号线,900000055756,西跨塘,1.261,29.717,120.546817,31.263092,900000055756010,,
苏州轨道交通,轨道交通5号线,900000055756,大治桥,1.084,30.801,120.535444,31.262371,900000055756009,,
苏州轨道交通,轨道交通5号线,900000055756,渎川桥,1.602,32.403,120.51862,31.261463,900000055756008,,
苏州轨道交通,轨道交通5号线,900000055756,灵岩山,1.702,34.105,120.503433,31.253352,900000055756007,,
苏州轨道交通,轨道交通5号线,900000055756,许家桥,0.639,34.744,120.498147,31.249801,900000055756006,,
苏州轨道交通,轨道交通5号线,900000055756,茅蓬路东,0.86,35.604,120.492444,31.243799,900000055756005,,
苏州轨道交通,轨道交通5号线,900000055756,胥口,1.281,36.885,120.482145,31.236367,900000055756004,,
苏州轨道交通,轨道交通5号线,900000055756,津桥,1.192,38.077,120.47273,31.22929,900000055756003,,
苏州轨道交通,轨道交通5号线,900000055756,花墩,0.913,38.99,120.465584,31.223807,900000055756002,,
苏州轨道交通,轨道交通5号线,900000055756,太湖香山,1.224,40.214,120.452883,31.225612,900000055756001,,
