系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
天津地铁,地铁4号线,120100021319,东南角,金街,120100021319010,120100021319011,0.587,
天津地铁,地铁4号线,120100021319,金街,和平路,120100021319011,120100021319012,1.207,
天津地铁,地铁4号线,120100021319,和平路,徐州道,120100021319012,120100021319013,1.746,
天津地铁,地铁4号线,120100021319,徐州道,六纬路,120100021319013,120100021319014,0.777,
天津地铁,地铁4号线,120100021319,六纬路,成林道,120100021319014,120100021319015,2.257,
天津地铁,地铁4号线,120100021319,成林道,泰昌路,120100021319015,120100021319016,1.291,
天津地铁,地铁4号线,120100021319,泰昌路,万东路,120100021319016,120100021319017,0.991,
天津地铁,地铁4号线,120100021319,万东路,沙柳南路,120100021319017,120100021319018,1.872,
天津地铁,地铁4号线,120100021319,沙柳南路,登州南路,120100021319018,120100021319019,1.427,
天津地铁,地铁4号线,120100021319,登州南路,跃进北路,120100021319019,120100021319020,1.188,
天津地铁,地铁4号线,120100021319,跃进北路,航双路,120100021319020,120100021319021,1.345,
天津地铁,地铁4号线,120100021319,航双路,民航大学,120100021319021,120100021319022,1.334,
天津地铁,地铁4号线,120100021319,民航大学,新兴村,120100021319022,120100021319023,2.012,
