系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
天津地铁,地铁4号线,120100021319,东南角,0.0,0.0,117.190293,39.136881,120100021319010,,
天津地铁,地铁4号线,120100021319,金街,0.587,0.587,117.192177,39.131810,120100021319011,,
天津地铁,地铁4号线,120100021319,和平路,1.207,1.794,117.204654,39.126896,120100021319012,,
天津地铁,地铁4号线,120100021319,徐州道,1.746,3.54,117.218497,39.115443,120100021319013,,
天津地铁,地铁4号线,120100021319,六纬路,0.777,4.317,117.227500,39.115665,120100021319014,,
天津地铁,地铁4号线,120100021319,成林道,2.257,6.574,117.245626,39.130300,120100021319015,,
天津地铁,地铁4号线,120100021319,泰昌路,1.291,7.865,117.256498,39.122322,120100021319016,,
天津地铁,地铁4号线,120100021319,万东路,0.991,8.856,117.267386,39.119474,120100021319017,,
天津地铁,地铁4号线,120100021319,沙柳南路,1.872,10.728,117.288921,39.117388,120100021319018,,
天津地铁,地铁4号线,120100021319,登州南路,1.427,12.155,117.305429,39.116534,120100021319019,,
天津地铁,地铁4号线,120100021319,跃进北路,1.188,13.343,117.318812,39.114015,120100021319020,,
天津地铁,地铁4号线,120100021319,航双路,1.345,14.688,117.333949,39.111105,120100021319021,,
天津地铁,地铁4号线,120100021319,民航大学,1.334,16.022,117.349129,39.108842,120100021319022,,
天津地铁,地铁4号线,120100021319,新兴村,2.012,18.034,117.370481,39.101571,120100021319023,,
