系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
天津地铁,地铁5号线,120100021323,京华东道,李七庄南,120100021323031,120100021323030,1.332,
天津地铁,地铁5号线,120100021323,李七庄南,中医一附院,120100021323030,120100021323029,1.681,
天津地铁,地铁5号线,120100021323,中医一附院,昌凌路,120100021323029,120100021323028,1.095,
天津地铁,地铁5号线,120100021323,昌凌路,凌宾路,120100021323028,120100021323027,1.67,
天津地铁,地铁5号线,120100021323,凌宾路,体育中心,120100021323027,120100021323026,0.743,
天津地铁,地铁5号线,120100021323,体育中心,肿瘤医院,120100021323026,120100021323025,1.021,
天津地铁,地铁5号线,120100021323,肿瘤医院,天津宾馆,120100021323025,120100021323024,1.538,
天津地铁,地铁5号线,120100021323,天津宾馆,文化中心,120100021323024,120100021323023,0.723,
天津地铁,地铁5号线,120100021323,文化中心,西南楼,120100021323023,120100021323022,1.303,
天津地铁,地铁5号线,120100021323,西南楼,下瓦房,120100021323022,120100021323021,1.236,
天津地铁,地铁5号线,120100021323,下瓦房,直沽,120100021323021,120100021323020,1.151,
天津地铁,地铁5号线,120100021323,直沽,津塘路,120100021323020,120100021323019,0.89,
天津地铁,地铁5号线,120100021323,津塘路,成林道,120100021323019,120100021319015,1.574,
天津地铁,地铁5号线,120100021323,成林道,靖江路,120100021319015,120100021323017,1.364,
天津地铁,地铁5号线,120100021323,靖江路,幸福公园,120100021323017,120100021323016,1.29,
天津地铁,地铁5号线,120100021323,幸福公园,月牙河,120100021323016,120100021323015,1.194,
天津地铁,地铁5号线,120100021323,月牙河,金钟河大街,120100021323015,120100021323014,0.883,
天津地铁,地铁5号线,120100021323,金钟河大街,建昌道,120100021323014,120100021323013,1.041,
天津地铁,地铁5号线,120100021323,建昌道,思源路,120100021323013,120100021323012,0.747,
天津地铁,地铁5号线,120100021323,思源路,志成路,120100021323012,120100021323011,0.829,
天津地铁,地铁5号线,120100021323,志成路,张兴庄,120100021323011,120100021323010,0.651,
天津地铁,地铁5号线,120100021323,张兴庄,宜兴埠北,120100021323010,120100021323009,1.477,
天津地铁,地铁5号线,120100021323,宜兴埠北,辽河北道,120100021323009,120100021323008,0.881,
天津地铁,地铁5号线,120100021323,辽河北道,淮河道,120100021323008,120100021323007,1.176,
天津地铁,地铁5号线,120100021323,淮河道,职业大学,120100021323007,120100021323006,1.655,
天津地铁,地铁5号线,120100021323,职业大学,北辰道,120100021323006,120100021323005,1.286,
天津地铁,地铁5号线,120100021323,北辰道,丹河北道,120100021323005,120100021323004,1.569,
天津地铁,地铁5号线,120100021323,丹河北道,北辰科技园北,120100021323004,120100021323003,2.086,
