系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
武汉地铁,轨道交通2号线,420100024404,佛祖岭,藏龙东街,420100024404030,420100024404031,0.987,
武汉地铁,轨道交通2号线,420100024404,藏龙东街,秀湖,420100024404031,420100024404032,1.451,
武汉地铁,轨道交通2号线,420100024404,秀湖,金融港北,420100024404032,420100024404033,1.582,
武汉地铁,轨道交通2号线,420100024404,金融港北,黄龙山路,420100024404033,420100024404034,1.95,
武汉地铁,轨道交通2号线,420100024404,黄龙山路,武汉东站,420100024404034,420100024404035,1.07,
武汉地铁,轨道交通2号线,420100024404,武汉东站,佳园路,420100024404035,420100024404036,1.455,
武汉地铁,轨道交通2号线,420100024404,佳园路,光谷大道,420100024404036,420100024404037,0.993,
武汉地铁,轨道交通2号线,420100024404,光谷大道,华中科技大学,420100024404037,420100024404038,0.923,
武汉地铁,轨道交通2号线,420100024404,华中科技大学,珞雄路,420100024404038,420100024404039,0.902,
武汉地铁,轨道交通2号线,420100024404,珞雄路,光谷广场,420100024404039,420100024404002,0.575,
武汉地铁,轨道交通2号线,420100024404,光谷广场,杨家湾,420100024404002,420100024404003,1.556,
武汉地铁,轨道交通2号线,420100024404,杨家湾,虎泉,420100024404003,420100024404004,1.423,
武汉地铁,轨道交通2号线,420100024404,虎泉,广埠屯,420100024404004,420100024404005,1.271,
武汉地铁,轨道交通2号线,420100024404,广埠屯,街道口,420100024404005,420100024404006,1.125,
武汉地铁,轨道交通2号线,420100024404,街道口,宝通寺,420100024404006,420100024404007,1.25,
武汉地铁,轨道交通2号线,420100024404,宝通寺,中南路,420100024404007,420100024404008,1.123,
武汉地铁,轨道交通2号线,420100024404,中南路,洪山广场,420100024404008,420100024404009,0.923,
武汉地铁,轨道交通2号线,420100024404,洪山广场,小龟山,420100024404009,420100024404010,1.142,
武汉地铁,轨道交通2号线,420100024404,小龟山,螃蟹岬,420100024404010,420100024404011,0.901,
武汉地铁,轨道交通2号线,420100024404,螃蟹岬,积玉桥,420100024404011,420100024404012,1.221,
武汉地铁,轨道交通2号线,420100024404,积玉桥,江汉路,420100024404012,420100024335016,2.568,
武汉地铁,轨道交通2号线,420100024404,江汉路,循礼门,420100024335016,420100024404014,0.872,
武汉地铁,轨道交通2号线,420100024404,循礼门,中山公园,420100024404014,420100024404015,1.31,
武汉地铁,轨道交通2号线,420100024404,中山公园,青年路,420100024404015,420100024404016,0.882,
武汉地铁,轨道交通2号线,420100024404,青年路,王家墩东,420100024404016,420100024404017,0.954,
武汉地铁,轨道交通2号线,420100024404,王家墩东,范湖,420100024404017,420100024331012,1.513,
武汉地铁,轨道交通2号线,420100024404,范湖,汉口火车站,420100024331012,420100024404019,1.044,
武汉地铁,轨道交通2号线,420100024404,汉口火车站,长港路,420100024404019,420100024404020,1.555,
武汉地铁,轨道交通2号线,420100024404,长港路,常青花园,420100024404020,420100024335024,1.529,
武汉地铁,轨道交通2号线,420100024404,常青花园,金银潭,420100024335024,420100024404022,1.096,
武汉地铁,轨道交通2号线,420100024404,金银潭,常青城,420100024404022,420100024404023,1.496,
武汉地铁,轨道交通2号线,420100024404,常青城,宏图大道,420100024404023,420100024331002,2.524,
武汉地铁,轨道交通2号线,420100024404,宏图大道,盘龙城,420100024331002,420100024404025,3.752,
武汉地铁,轨道交通2号线,420100024404,盘龙城,巨龙大道,420100024404025,420100024404026,1.376,
武汉地铁,轨道交通2号线,420100024404,巨龙大道,宋家岗,420100024404026,420100024404027,2.037,
武汉地铁,轨道交通2号线,420100024404,宋家岗,航空总部,420100024404027,420100024404028,1.414,
武汉地铁,轨道交通2号线,420100024404,航空总部,天河机场,420100024404028,420100024404029,4.362,
