系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
无锡地铁,地铁4号线,900000062486,刘潭,广石路,320200021334021,900000062486002,1.675,
无锡地铁,地铁4号线,900000062486,广石路,黄巷,900000062486002,900000062486003,2.26,
无锡地铁,地铁4号线,900000062486,黄巷,盛岸,900000062486003,320200021052013,1.245,
无锡地铁,地铁4号线,900000062486,盛岸,惠山古镇,320200021052013,900000062486005,1.449,
无锡地铁,地铁4号线,900000062486,惠山古镇,青山湾荣院,900000062486005,900000062486006,1.578,
无锡地铁,地铁4号线,900000062486,青山湾荣院,河埒口,900000062486006,900000029089004,1.122,
无锡地铁,地铁4号线,900000062486,河埒口,西园弄,900000029089004,900000062486008,1.492,
无锡地铁,地铁4号线,900000062486,西园弄,体育中心,900000062486008,900000062486009,0.852,
无锡地铁,地铁4号线,900000062486,体育中心,夏家边,900000062486009,900000062486010,0.949,
无锡地铁,地铁4号线,900000062486,夏家边,蠡湖大桥,900000062486010,900000062486011,1.187,
无锡地铁,地铁4号线,900000062486,蠡湖大桥,大剧院,900000062486011,900000062486012,1.965,
无锡地铁,地铁4号线,900000062486,大剧院,五湖大道,900000062486012,900000062486013,0.735,
无锡地铁,地铁4号线,900000062486,五湖大道,周新苑,900000062486013,900000062486014,1.319,
无锡地铁,地铁4号线,900000062486,周新苑,市民中心,900000062486014,320200021334005,1.507,
无锡地铁,地铁4号线,900000062486,市民中心,吴都路,320200021334005,900000062486016,0.916,
无锡地铁,地铁4号线,900000062486,吴都路,丰润道,900000062486016,900000062486017,1.222,
无锡地铁,地铁4号线,900000062486,丰润道,博览中心,900000062486017,900000062486018,1.039,
