系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
西安地铁,地铁15号线,900000159340,细柳,0.0,0.0,108.792346,34.159799,900000159340001,,
西安地铁,地铁15号线,900000159340,府君庙,1.144,1.144,108.804784,34.159778,900000159340002,,
西安地铁,地铁15号线,900000159340,祝村西,1.243,2.387,108.818296,34.159813,900000159340003,,
西安地铁,地铁15号线,900000159340,祝村,1.54,3.927,108.835029,34.159777,900000159340004,,
西安地铁,地铁15号线,900000159340,郭杜西,1.127,5.054,108.847272,34.159859,610100020621037,,
西安地铁,地铁15号线,900000159340,郭杜,1.496,6.55,108.863529,34.159567,900000159340006,,
西安地铁,地铁15号线,900000159340,樱花广场,1.395,7.945,108.878692,34.159521,900000159340007,,
西安地铁,地铁15号线,900000159340,邮电大学,2.286,10.231,108.903446,34.157716,900000159340008,,
西安地铁,地铁15号线,900000159340,长安广场,2.322,12.553,108.928664,34.156935,900000159340009,,
西安地铁,地铁15号线,900000159340,航天城,1.477,14.03,108.944668,34.158006,610100021499021,,
西安地铁,地铁15号线,900000159340,皇子坡,1.603,15.633,108.961556,34.154468,900000159340011,,
西安地铁,地铁15号线,900000159340,东长安街,1.193,16.826,108.974508,34.153903,610100020613042,,
西安地铁,地铁15号线,900000159340,东兆余,2.02,18.846,108.996384,34.155379,900000159340013,,
