系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
郑州地铁,地铁4号线,900000075797,老鸦陈,省体育中心,900000075797001,900000075776001,0.818,
郑州地铁,地铁4号线,900000075797,省体育中心,北二十里铺,900000075776001,900000075797003,1.347,
郑州地铁,地铁4号线,900000075797,北二十里铺,丰庆路,900000075797003,900000075797004,1.268,
郑州地铁,地铁4号线,900000075797,丰庆路,张家村,900000075797004,900000075797005,0.86,
郑州地铁,地铁4号线,900000075797,张家村,陈寨东,900000075797005,900000075797029,0.966,
郑州地铁,地铁4号线,900000075797,陈寨东,沙门,900000075797029,410100021064004,1.068,
郑州地铁,地铁4号线,900000075797,沙门,杨君刘,410100021064004,900000075797008,1.529,
郑州地铁,地铁4号线,900000075797,杨君刘,森林公园北,900000075797008,900000075797009,0.88,
郑州地铁,地铁4号线,900000075797,森林公园北,清华附中,900000075797009,900000075797010,0.954,
郑州地铁,地铁4号线,900000075797,清华附中,龙湖中环北,900000075797010,900000075797011,1.197,
郑州地铁,地铁4号线,900000075797,龙湖中环北,龙湖北,900000075797011,900000075797012,0.883,
郑州地铁,地铁4号线,900000075797,龙湖北,金融岛北,900000075797012,900000075797013,0.938,
郑州地铁,地铁4号线,900000075797,金融岛北,金融岛南,900000075797013,900000075797014,0.817,
郑州地铁,地铁4号线,900000075797,金融岛南,龙湖南,900000075797014,900000075797015,0.709,
郑州地铁,地铁4号线,900000075797,龙湖南,龙湖中环南,900000075797015,900000075797016,1.201,
郑州地铁,地铁4号线,900000075797,龙湖中环南,农业东路,900000075797016,900000075797017,0.989,
郑州地铁,地铁4号线,900000075797,农业东路,中央商务区,900000075797017,900000058317009,0.788,
郑州地铁,地铁4号线,900000075797,中央商务区,会展中心,900000058317009,410100022629008,1.326,
郑州地铁,地铁4号线,900000075797,会展中心,商鼎路,410100022629008,900000075797020,1.362,
郑州地铁,地铁4号线,900000075797,商鼎路,东十里铺,900000075797020,900000075776015,0.838,
郑州地铁,地铁4号线,900000075797,东十里铺,货站街,900000075776015,900000075797022,0.623,
郑州地铁,地铁4号线,900000075797,货站街,七里河,900000075797022,900000058317020,2.309,
郑州地铁,地铁4号线,900000075797,七里河,果树所,900000058317020,900000075797025,1.003,
郑州地铁,地铁4号线,900000075797,果树所,金岱,900000075797025,900000075797026,1.305,
郑州地铁,地铁4号线,900000075797,金岱,姚庄,900000075797026,900000075797027,1.338,
郑州地铁,地铁4号线,900000075797,姚庄,郎庄,900000075797027,900000075797028,0.717,
