系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
北京地铁,S1线,900000069871,苹果园,金安桥,110100023339034,110100023339035,1.42,
北京地铁,S1线,900000069871,金安桥,四道桥,110100023339035,900000069871003,2.567,
北京地铁,S1线,900000069871,四道桥,桥户营,900000069871003,900000069871004,0.808,
北京地铁,S1线,900000069871,桥户营,上岸,900000069871004,900000069871005,0.862,
北京地铁,S1线,900000069871,上岸,栗园庄,900000069871005,900000069871006,1.044,
北京地铁,S1线,900000069871,栗园庄,小园,900000069871006,900000069871007,0.956,
北京地铁,S1线,900000069871,小园,石厂,900000069871007,900000069871008,1.21,
北京地铁,大兴机场线,900000076660,草桥,大兴新城,110100023282033,900000076659002,12.323,
北京地铁,大兴机场线,900000076660,大兴新城,大兴机场,900000076659002,900000076659001,25.314,
北京地铁,地铁10号线,110100023282,巴沟,苏州街,110100023060002,110100023282003,1.114,
北京地铁,地铁10号线,110100023282,苏州街,海淀黄庄,110100023282003,110100023076008,0.958,
北京地铁,地铁10号线,110100023282,海淀黄庄,知春里,110100023076008,110100023282005,0.95,
北京地铁,地铁10号线,110100023282,知春里,知春路,110100023282005,110100023282006,0.959,
北京地铁,地铁10号线,110100023282,知春路,西土城,110100023282006,110100023118020,1.223,
北京地铁,地铁10号线,110100023282,西土城,牡丹园,110100023118020,110100023282008,1.324,
北京地铁,地铁10号线,110100023282,牡丹园,健德门,110100023282008,110100023282009,0.981,
北京地铁,地铁10号线,110100023282,健德门,北土城,110100023282009,110100023114007,1.094,
北京地铁,地铁10号线,110100023282,北土城,安贞门,110100023114007,110100023282011,1.002,
北京地铁,地铁10号线,110100023282,安贞门,惠新西街南口,110100023282011,110100023100015,0.987,
北京地铁,地铁10号线,110100023282,惠新西街南口,芍药居,110100023100015,110100023282013,1.567,
北京地铁,地铁10号线,110100023282,芍药居,太阳宫,110100023282013,110100023282014,1.131,
北京地铁,地铁10号线,110100023282,太阳宫,三元桥,110100023282014,110100023096003,1.56,
北京地铁,地铁10号线,110100023282,三元桥,亮马桥,110100023096003,110100023282016,1.405,
北京地铁,地铁10号线,110100023282,亮马桥,农业展览馆,110100023282016,110100023282017,0.897,
北京地铁,地铁10号线,110100023282,农业展览馆,团结湖,110100023282017,110100023282018,0.856,
北京地铁,地铁10号线,110100023282,团结湖,呼家楼,110100023282018,110100023282019,1.163,
北京地铁,地铁10号线,110100023282,呼家楼,金台夕照,110100023282019,110100023282020,0.723,
北京地铁,地铁10号线,110100023282,金台夕照,国贸,110100023282020,110100023110021,0.86,
北京地铁,地铁10号线,110100023282,国贸,双井,110100023110021,110100023054013,1.734,
