系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
昆明地铁,地铁1号线,530100021492,环城南路(北部汽车站),昆明火车站,530100021492019,530100021492018,1.189,
昆明地铁,地铁1号线,530100021492,昆明火车站,福德,530100021492018,530100021492017,1.005,
昆明地铁,地铁1号线,530100021492,福德,日新路,530100021492017,530100021492016,0.778,
昆明地铁,地铁1号线,530100021492,日新路,巫家坝,530100021492016,530100021492015,0.831,
昆明地铁,地铁1号线,530100021492,巫家坝,昌宏西路,530100021492015,530100021492014,1.497,
昆明地铁,地铁1号线,530100021492,昌宏西路,晓东村,530100021492014,530100021492013,1.108,
昆明地铁,地铁1号线,530100021492,晓东村,珥季路,530100021492013,530100021492012,1.5,
昆明地铁,地铁1号线,530100021492,珥季路,星耀路,530100021492012,530100021492011,1.745,
昆明地铁,地铁1号线,530100021492,星耀路,新亚洲体育城,530100021492011,530100021492010,1.108,
昆明地铁,地铁1号线,530100021492,新亚洲体育城,南部汽车站,530100021492010,530100021492009,2.049,
昆明地铁,地铁1号线,530100021492,南部汽车站,斗南,530100021492009,530100021492008,2.889,
昆明地铁,地铁1号线,530100021492,斗南,春融街,530100021492008,530100021492007,4.311,
昆明地铁,地铁1号线,530100021492,春融街,驼峰街,530100021492007,530100021492006,1.354,
昆明地铁,地铁1号线,530100021492,驼峰街,联大街,530100021492006,530100021492005,1.492,
昆明地铁,地铁1号线,530100021492,联大街,谊康南路,530100021492005,530100021492004,1.408,
昆明地铁,地铁1号线,530100021492,谊康南路,大学城,530100021492004,530100021492003,1.366,
昆明地铁,地铁1号线,530100021492,大学城,大学城南,530100021492003,530100021492002,2.241,
昆明地铁,地铁1号线,900000066456,环城南路(北部汽车站),昆明火车站,530100021492019,530100021492018,1.189,
昆明地铁,地铁1号线,900000066456,昆明火车站,福德,530100021492018,530100021492017,1.005,
昆明地铁,地铁1号线,900000066456,福德,日新路,530100021492017,530100021492016,0.778,
昆明地铁,地铁1号线,900000066456,日新路,巫家坝,530100021492016,530100021492015,0.831,
昆明地铁,地铁1号线,900000066456,巫家坝,昌宏西路,530100021492015,530100021492014,1.497,
昆明地铁,地铁1号线,900000066456,昌宏西路,晓东村,530100021492014,530100021492013,1.108,
昆明地铁,地铁1号线,900000066456,晓东村,珥季路,530100021492013,530100021492012,1.5,
昆明地铁,地铁1号线,900000066456,珥季路,星耀路,530100021492012,530100021492011,1.745,
昆明地铁,地铁1号线,900000066456,星耀路,新亚洲体育城,530100021492011,530100021492010,1.108,
昆明地铁,地铁1号线,900000066456,新亚洲体育城,南部汽车站,530100021492010,530100021492009,2.049,
昆明地铁,地铁1号线,900000066456,南部汽车站,斗南,530100021492009,530100021492008,2.889,
昆明地铁,地铁1号线,900000066456,斗南,春融街,530100021492008,530100021492007,4.311,
昆明地铁,地铁1号线,900000066456,春融街,市级行政中心清风,530100021492007,900000066456002,1.142,
昆明地铁,地铁1号线,900000066456,市级行政中心清风,宜和路,900000066456002,900000066456003,0.887,
昆明地铁,地铁1号线,900000066456,宜和路,白龙潭,900000066456003,900000066456004,1.307,
昆明地铁,地铁1号线,900000066456,白龙潭,昆明南火车站,900000066456004,900000066456005,0.974,
昆明地铁,地铁2号线,530100021490,环城南路(昆明南火车站/大学城南),塘子巷,530100021490015,530100021490014,0.855,
昆明地铁,地铁2号线,530100021490,塘子巷,东风广场,530100021490014,530100021490013,0.632,
昆明地铁,地铁2号线,530100021490,东风广场,交三桥,530100021490013,530100021490012,0.483,
昆明地铁,地铁2号线,530100021490,交三桥,穿心鼓楼,530100021490012,530100021490011,0.759,
昆明地铁,地铁2号线,530100021490,穿心鼓楼,火车北站,530100021490011,530100021490010,0.767,
昆明地铁,地铁2号线,530100021490,火车北站,白云路,530100021490010,530100021490009,1.154,
昆明地铁,地铁2号线,530100021490,白云路,金星,530100021490009,530100021490008,1.127,
昆明地铁,地铁2号线,530100021490,金星,北辰,530100021490008,530100021490007,0.788,
昆明地铁,地铁2号线,530100021490,北辰,霖雨桥,530100021490007,530100021490006,1.521,
昆明地铁,地铁2号线,530100021490,霖雨桥,羊肠村,530100021490006,530100021490005,0.915,
昆明地铁,地铁2号线,530100021490,羊肠村,司家营,530100021490005,530100021490004,1.023,
昆明地铁,地铁2号线,530100021490,司家营,龙头街,530100021490004,530100021490003,0.852,
昆明地铁,地铁2号线,530100021490,龙头街,北部汽车站,530100021490003,530100021490002,1.094,
昆明地铁,地铁3号线,900000040209,西山公园,车家壁,900000040209018,900000040209019,1.164,
昆明地铁,地铁3号线,900000040209,车家壁,普坪村,900000040209019,900000040209020,1.34,
昆明地铁,地铁3号线,900000040209,普坪村,石咀,900000040209020,900000040209001,1.645,
昆明地铁,地铁3号线,900000040209,石咀,大渔路,900000040209001,900000040209002,1.236,
昆明地铁,地铁3号线,900000040209,大渔路,西部汽车站,900000040209002,900000040209003,0.899,
昆明地铁,地铁3号线,900000040209,西部汽车站,眠山,900000040209003,900000040209004,1.7,
昆明地铁,地铁3号线,900000040209,眠山,昌源中路,900000040209004,900000040209005,0.749,
昆明地铁,地铁3号线,900000040209,昌源中路,西苑,900000040209005,900000040209006,0.975,
昆明地铁,地铁3号线,900000040209,西苑,梁家河,900000040209006,900000040209007,1.156,
昆明地铁,地铁3号线,900000040209,梁家河,市体育馆,900000040209007,900000040209008,0.954,
昆明地铁,地铁3号线,900000040209,市体育馆,潘家湾,900000040209008,900000040209009,0.817,
昆明地铁,地铁3号线,900000040209,潘家湾,五一路,900000040209009,900000040209010,1.324,
昆明地铁,地铁3号线,900000040209,五一路,东风广场,900000040209010,530100021490013,1.346,
昆明地铁,地铁3号线,900000040209,东风广场,拓东体育馆,530100021490013,900000040209012,1.021,
昆明地铁,地铁3号线,900000040209,拓东体育馆,大树营,900000040209012,900000040209013,1.135,
昆明地铁,地铁3号线,900000040209,大树营,金马寺,900000040209013,900000040209014,1.038,
昆明地铁,地铁3号线,900000040209,金马寺,太平村,900000040209014,900000040209015,0.967,
昆明地铁,地铁3号线,900000040209,太平村,虹桥,900000040209015,900000040209016,1.245,
昆明地铁,地铁3号线,900000040209,虹桥,东部汽车站,900000040209016,530100020528002,1.526,
昆明地铁,地铁4号线,900000071083,金川路,大河埂,900000071083001,900000071083002,0.947,
昆明地铁,地铁4号线,900000071083,大河埂,海屯路,900000071083002,900000071083003,1.608,
昆明地铁,地铁4号线,900000071083,海屯路,小屯,900000071083003,900000071083004,1.411,
昆明地铁,地铁4号线,900000071083,小屯,金鼎山北路,900000071083004,900000071083005,1.263,
昆明地铁,地铁4号线,900000071083,金鼎山北路,苏家塘,900000071083005,900000071083006,0.839,
昆明地铁,地铁4号线,900000071083,苏家塘,小菜园,900000071083006,900000071083007,1.655,
昆明地铁,地铁4号线,900000071083,小菜园,火车北站,900000071083007,530100021490010,1.274,
昆明地铁,地铁4号线,900000071083,火车北站,白龙路,530100021490010,900000071083009,1.628,
昆明地铁,地铁4号线,900000071083,白龙路,大树营,900000071083009,900000040209013,1.514,
昆明地铁,地铁4号线,900000071083,大树营,菊花村,900000040209013,900000071083011,0.795,
昆明地铁,地铁4号线,900000071083,菊花村,菊华,900000071083011,530100020528009,0.947,
昆明地铁,地铁4号线,900000071083,菊华,和甸营,530100020528009,900000071083013,1.568,
昆明地铁,地铁4号线,900000071083,和甸营,牛街庄,900000071083013,900000071083014,2.107,
昆明地铁,地铁4号线,900000071083,牛街庄,朱家村,900000071083014,900000071083015,1.379,
昆明地铁,地铁4号线,900000071083,朱家村,羊甫头,900000071083015,900000071083016,1.842,
昆明地铁,地铁4号线,900000071083,羊甫头,玉缘路,900000071083016,900000071083017,1.378,
