系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
石家庄地铁,轨道交通1号线,900000044039,西王,0.0,0.0,114.408462,38.04022,900000044039001,,
石家庄地铁,轨道交通1号线,900000044039,时光街,1.284,1.284,114.423117,38.040693,900000044039002,,
石家庄地铁,轨道交通1号线,900000044039,长城桥,1.218,2.502,114.437003,38.041354,900000044039003,,
石家庄地铁,轨道交通1号线,900000044039,和平医院,1.325,3.827,114.452108,38.042077,900000044039004,,
石家庄地铁,轨道交通1号线,900000044039,烈士陵园,1.145,4.972,114.465157,38.042683,900000044039005,,
石家庄地铁,轨道交通1号线,900000044039,新百广场,1.073,6.045,114.477386,38.043255,900000044039006,,
石家庄地铁,轨道交通1号线,900000044039,解放广场,0.84,6.885,114.486982,38.043385,900000044039007,,
石家庄地铁,轨道交通1号线,900000044039,平安大街,1.267,8.152,114.501446,38.043511,900000044039008,,
石家庄地铁,轨道交通1号线,900000044039,北国商城,0.959,9.111,114.512393,38.043149,900000044039009,,
石家庄地铁,轨道交通1号线,900000044039,博物院,0.895,10.006,114.522609,38.042936,900000044039010,,
石家庄地铁,轨道交通1号线,900000044039,体育场,0.889,10.895,114.532763,38.043126,900000044039011,,
石家庄地铁,轨道交通1号线,900000044039,北宋,1.142,12.037,114.545798,38.043398,900000044039012,,
石家庄地铁,轨道交通1号线,900000044039,谈固,1.424,13.461,114.562054,38.043683,900000044039013,,
石家庄地铁,轨道交通1号线,900000044039,朝晖桥,1.276,14.737,114.576621,38.043953,900000044039014,,
石家庄地铁,轨道交通1号线,900000044039,白佛,0.8,15.537,114.585749,38.044146,900000044039015,,
石家庄地铁,轨道交通1号线,900000044039,留村,2.131,17.668,114.608596,38.03755,900000044039016,,
石家庄地铁,轨道交通1号线,900000044039,火炬广场,1.269,18.937,114.623089,38.03776,900000044039017,,
石家庄地铁,轨道交通1号线,900000044039,石家庄东站,1.35,20.287,114.629189,38.048913,900000044039018,,
