系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
徐州地铁,地铁1号线,900000049063,路窝,0.0,0.0,117.101063,34.241587,900000049063018,,
徐州地铁,地铁1号线,900000049063,杏山子,1.878,1.878,117.1196,34.248692,900000049063001,,
徐州地铁,地铁1号线,900000049063,韩山,2.172,4.05,117.141729,34.255534,900000049063002,,
徐州地铁,地铁1号线,900000049063,工农路,0.92,4.97,117.150831,34.25897,900000049063003,,
徐州地铁,地铁1号线,900000049063,人民广场,0.728,5.698,117.15794,34.261858,900000049063004,,
徐州地铁,地铁1号线,900000049063,苏堤路,0.974,6.672,117.168376,34.263384,900000049063005,,
徐州地铁,地铁1号线,900000049063,徐医附院,0.965,7.637,117.178874,34.263565,900000049063006,,
徐州地铁,地铁1号线,900000049063,彭城广场,0.774,8.411,117.187294,34.263699,900000049063007,,
徐州地铁,地铁1号线,900000049063,民主北路,0.822,9.233,117.196054,34.26521,900000049063008,,
徐州地铁,地铁1号线,900000049063,徐州火车站,0.678,9.911,117.203318,34.266302,900000049063009,,
徐州地铁,地铁1号线,900000049063,子房山,0.702,10.613,117.210958,34.266265,900000049063010,,
徐州地铁,地铁1号线,900000049063,铜山路,1.475,12.088,117.226211,34.262143,900000049063011,,
徐州地铁,地铁1号线,900000049063,黄山垅,1.36,13.448,117.234356,34.251931,900000049063012,,
徐州地铁,地铁1号线,900000049063,庆丰路,1.076,14.524,117.246062,34.252175,900000049063013,,
徐州地铁,地铁1号线,900000049063,医科大学,1.253,15.777,117.259621,34.25331,900000049063014,,
徐州地铁,地铁1号线,900000049063,乔家湖,0.956,16.733,117.269969,34.25419,900000049063015,,
徐州地铁,地铁1号线,900000049063,金龙湖,2.09,18.823,117.290273,34.262649,900000049063016,,
徐州地铁,地铁1号线,900000049063,徐州东站,1.533,20.356,117.306251,34.266609,900000049063017,,
徐州地铁,地铁2号线,900000065741,客运北站,0.0,0.0,117.188504,34.331475,900000065741001,,
徐州地铁,地铁2号线,900000065741,李沃,1.445,1.445,117.192363,34.318876,900000065741002,,
徐州地铁,地铁2号线,900000065741,九里山,1.616,3.061,117.192404,34.304341,900000065741003,,
徐州地铁,地铁2号线,900000065741,奔腾大道,0.954,4.015,117.191371,34.295803,900000065741004,,
徐州地铁,地铁2号线,900000065741,九龙湖,1.203,5.218,117.187986,34.28535,900000065741005,,
徐州地铁,地铁2号线,900000065741,庆云桥,1.298,6.516,117.185372,34.273876,900000065741006,,
徐州地铁,地铁2号线,900000065741,彭城广场,1.145,7.661,117.187294,34.263699,900000049063007,,
徐州地铁,地铁2号线,900000065741,户部山,0.833,8.494,117.191768,34.257187,900000065741008,,
徐州地铁,地铁2号线,900000065741,师大云龙校区,0.775,9.269,117.193079,34.250304,900000065741009,,
徐州地铁,地铁2号线,900000065741,中心医院,0.96,10.229,117.193715,34.241684,900000065741010,,
徐州地铁,地铁2号线,900000065741,淮塔,0.92,11.149,117.200827,34.235861,900000065739010,,
徐州地铁,地铁2号线,900000065741,科技城,1.103,12.252,117.207042,34.227378,900000065741012,,
徐州地铁,地铁2号线,900000065741,七里沟,1.185,13.437,117.216512,34.220149,900000065741013,,
