系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
郑州地铁,地铁10号线,900000090721,郑州西站,李商隐公园,900000090721012,900000090721011,1.751,
郑州地铁,地铁10号线,900000090721,李商隐公园,庙王,900000090721011,900000090721010,3.2,
郑州地铁,地铁10号线,900000090721,庙王,柳湖,900000090721010,900000090721009,2.253,
郑州地铁,地铁10号线,900000090721,柳湖,市委党校,900000090721009,900000090721008,3.156,
郑州地铁,地铁10号线,900000090721,市委党校,郑州一中,900000090721008,900000090721007,1.405,
郑州地铁,地铁10号线,900000090721,郑州一中,西流湖公园南,900000090721007,900000090721006,2.362,
郑州地铁,地铁10号线,900000090721,西流湖公园南,二砂,900000090721006,900000090721005,1.452,
郑州地铁,地铁10号线,900000090721,二砂,市中心医院,900000090721005,900000058317031,1.401,
郑州地铁,地铁10号线,900000090721,市中心医院,绿城广场,900000058317031,410100022629016,1.815,
郑州地铁,地铁10号线,900000090721,绿城广场,医学院,410100022629016,410100022629015,0.97,
郑州地铁,地铁10号线,900000090721,医学院,郑州火车站,410100022629015,410100022629014,1.088,
郑州地铁,地铁12号线,900000150086,龙子湖东,龙子湖,900000150086012,410100022629031,1.485,
郑州地铁,地铁12号线,900000150086,龙子湖,龙子湖西,410100022629031,900000150086010,1.512,
郑州地铁,地铁12号线,900000150086,龙子湖西,高铁公园,900000150086010,900000139439018,1.744,
郑州地铁,地铁12号线,900000150086,高铁公园,东风东路,900000139439018,900000150086008,1.701,
郑州地铁,地铁12号线,900000150086,东风东路,儿童医院·颐和医院,900000150086008,900000058317010,1.123,
郑州地铁,地铁12号线,900000150086,儿童医院·颐和医院,黄河南路,900000058317010,410100022629007,1.581,
郑州地铁,地铁12号线,900000150086,黄河南路,西周,410100022629007,900000075776017,1.672,
郑州地铁,地铁12号线,900000150086,西周,经北五路,900000075776017,900000150086004,1.941,
郑州地铁,地铁12号线,900000150086,经北五路,福塔东,900000150086004,900000058317018,1.163,
郑州地铁,地铁12号线,900000150086,福塔东,梁湖,900000058317018,900000150086001,1.933,
郑州地铁,地铁14号线,900000104418,铁炉,市民大道,410100022629023,900000104418004,1.148,
郑州地铁,地铁14号线,900000104418,市民大道,市委党校,900000104418004,900000090721008,1.08,
郑州地铁,地铁14号线,900000104418,市委党校,奥体中心,900000090721008,900000090761020,1.038,
郑州地铁,地铁14号线,900000104418,奥体中心,莲湖,900000090761020,900000104418001,1.746,
郑州地铁,地铁1号线,410100022629,河南工业大学,郑大科技园,410100022629028,410100022629027,1.097,
郑州地铁,地铁1号线,410100022629,郑大科技园,郑州大学,410100022629027,410100022629026,1.019,
郑州地铁,地铁1号线,410100022629,郑州大学,梧桐街,410100022629026,410100022629025,1.467,
郑州地铁,地铁1号线,410100022629,梧桐街,兰寨,410100022629025,410100022629024,1.218,
郑州地铁,地铁1号线,410100022629,兰寨,铁炉,410100022629024,410100022629023,1.719,
郑州地铁,地铁1号线,410100022629,铁炉,市民中心,410100022629023,410100022629022,1.351,
郑州地铁,地铁1号线,410100022629,市民中心,西流湖,410100022629022,410100022629021,1.488,
郑州地铁,地铁1号线,410100022629,西流湖,西三环,410100022629021,410100022629020,1.646,
郑州地铁,地铁1号线,410100022629,西三环,秦岭路,410100022629020,410100022629019,1.434,
郑州地铁,地铁1号线,410100022629,秦岭路,五一公园·市中医院,410100022629019,410100022629018,0.938,
郑州地铁,地铁1号线,410100022629,五一公园·市中医院,碧沙岗,410100022629018,410100022629017,1.003,
郑州地铁,地铁1号线,410100022629,碧沙岗,绿城广场,410100022629017,410100022629016,1.188,
郑州地铁,地铁1号线,410100022629,绿城广场,医学院,410100022629016,410100022629015,0.97,
郑州地铁,地铁1号线,410100022629,医学院,郑州火车站,410100022629015,410100022629014,1.088,
郑州地铁,地铁1号线,410100022629,郑州火车站,二七广场,410100022629014,410100022629013,1.125,
郑州地铁,地铁1号线,410100022629,二七广场,人民路·河南中医一附院,410100022629013,410100022629012,0.922,
郑州地铁,地铁1号线,410100022629,人民路·河南中医一附院,紫荆山,410100022629012,410100021064009,0.908,
郑州地铁,地铁1号线,410100022629,紫荆山,燕庄,410100021064009,410100022629010,1.953,
郑州地铁,地铁1号线,410100022629,燕庄,民航路,410100022629010,410100022629009,1.136,
郑州地铁,地铁1号线,410100022629,民航路,会展中心,410100022629009,410100022629008,0.958,
郑州地铁,地铁1号线,410100022629,会展中心,黄河南路,410100022629008,410100022629007,1.768,
郑州地铁,地铁1号线,410100022629,黄河南路,农业南路,410100022629007,410100022629006,1.028,
郑州地铁,地铁1号线,410100022629,农业南路,东风南路,410100022629006,410100022629005,1.084,
郑州地铁,地铁1号线,410100022629,东风南路,郑州东站,410100022629005,410100022629004,1.079,
郑州地铁,地铁1号线,410100022629,郑州东站,博学路,410100022629004,410100022629003,1.412,
郑州地铁,地铁1号线,410100022629,博学路,市体育中心,410100022629003,410100022629002,2.192,
郑州地铁,地铁1号线,410100022629,市体育中心,龙子湖,410100022629002,410100022629031,2.187,
郑州地铁,地铁1号线,410100022629,龙子湖,文苑北路,410100022629031,410100022629030,1.751,
郑州地铁,地铁1号线,410100022629,文苑北路,河南大学新区,410100022629030,410100022629029,1.364,
郑州地铁,地铁2号线,410100021064,贾河,惠济区政府·市三院惠济院区,410100021064019,410100021064020,1.702,
郑州地铁,地铁2号线,410100021064,惠济区政府·市三院惠济院区,毛庄,410100021064020,410100021064021,1.315,
郑州地铁,地铁2号线,410100021064,毛庄,黄河迎宾馆,410100021064021,410100021064022,1.675,
郑州地铁,地铁2号线,410100021064,黄河迎宾馆,金洼,410100021064022,410100021064023,1.655,
郑州地铁,地铁2号线,410100021064,金洼,金达路,410100021064023,410100021064024,1.558,
郑州地铁,地铁2号线,410100021064,金达路,刘庄,410100021064024,410100021064002,2.08,
郑州地铁,地铁2号线,410100021064,刘庄,柳林,410100021064002,410100021064003,1.72,
郑州地铁,地铁2号线,410100021064,柳林,沙门,410100021064003,410100021064004,1.0,
郑州地铁,地铁2号线,410100021064,沙门,北三环,410100021064004,410100021064005,1.61,
郑州地铁,地铁2号线,410100021064,北三环,东风路,410100021064005,410100021064006,1.014,
郑州地铁,地铁2号线,410100021064,东风路,关虎屯,410100021064006,410100021064007,0.746,
郑州地铁,地铁2号线,410100021064,关虎屯,黄河路,410100021064007,410100021064008,1.694,
郑州地铁,地铁2号线,410100021064,黄河路,紫荆山,410100021064008,410100021064009,1.305,
郑州地铁,地铁2号线,410100021064,紫荆山,东大街·市第一人民医院,410100021064009,410100021064010,1.487,
郑州地铁,地铁2号线,410100021064,东大街·市第一人民医院,陇海东路,410100021064010,410100021064011,1.182,
郑州地铁,地铁2号线,410100021064,陇海东路,二里岗,410100021064011,410100021064012,1.036,
郑州地铁,地铁2号线,410100021064,二里岗,南五里堡,410100021064012,410100021064013,0.958,
郑州地铁,地铁2号线,410100021064,南五里堡,花寨,410100021064013,410100021064014,1.598,
郑州地铁,地铁2号线,410100021064,花寨,南三环,410100021064014,410100021064017,0.793,
郑州地铁,地铁2号线,410100021064,南三环,站马屯,410100021064017,410100021064016,1.615,
郑州地铁,地铁2号线,410100021064,站马屯,南四环(郑州航空港站),410100021064016,410100021064018,2.339,
郑州地铁,地铁3号线,900000075776,省体育中心,王砦,900000075776001,900000075776002,1.364,
郑州地铁,地铁3号线,900000075776,王砦,兴隆铺,900000075776002,900000075776003,1.393,
郑州地铁,地铁3号线,900000075776,兴隆铺,同乐,900000075776003,900000075776004,1.506,
郑州地铁,地铁3号线,900000075776,同乐,南阳新村,900000075776004,900000075776005,1.224,
郑州地铁,地铁3号线,900000075776,南阳新村,海滩寺,900000075776005,900000058317003,1.492,
郑州地铁,地铁3号线,900000075776,海滩寺,大石桥·市妇幼保健院,900000058317003,900000075776007,1.129,
郑州地铁,地铁3号线,900000075776,大石桥·市妇幼保健院,人民公园,900000075776007,900000075776008,0.809,
郑州地铁,地铁3号线,900000075776,人民公园,二七广场,900000075776008,410100022629013,0.865,
郑州地铁,地铁3号线,900000075776,二七广场,西大街,410100022629013,900000075776010,1.006,
郑州地铁,地铁3号线,900000075776,西大街,东大街·市第一人民医院,900000075776010,410100021064010,0.612,
郑州地铁,地铁3号线,900000075776,东大街·市第一人民医院,郑州文庙,410100021064010,900000075776012,0.797,
郑州地铁,地铁3号线,900000075776,郑州文庙,博览中心,900000075776012,900000075776013,1.128,
郑州地铁,地铁3号线,900000075776,博览中心,凤凰台,900000075776013,900000075776014,0.929,
郑州地铁,地铁3号线,900000075776,凤凰台,东十里铺,900000075776014,900000075776015,1.108,
郑州地铁,地铁3号线,900000075776,东十里铺,通泰路,900000075776015,900000075776016,0.677,
郑州地铁,地铁3号线,900000075776,通泰路,西周,900000075776016,900000075776017,1.232,
郑州地铁,地铁3号线,900000075776,西周,东周,900000075776017,900000075776018,1.097,
郑州地铁,地铁3号线,900000075776,东周,省骨科医院,900000075776018,900000058317015,1.385,
郑州地铁,地铁3号线,900000075776,省骨科医院,圃田西,900000058317015,900000075776020,1.82,
郑州地铁,地铁3号线,900000075776,圃田西,营岗,900000075776020,900000075776021,2.469,
郑州地铁,地铁3号线,900000075776,营岗,潮河,900000075776021,900000075776022,2.9,
郑州地铁,地铁3号线,900000075776,潮河,滨河新城,900000075776022,900000075776023,0.876,
郑州地铁,地铁3号线,900000075776,滨河新城,司赵·市七院滨河院区,900000075776023,900000075776024,1.201,
郑州地铁,地铁3号线,900000075776,司赵·市七院滨河院区,滨河新城南,900000075776024,900000075776025,0.998,
郑州地铁,地铁4号线,900000075797,老鸦陈,省体育中心,900000075797001,900000075776001,0.818,
郑州地铁,地铁4号线,900000075797,省体育中心,北二十里铺,900000075776001,900000075797003,1.347,
郑州地铁,地铁4号线,900000075797,北二十里铺,丰庆路,900000075797003,900000075797004,1.268,
郑州地铁,地铁4号线,900000075797,丰庆路,张家村,900000075797004,900000075797005,0.86,
郑州地铁,地铁4号线,900000075797,张家村,陈寨东,900000075797005,900000075797029,0.966,
郑州地铁,地铁4号线,900000075797,陈寨东,沙门,900000075797029,410100021064004,1.068,
郑州地铁,地铁4号线,900000075797,沙门,杨君刘,410100021064004,900000075797008,1.529,
郑州地铁,地铁4号线,900000075797,杨君刘,森林公园北,900000075797008,900000075797009,0.88,
郑州地铁,地铁4号线,900000075797,森林公园北,清华附中,900000075797009,900000075797010,0.954,
郑州地铁,地铁4号线,900000075797,清华附中,龙湖中环北,900000075797010,900000075797011,1.197,
郑州地铁,地铁4号线,900000075797,龙湖中环北,龙湖北,900000075797011,900000075797012,0.883,
郑州地铁,地铁4号线,900000075797,龙湖北,金融岛北,900000075797012,900000075797013,0.938,
郑州地铁,地铁4号线,900000075797,金融岛北,金融岛南,900000075797013,900000075797014,0.817,
郑州地铁,地铁4号线,900000075797,金融岛南,龙湖南,900000075797014,900000075797015,0.709,
郑州地铁,地铁4号线,900000075797,龙湖南,龙湖中环南,900000075797015,900000075797016,1.201,
郑州地铁,地铁4号线,900000075797,龙湖中环南,农业东路,900000075797016,900000075797017,0.989,
郑州地铁,地铁4号线,900000075797,农业东路,中央商务区,900000075797017,900000058317009,0.788,
