系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
郑州地铁,地铁10号线,900000090721,郑州西站,0.0,0.0,113.427921,34.749922,900000090721012,,
郑州地铁,地铁10号线,900000090721,李商隐公园,1.751,1.751,113.447086,34.749666,900000090721011,,
郑州地铁,地铁10号线,900000090721,庙王,3.2,4.951,113.48211,34.749266,900000090721010,,
郑州地铁,地铁10号线,900000090721,柳湖,2.253,7.204,113.506724,34.747979,900000090721009,,
郑州地铁,地铁10号线,900000090721,市委党校,3.156,10.36,113.541262,34.747944,900000090721008,,
郑州地铁,地铁10号线,900000090721,郑州一中,1.405,11.765,113.556643,34.747996,900000090721007,,
郑州地铁,地铁10号线,900000090721,西流湖公园南,2.362,14.127,113.582486,34.747453,900000090721006,,
郑州地铁,地铁10号线,900000090721,二砂,1.452,15.579,113.598376,34.747538,900000090721005,,
郑州地铁,地铁10号线,900000090721,市中心医院,1.401,16.98,113.613692,34.746931,900000058317031,,
郑州地铁,地铁10号线,900000090721,绿城广场,1.815,18.795,113.633548,34.747475,410100022629016,,
郑州地铁,地铁10号线,900000090721,医学院,0.97,19.765,113.644046,34.746174,410100022629015,,
郑州地铁,地铁10号线,900000090721,郑州火车站,1.088,20.853,113.655952,34.746516,410100022629014,,
郑州地铁,地铁12号线,900000150086,龙子湖东,0.0,0.0,113.826607,34.794619,900000150086012,,
郑州地铁,地铁12号线,900000150086,龙子湖,1.485,1.485,113.810504,34.792766,410100022629031,,
郑州地铁,地铁12号线,900000150086,龙子湖西,1.512,2.997,113.79395,34.793143,900000150086010,,
郑州地铁,地铁12号线,900000150086,高铁公园,1.744,4.741,113.774913,34.791912,900000139439018,,
郑州地铁,地铁12号线,900000150086,东风东路,1.701,6.442,113.760926,34.781814,900000150086008,,
郑州地铁,地铁12号线,900000150086,儿童医院·颐和医院,1.123,7.565,113.750767,34.776122,900000058317010,,
郑州地铁,地铁12号线,900000150086,黄河南路,1.581,9.146,113.744513,34.76286,410100022629007,,
郑州地铁,地铁12号线,900000150086,西周,1.672,10.818,113.746855,34.747945,900000075776017,,
郑州地铁,地铁12号线,900000150086,经北五路,1.941,12.759,113.746954,34.730493,900000150086004,,
郑州地铁,地铁12号线,900000150086,福塔东,1.163,13.922,113.746941,34.720036,900000058317018,,
郑州地铁,地铁12号线,900000150086,梁湖,1.933,15.855,113.743757,34.702851,900000150086001,,
郑州地铁,地铁14号线,900000104418,铁炉,0.0,0.0,113.541028,34.767983,410100022629023,,
郑州地铁,地铁14号线,900000104418,市民大道,1.148,1.148,113.54103,34.757659,900000104418004,,
郑州地铁,地铁14号线,900000104418,市委党校,1.08,2.228,113.541262,34.747944,900000090721008,,
郑州地铁,地铁14号线,900000104418,奥体中心,1.038,3.266,113.540019,34.738664,900000090761020,,
郑州地铁,地铁14号线,900000104418,莲湖,1.746,5.012,113.541188,34.72299,900000104418001,,
郑州地铁,地铁1号线,410100022629,河南工业大学,0.0,0.0,113.542174,34.826597,410100022629028,,
郑州地铁,地铁1号线,410100022629,郑大科技园,1.097,1.097,113.541865,34.816735,410100022629027,,
郑州地铁,地铁1号线,410100022629,郑州大学,1.019,2.116,113.541443,34.807581,410100022629026,,
郑州地铁,地铁1号线,410100022629,梧桐街,1.467,3.583,113.540929,34.794393,410100022629025,,
郑州地铁,地铁1号线,410100022629,兰寨,1.218,4.801,113.541,34.783442,410100022629024,,
郑州地铁,地铁1号线,410100022629,铁炉,1.719,6.52,113.541028,34.767983,410100022629023,,
郑州地铁,地铁1号线,410100022629,市民中心,1.351,7.871,113.553932,34.762054,410100022629022,,
郑州地铁,地铁1号线,410100022629,西流湖,1.488,9.359,113.570188,34.761135,410100022629021,,
郑州地铁,地铁1号线,410100022629,西三环,1.646,11.005,113.588175,34.760193,410100022629020,,
郑州地铁,地铁1号线,410100022629,秦岭路,1.434,12.439,113.603314,34.7568,410100022629019,,
郑州地铁,地铁1号线,410100022629,五一公园·市中医院,0.938,13.377,113.613576,34.756657,410100022629018,,
郑州地铁,地铁1号线,410100022629,碧沙岗,1.003,14.38,113.624373,34.75504,410100022629017,,
郑州地铁,地铁1号线,410100022629,绿城广场,1.188,15.568,113.633548,34.747475,410100022629016,,
