系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
北京地铁,地铁1号线(八通线),古城,0.0,0.0,116.190337,39.907450,110100023110003,,
北京地铁,地铁1号线(八通线),八角游乐园,1.906,1.906,116.212684,39.907442,110100023110004,,
北京地铁,地铁1号线(八通线),八宝山,1.984,3.89,116.235948,39.907440,110100023110005,,
北京地铁,地铁1号线(八通线),玉泉路,1.445,5.335,116.252888,39.907433,110100023110006,,
北京地铁,地铁1号线(八通线),五棵松,1.8,7.135,116.273987,39.907456,110100023110007,,
北京地铁,地铁1号线(八通线),万寿路,1.772,8.907,116.294765,39.907474,110100023110008,,
北京地铁,地铁1号线(八通线),公主坟,1.293,10.2,116.309919,39.907469,110100023110009,,
北京地铁,地铁1号线(八通线),军事博物馆,0.984,11.184,116.321459,39.907422,110100023110010,,
北京地铁,地铁1号线(八通线),木樨地,1.375,12.559,116.337583,39.907379,110100023110011,,
北京地铁,地铁1号线(八通线),南礼士路,1.28,13.839,116.352583,39.907234,110100023110012,,
北京地铁,地铁1号线(八通线),复兴门,0.365,14.204,116.356866,39.907242,110100023098016,,
北京地铁,地铁1号线(八通线),西单,1.468,15.672,116.374072,39.907383,110100023076018,,
北京地铁,地铁1号线(八通线),天安门西,1.468,17.14,116.391278,39.907472,110100023110015,,
北京地铁,地铁1号线(八通线),天安门东,0.848,17.988,116.401216,39.907780,110100023110016,,
北京地铁,地铁1号线(八通线),王府井,0.884,18.872,116.411571,39.908069,110100023110017,,
北京地铁,地铁1号线(八通线),东单,0.59,19.462,116.418480,39.908325,110100023100007,,
北京地铁,地铁1号线(八通线),建国门,1.478,20.94,116.435806,39.908501,110100023098009,,
北京地铁,地铁1号线(八通线),永安里,1.245,22.185,116.450305,39.909823,110100023110020,,
北京地铁,地铁1号线(八通线),国贸,0.987,23.172,116.461841,39.909104,110100023110021,,
北京地铁,地铁1号线(八通线),大望路,1.193,24.365,116.475783,39.908287,110100023110022,,
北京地铁,地铁1号线(八通线),四惠,1.679,26.044,116.495456,39.908749,110100023110023,,
北京地铁,地铁1号线(八通线),四惠东,1.724,27.768,116.515664,39.908495,110100023110024,,
北京地铁,地铁1号线(八通线),高碑店,1.348,29.116,116.531421,39.909448,110100023110038,,
北京地铁,地铁1号线(八通线),传媒大学,1.981,31.097,116.554639,39.909215,110100023110039,,
北京地铁,地铁1号线(八通线),双桥,1.89,32.987,116.576760,39.910140,110100023110040,,
北京地铁,地铁1号线(八通线),管庄,1.901,34.888,116.599002,39.909090,110100023110041,,
北京地铁,地铁1号线(八通线),八里桥,1.709,36.597,116.618658,39.906121,110100023110042,,
北京地铁,地铁1号线(八通线),通州北苑,1.606,38.203,116.637252,39.903864,110100023110043,,
北京地铁,地铁1号线(八通线),果园,1.418,39.621,116.646621,39.893329,110100023110044,,
北京地铁,地铁1号线(八通线),九棵树,0.991,40.612,116.657533,39.890278,110100023110045,,
北京地铁,地铁1号线(八通线),梨园,1.204,41.816,116.668720,39.883677,110100023110046,,
北京地铁,地铁1号线(八通线),临河里,1.253,43.069,116.678811,39.875496,110100023110047,,
北京地铁,地铁1号线(八通线),土桥,0.756,43.825,116.686349,39.871926,110100023110048,,
北京地铁,地铁1号线(八通线),花庄,1.862,45.687,116.695495,39.856722,110100023054032,,
北京地铁,地铁1号线(八通线),环球度假区,1.633,47.32,116.679099,39.849152,110100023054033,,
