系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
北京地铁,地铁6号线,潞阳,潞城,110100023339037,110100023339022,1.623,
北京地铁,地铁6号线,潞城,东夏园,110100023339022,110100023339023,1.16,
北京地铁,地铁6号线,东夏园,郝家府,110100023339023,110100023339024,1.367,
北京地铁,地铁6号线,郝家府,北运河东,110100023339024,110100023339025,0.919,
北京地铁,地铁6号线,北运河东,北运河西,110100023339025,110100023339026,1.595,
北京地铁,地铁6号线,北运河西,通州北关,110100023339026,110100023339028,2.855,
北京地铁,地铁6号线,通州北关,物资学院路,110100023339028,110100023339029,2.104,
北京地铁,地铁6号线,物资学院路,草房,110100023339029,110100023339002,2.041,
北京地铁,地铁6号线,草房,常营,110100023339002,110100023339003,1.359,
北京地铁,地铁6号线,常营,黄渠,110100023339003,110100023339004,1.837,
北京地铁,地铁6号线,黄渠,褡裢坡,110100023339004,110100023339005,1.22,
北京地铁,地铁6号线,褡裢坡,青年路,110100023339005,110100023339006,3.969,
北京地铁,地铁6号线,青年路,十里堡,110100023339006,110100023339007,1.312,
北京地铁,地铁6号线,十里堡,金台路,110100023339007,110100023339008,2.041,
北京地铁,地铁6号线,金台路,呼家楼,110100023339008,110100023282019,1.407,
北京地铁,地铁6号线,呼家楼,东大桥,110100023282019,110100023339010,0.96,
北京地铁,地铁6号线,东大桥,朝阳门,110100023339010,110100023098008,1.359,
北京地铁,地铁6号线,朝阳门,东四,110100023098008,110100023100009,1.457,
北京地铁,地铁6号线,东四,南锣鼓巷,110100023100009,110100023114002,1.548,
北京地铁,地铁6号线,南锣鼓巷,北海北,110100023114002,110100023339014,1.482,
北京地铁,地铁6号线,北海北,平安里,110100023339014,110100023076015,1.192,
北京地铁,地铁6号线,平安里,车公庄,110100023076015,110100023098018,1.589,
北京地铁,地铁6号线,车公庄,车公庄西,110100023098018,110100023339017,0.876,
北京地铁,地铁6号线,车公庄西,二里沟,110100023339017,110100023339036,0.885,
北京地铁,地铁6号线,二里沟,白石桥南,110100023339036,110100023116013,0.687,
北京地铁,地铁6号线,白石桥南,花园桥,110100023116013,110100023339019,1.281,
北京地铁,地铁6号线,花园桥,慈寿寺,110100023339019,110100023282043,1.301,
北京地铁,地铁6号线,慈寿寺,海淀五路居,110100023282043,110100023339021,1.616,
北京地铁,地铁6号线,海淀五路居,田村,110100023339021,110100023339030,2.043,
北京地铁,地铁6号线,田村,廖公庄,110100023339030,110100023339031,2.209,
北京地铁,地铁6号线,廖公庄,西黄村,110100023339031,110100023339032,1.741,
北京地铁,地铁6号线,西黄村,杨庄,110100023339032,110100023339033,1.816,
北京地铁,地铁6号线,杨庄,苹果园,110100023339033,110100023339034,0.728,
北京地铁,地铁6号线,苹果园,金安桥,110100023339034,110100023339035,1.42,
