系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
长春轨道交通,轨道交通2号线,汽车公园,捷达大路,900000049355020,900000049355021,1.539,
长春轨道交通,轨道交通2号线,捷达大路,西湖,900000049355021,900000049355022,1.015,
长春轨道交通,轨道交通2号线,西湖,双丰,900000049355022,900000049355002,1.77,
长春轨道交通,轨道交通2号线,双丰,长春西站,900000049355002,900000049355003,1.608,
长春轨道交通,轨道交通2号线,长春西站,兴隆堡,900000049355003,900000049355004,2.012,
长春轨道交通,轨道交通2号线,兴隆堡,西环城路,900000049355004,900000049355005,1.303,
长春轨道交通,轨道交通2号线,西环城路,和平大街,900000049355005,900000049355006,1.133,
长春轨道交通,轨道交通2号线,和平大街,万福街,900000049355006,900000049355007,0.901,
长春轨道交通,轨道交通2号线,万福街,景阳广场,900000049355007,900000049355008,0.855,
长春轨道交通,轨道交通2号线,景阳广场,解放桥,900000049355008,220100030615008,1.117,
长春轨道交通,轨道交通2号线,解放桥,建设广场,220100030615008,900000049355010,0.816,
长春轨道交通,轨道交通2号线,建设广场,文化广场,900000049355010,900000049355011,0.732,
长春轨道交通,轨道交通2号线,文化广场,解放大路,900000049355011,220100020890009,1.474,
长春轨道交通,轨道交通2号线,解放大路,平阳街,220100020890009,900000049355013,0.711,
长春轨道交通,轨道交通2号线,平阳街,南关,900000049355013,900000049355014,0.971,
长春轨道交通,轨道交通2号线,南关,吉林大路,900000049355014,220100020886007,1.516,
长春轨道交通,轨道交通2号线,吉林大路,东盛大街,220100020886007,900000049355016,1.002,
长春轨道交通,轨道交通2号线,东盛大街,东环城路,900000049355016,900000049355017,1.419,
长春轨道交通,轨道交通2号线,东环城路,长青,900000049355017,900000049355018,1.242,
长春轨道交通,轨道交通2号线,长青,东方广场,900000049355018,900000049355019,1.272,
长春轨道交通,轨道交通2号线,东方广场,哈尔滨大街,900000049355019,900000049355023,1.515,
长春轨道交通,轨道交通2号线,哈尔滨大街,窦家沟,900000049355023,900000049355024,2.462,
长春轨道交通,轨道交通2号线,窦家沟,英俊大街,900000049355024,900000049355025,1.288,
长春轨道交通,轨道交通2号线,英俊大街,英凯大街,900000049355025,900000049355026,1.797,
长春轨道交通,轨道交通2号线,英凯大街,林溪大街,900000049355026,900000049355027,1.738,
长春轨道交通,轨道交通2号线,林溪大街,雾开河大街,900000049355027,900000049355028,1.57,
