系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
长沙地铁,地铁4号线,罐子岭,月亮岛西,900000066167001,900000066167002,1.047,
长沙地铁,地铁4号线,月亮岛西,湘江新城,900000066167002,900000066167003,0.741,
长沙地铁,地铁4号线,湘江新城,汉王陵公园,900000066167003,900000066167004,2.062,
长沙地铁,地铁4号线,汉王陵公园,福元大桥西,900000066167004,900000066167005,1.949,
长沙地铁,地铁4号线,福元大桥西,茶子山,900000066167005,900000066167006,1.178,
长沙地铁,地铁4号线,茶子山,观沙岭,900000066167006,900000066167007,1.514,
长沙地铁,地铁4号线,观沙岭,六沟垅,900000066167007,900000066167008,1.042,
长沙地铁,地铁4号线,六沟垅,望月湖,900000066167008,900000066167009,1.642,
长沙地铁,地铁4号线,望月湖,溁湾镇,900000066167009,430100020927005,1.094,
长沙地铁,地铁4号线,溁湾镇,湖南师大,430100020927005,900000066167011,1.302,
长沙地铁,地铁4号线,湖南师大,湖南大学,900000066167011,900000066167012,0.747,
长沙地铁,地铁4号线,湖南大学,阜埠河,900000066167012,900000065929006,1.492,
长沙地铁,地铁4号线,阜埠河,碧沙湖(恰同学少年广场),900000065929006,900000066167014,2.001,
长沙地铁,地铁4号线,碧沙湖(恰同学少年广场),黄土岭,900000066167014,430100020925027,1.788,
长沙地铁,地铁4号线,黄土岭,砂子塘,430100020925027,900000066167016,0.748,
长沙地铁,地铁4号线,砂子塘,赤岗岭,900000066167016,900000066167017,1.254,
长沙地铁,地铁4号线,赤岗岭,树木岭,900000066167017,900000066167018,1.508,
长沙地铁,地铁4号线,树木岭,圭塘,900000066167018,900000066167019,1.091,
长沙地铁,地铁4号线,圭塘,沙湾公园,900000066167019,430100020927017,1.355,
长沙地铁,地铁4号线,沙湾公园,粟塘,430100020927017,900000066167021,0.736,
长沙地铁,地铁4号线,粟塘,平阳,900000066167021,900000066167022,0.762,
长沙地铁,地铁4号线,平阳,长沙火车南站,900000066167022,430100020927019,0.991,
长沙地铁,地铁4号线,长沙火车南站,光达,430100020927019,430100020927020,1.951,
长沙地铁,地铁4号线,光达,杜家坪,430100020927020,900000066167025,1.156,
