系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
长沙地铁,地铁5号线,水渡河,0.0,0.0,113.063964,28.279842,900000066175001,,
长沙地铁,地铁5号线,土桥,1.945,1.945,113.05604,28.263805,900000066175002,,
长沙地铁,地铁5号线,白茅铺,1.662,3.607,113.048751,28.25031,900000066175003,,
长沙地铁,地铁5号线,月湖公园北,1.132,4.739,113.041096,28.242686,900000065929019,,
长沙地铁,地铁5号线,马栏山,1.226,5.965,113.040804,28.231662,900000066175005,,
长沙地铁,地铁5号线,鸭子铺,0.87,6.835,113.036078,28.225036,900000066175006,,
长沙地铁,地铁5号线,火炬村,1.904,8.739,113.031218,28.208453,900000066175007,,
长沙地铁,地铁5号线,马王堆,0.935,9.674,113.030885,28.200047,900000066175008,,
长沙地铁,地铁5号线,万家丽广场,0.948,10.622,113.030191,28.191546,430100020927014,,
长沙地铁,地铁5号线,芙蓉区政府,0.693,11.315,113.030380,28.185314,900000066175010,,
长沙地铁,地铁5号线,高桥北,1.015,12.33,113.030082,28.176188,900000066175011,,
长沙地铁,地铁5号线,高桥南,1.018,13.348,113.029654,28.167044,900000066175012,,
长沙地铁,地铁5号线,圭塘,1.069,14.417,113.031077,28.157508,900000066167019,,
长沙地铁,地铁5号线,木桥,0.979,15.396,113.030891,28.148709,900000066175014,,
长沙地铁,地铁5号线,雨花区政府,1.306,16.702,113.035087,28.137564,900000066175015,,
长沙地铁,地铁5号线,大塘,0.744,17.446,113.036453,28.130984,900000066175016,,
长沙地铁,地铁5号线,板塘冲,1.663,19.109,113.03951,28.116274,900000066175017,,
长沙地铁,地铁5号线,毛竹塘,2.38,21.489,113.036598,28.095029,900000066175018,,
