系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
大连地铁,地铁13号线,普兰店振兴街,普兰店开发区,900000113424001,900000113424002,3.083,
大连地铁,地铁13号线,普兰店开发区,海湾高中,900000113424002,900000113424003,1.495,
大连地铁,地铁13号线,海湾高中,大医三院,900000113424003,900000113424004,1.761,
大连地铁,地铁13号线,大医三院,长店堡,900000113424004,900000113424005,3.27,
大连地铁,地铁13号线,长店堡,石河北海,900000113424005,900000113424006,3.71,
大连地铁,地铁13号线,石河北海,普湾体育场,900000113424006,900000113424007,1.985,
大连地铁,地铁13号线,普湾体育场,石河黄旗,900000113424007,900000113424008,3.771,
大连地铁,地铁13号线,石河黄旗,三十里堡,900000113424008,900000113424009,7.591,
大连地铁,地铁13号线,三十里堡,二十里堡,900000113424009,900000113424010,7.98,
大连地铁,地铁13号线,二十里堡,十三里,900000113424010,900000113424011,2.654,
大连地铁,地铁13号线,十三里,九里,900000113424011,210200021335002,3.068,
