系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
哈尔滨地铁,地铁1号线,新疆大街,0.0,0.0,126.632979,45.605905,230100020502024,,
哈尔滨地铁,地铁1号线,渤海路,1.564,1.564,126.647845,45.615382,230100020502023,,
哈尔滨地铁,地铁1号线,镜泊路,2.053,3.617,126.636902,45.632188,230100020502022,,
哈尔滨地铁,地铁1号线,镜泊路,0.0,3.617,126.636902,45.632188,230100020502022,,
哈尔滨地铁,地铁1号线,瓦盆窑,1.497,5.114,126.633464,45.645435,230100020502021,,
哈尔滨地铁,地铁1号线,同江路,1.381,6.495,126.624716,45.656247,230100020502020,,
哈尔滨地铁,地铁1号线,哈尔滨南站,1.538,8.033,126.621748,45.669922,230100020502019,,
哈尔滨地铁,地铁1号线,哈达,1.495,9.528,126.618814,45.683208,230100020502018,,
哈尔滨地铁,地铁1号线,医大二院,1.607,11.135,126.615695,45.697491,230100020502017,,
哈尔滨地铁,地铁1号线,黑龙江大学,1.067,12.202,126.613592,45.706970,230100020502016,,
哈尔滨地铁,地铁1号线,理工大学,0.887,13.089,126.611868,45.714853,230100020502015,,
哈尔滨地铁,地铁1号线,学府路,0.859,13.948,126.609880,45.722457,230100020502014,,
哈尔滨地铁,地铁1号线,和兴路,1.189,15.137,126.615449,45.732416,230100020502013,,
哈尔滨地铁,地铁1号线,西大桥,0.84,15.977,126.621115,45.738848,230100020502012,,
哈尔滨地铁,地铁1号线,哈工大,0.818,16.795,126.627753,45.744564,230100020502011,,
哈尔滨地铁,地铁1号线,铁路局,1.003,17.798,126.635996,45.751513,230100020502010,,
哈尔滨地铁,地铁1号线,博物馆,0.976,18.774,126.643793,45.758405,230100020502009,,
哈尔滨地铁,地铁1号线,医大一院,0.815,19.589,126.650438,45.764078,230100020502008,,
哈尔滨地铁,地铁1号线,烟厂,0.669,20.258,126.655910,45.768727,230100020502007,,
哈尔滨地铁,地铁1号线,工程大学,1.205,21.463,126.668068,45.775477,230100020502006,,
哈尔滨地铁,地铁1号线,太平桥,1.144,22.607,126.677185,45.783569,230100020502005,,
哈尔滨地铁,地铁1号线,交通学院,0.926,23.533,126.687501,45.787766,230100020502004,,
哈尔滨地铁,地铁1号线,桦树街,0.818,24.351,126.698039,45.788083,230100020502003,,
哈尔滨地铁,地铁1号线,哈尔滨东站,0.872,25.223,126.709138,45.789336,230100020502002,,
