系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
杭州地铁,地铁4号线,浦沿,杨家墩,900000029624026,900000029624025,1.002,
杭州地铁,地铁4号线,杨家墩,中医药大学,900000029624025,900000029624024,0.918,
杭州地铁,地铁4号线,中医药大学,联庄,900000029624024,900000029624023,1.32,
杭州地铁,地铁4号线,联庄,水澄桥,900000029624023,900000029624022,1.938,
杭州地铁,地铁4号线,水澄桥,复兴路,900000029624022,900000029624021,1.3,
杭州地铁,地铁4号线,复兴路,南星桥,900000029624021,900000029624020,1.553,
杭州地铁,地铁4号线,南星桥,甬江路,900000029624020,900000029624019,1.446,
杭州地铁,地铁4号线,甬江路,近江,900000029624019,330100023133021,1.045,
杭州地铁,地铁4号线,近江,城星路,330100023133021,900000029624009,1.317,
杭州地铁,地铁4号线,城星路,市民中心,900000029624009,900000029624008,0.705,
杭州地铁,地铁4号线,市民中心,江锦路,900000029624008,900000029624007,0.689,
杭州地铁,地铁4号线,江锦路,钱江路,900000029624007,330100020003014,0.726,
杭州地铁,地铁4号线,钱江路,景芳,330100020003014,900000029624005,1.132,
杭州地铁,地铁4号线,景芳,新塘,900000029624005,900000029624004,1.253,
杭州地铁,地铁4号线,新塘,新风,900000029624004,900000029624003,1.233,
杭州地铁,地铁4号线,新风,火车东站,900000029624003,330100023133011,0.632,
杭州地铁,地铁4号线,火车东站,彭埠,330100023133011,330100023133010,1.084,
杭州地铁,地铁4号线,彭埠,明石路,330100023133010,900000029624041,1.117,
杭州地铁,地铁4号线,明石路,黎明,900000029624041,900000029624040,1.348,
杭州地铁,地铁4号线,黎明,笕桥老街,900000029624040,900000029624039,0.943,
杭州地铁,地铁4号线,笕桥老街,华中南路,900000029624039,900000029624038,1.883,
杭州地铁,地铁4号线,华中南路,新天地街,900000029624038,900000029624037,1.99,
杭州地铁,地铁4号线,新天地街,皋亭坝,900000029624037,900000029624036,1.248,
杭州地铁,地铁4号线,皋亭坝,桃源街,900000029624036,900000029624035,1.375,
杭州地铁,地铁4号线,桃源街,吴家角港,900000029624035,900000029624034,1.387,
杭州地铁,地铁4号线,吴家角港,独城生态公园,900000029624034,900000029624033,1.013,
杭州地铁,地铁4号线,独城生态公园,平安桥,900000029624033,900000029624032,1.687,
杭州地铁,地铁4号线,平安桥,储运路,900000029624032,900000029624031,1.538,
杭州地铁,地铁4号线,储运路,杭行路,900000029624031,900000029624030,1.324,
杭州地铁,地铁4号线,杭行路,好运街,900000029624030,900000029624029,1.431,
杭州地铁,地铁4号线,好运街,金家渡,900000029624029,330100020003042,1.978,
杭州地铁,地铁4号线,金家渡,池华街,330100020003042,900000029624027,1.955,
