系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
济南地铁,轨道交通1号线,方特,济南西站,900000071030001,900000071030002,1.459,
济南地铁,轨道交通1号线,济南西站,大杨,900000071030002,900000071030003,2.164,
济南地铁,轨道交通1号线,大杨,王府庄,900000071030003,900000071030004,3.204,
济南地铁,轨道交通1号线,王府庄,玉符河,900000071030004,900000071030005,2.626,
济南地铁,轨道交通1号线,玉符河,赵营,900000071030005,900000071030006,2.974,
济南地铁,轨道交通1号线,赵营,紫薇路,900000071030006,900000071030007,3.289,
济南地铁,轨道交通1号线,紫薇路,大学城,900000071030007,900000071030008,1.901,
济南地铁,轨道交通1号线,大学城,园博园,900000071030008,900000071030009,1.833,
济南地铁,轨道交通1号线,园博园,创新谷,900000071030009,900000071030010,2.925,
济南地铁,轨道交通1号线,创新谷,工研院,900000071030010,900000071030011,1.565,
