系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
南京地铁,地铁4号线,龙江,草场门,320100021293002,320100021293003,1.686,
南京地铁,地铁4号线,草场门,云南路,320100021293003,320100021293009,1.776,
南京地铁,地铁4号线,云南路,鼓楼,320100021293009,320100021293010,0.875,
南京地铁,地铁4号线,鼓楼,鸡鸣寺,320100021293010,320100021293011,1.366,
南京地铁,地铁4号线,鸡鸣寺,九华山,320100021293011,320100021293012,0.746,
南京地铁,地铁4号线,九华山,岗子村,320100021293012,320100021293013,1.3,
南京地铁,地铁4号线,岗子村,蒋王庙,320100021293013,320100021293014,1.967,
南京地铁,地铁4号线,蒋王庙,王家湾,320100021293014,320100021293015,1.069,
南京地铁,地铁4号线,王家湾,聚宝山,320100021293015,320100021293023,2.655,
南京地铁,地铁4号线,聚宝山,徐庄·苏宁总部,320100021293023,320100021293016,2.599,
南京地铁,地铁4号线,徐庄·苏宁总部,金马路,320100021293016,320100021293017,2.147,
南京地铁,地铁4号线,金马路,汇通路,320100021293017,320100021293024,2.484,
南京地铁,地铁4号线,汇通路,灵山,320100021293024,320100021293018,1.135,
南京地铁,地铁4号线,灵山,东流,320100021293018,320100021293019,2.055,
南京地铁,地铁4号线,东流,孟北,320100021293019,320100021293020,2.208,
南京地铁,地铁4号线,孟北,西岗桦墅,320100021293020,320100021293021,1.832,
南京地铁,地铁4号线,西岗桦墅,仙林湖,320100021293021,320100021293022,2.974,
