系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
南京地铁,地铁S8号线(宁天线),长江大桥北,0.0,0.0,118.730657,32.127635,320100022469020,,
南京地铁,地铁S8号线(宁天线),毛纺厂路,0.874,0.874,118.726640,32.134721,320100022469019,,
南京地铁,地铁S8号线(宁天线),泰山新村,1.445,2.319,118.716268,32.144295,320100022469018,,
南京地铁,地铁S8号线(宁天线),泰冯路,1.076,3.395,118.719024,32.153685,320100021573027,,
南京地铁,地铁S8号线(宁天线),高新开发区,2.653,6.048,118.719487,32.177538,320100022469016,,
南京地铁,地铁S8号线(宁天线),信息工程大学,2.85,8.898,118.726862,32.202394,320100022469015,,
南京地铁,地铁S8号线(宁天线),卸甲甸,1.399,10.297,118.730435,32.214608,320100022469014,,
南京地铁,地铁S8号线(宁天线),大厂,1.827,12.124,118.740131,32.228848,320100022469013,,
南京地铁,地铁S8号线(宁天线),葛塘,2.148,14.272,118.753637,32.244425,320100022469012,,
南京地铁,地铁S8号线(宁天线),长芦,3.863,18.135,118.776484,32.273302,320100022469011,,
南京地铁,地铁S8号线(宁天线),化工园,1.614,19.749,118.785684,32.285557,320100022469010,,
南京地铁,地铁S8号线(宁天线),六合开发区,2.86,22.609,118.805334,32.305196,320100022469009,,
南京地铁,地铁S8号线(宁天线),龙池,2.074,24.683,118.820150,32.319014,320100022469008,,
南京地铁,地铁S8号线(宁天线),雄州,2.327,27.01,118.836662,32.334610,320100022469007,,
南京地铁,地铁S8号线(宁天线),凤凰山公园,1.575,28.585,118.845116,32.346842,320100022469006,,
南京地铁,地铁S8号线(宁天线),方州广场,1.488,30.073,118.850115,32.359539,320100022469005,,
南京地铁,地铁S8号线(宁天线),沈桥,5.958,36.031,118.891854,32.399891,320100022469004,,
南京地铁,地铁S8号线(宁天线),八百桥,4.921,40.952,118.933243,32.427050,320100022469003,,
南京地铁,地铁S8号线(宁天线),金牛湖,5.189,46.141,118.964703,32.465430,320100022469002,,
