系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
南通地铁,轨道交通2号线,幸福,0.0,0.0,120.852266,32.082585,900000099626001,,
南通地铁,轨道交通2号线,长岸,2.595,2.595,120.860194,32.060238,900000099626003,,
南通地铁,轨道交通2号线,北大街,1.258,3.853,120.860238,32.048924,900000099626004,,
南通地铁,轨道交通2号线,北城大桥,0.737,4.59,120.860229,32.042294,900000099626005,,
南通地铁,轨道交通2号线,钟秀西路,1.64,6.23,120.855972,32.027992,900000099626006,,
南通地铁,轨道交通2号线,和平桥,1.353,7.583,120.858017,32.015951,900000081994013,,
南通地铁,轨道交通2号线,体育公园,1.296,8.879,120.864252,32.005568,900000099626008,,
南通地铁,轨道交通2号线,易家桥,1.087,9.966,120.875506,32.003443,900000099626009,,
南通地铁,轨道交通2号线,文峰,0.841,10.807,120.883919,32.005955,900000081994017,,
南通地铁,轨道交通2号线,五一路,0.843,11.65,120.892863,32.005926,900000099626011,,
南通地铁,轨道交通2号线,园林路,1.426,13.076,120.907655,32.003264,900000099626012,,
南通地铁,轨道交通2号线,汽车东站,1.055,14.131,120.918621,32.001381,900000099626013,,
南通地铁,轨道交通2号线,通富北路,0.906,15.037,120.928119,32.000179,900000099626014,,
南通地铁,轨道交通2号线,观音山,0.869,15.906,120.937235,31.999044,900000099626015,,
南通地铁,轨道交通2号线,南通东站,1.57,17.476,120.953878,31.998715,900000099626016,,
南通地铁,轨道交通2号线,先锋,2.479,19.955,120.979842,32.002194,900000099626017,,
